org_name,count,in_crosswalk
Electronic Frontier Foundation,739,no
California State Student Association,729,yes
California Independent Public Employees Legislative Council,726,no
Lambda Letters Project,726,no
San Gabriel Valley Economic Partnership,724,yes
California State Sheriffs Association,719,no
Union,717,no
California Retired Teachers Association,716,yes
Center for Environmental Health,711,no
Flasher Barricade Association,710,yes
John Burton Advocates for Youth,707,yes
Los Angeles County District Attorney,705,no
Small School Districts' Association,702,no
University of California Student Association,701,yes
Steinberg Institute,697,yes
UNITE HERE,696,no
San Bernardino County Sheriff's Department,695,yes
Associated General Contractors of California,694,no
California Rifle and Pistol Association,692,no
Friends Committee on Legislation,692,yes
Long Beach Police Officers Association,689,no
ACLU,686,yes
California Chapter of the American College of Emergency Physicians,685,yes
"American Planning Association, California Chapter",684,yes
California Association of Health Underwriters,684,yes
California Financial Services Association,681,no
Engineering Contractors' Association,681,yes
Valley Industry and Commerce Association,680,yes
Bet Tzedek Legal Services,679,no
San Diego Regional Chamber of Commerce,678,yes
California Farm Bureau,673,yes
California Statewide Law Enforcement Association,673,no
Construction Employers' Association,671,yes
American Chemistry Council,665,yes
San Diego Unified School District,661,no
"American Federation of State, County, and Municipal",656,no
Council,656,no
California Seed Association,652,yes
Blue Cross of California,651,no
City of Berkeley,650,yes
Union of American Physicians and Dentists,647,no
Board of Equalization,645,no
Blue Shield of California,644,yes
California Coastal Protection Network,643,yes
California Association of Marriage and Family Therapists,640,no
California Land Title Association,640,yes
California Water Association,640,no
California Children's Hospital Association,639,no
California Fence Contractors' Association,639,no
Chemical Industry Council of California,639,no
International Longshore and Warehouse Union,639,no
America's Health Insurance Plans,637,yes
Contra Costa County,637,yes
Capitol Resource Institute,635,no
County of Orange,631,yes
Department of General Services,629,no
Cal-Tax,628,no
Child Care Law Center,627,yes
Trust for Public Land,626,yes
California Latinas for Reproductive Justice,624,yes
California State Sheriff's Association,624,yes
Consulting Engineers and Land Surveyors of California,624,no
California YIMBY,623,yes
California Housing Consortium,622,yes
State Board of Equalization,621,yes
California Bicycle Coalition,620,yes
Orange County Board of Supervisors,620,yes
San Bernardino County Sheriff,618,no
California Grain and Feed Association,617,no
California Black Health Network,616,yes
Alliance for Boys and Men of Color,615,yes
Bay Area Air Quality Management District,615,no
California Association of Food Banks,615,yes
American College of Obstetricians and Gynecologists,614,no
Coalition of California Welfare Rights Organizations,614,yes
County of Santa Barbara,613,yes
California Housing Partnership Corporation,612,yes
Consumer Watchdog,612,no
Franchise Tax Board,612,no
Nisei Farmers League,612,yes
County Welfare Directors Association,611,yes
Asian Pacific Environmental Network,609,yes
City of Torrance,609,yes
State Department of Finance,609,no
Breathe California,607,yes
The Greenlining Institute,605,yes
American Association of Retired Persons,604,yes
City of Stockton,604,yes
Los Angeles District Attorney's Office,604,no
California Mortgage Bankers Association,603,no
Eastern Municipal Water District,602,yes
California New Car Dealers Association,599,no
California Department of Insurance,597,no
"American Federation of State, County and Municipal Employees (AFSCME)",596,yes
California Organization of Police and Sheriffs,595,no
Western Agricultural Processors Association,595,no
Safari Club International,594,yes
California Charter Schools Association,593,yes
Community Water Center,593,yes
California Healthcare Institute,591,no
National Center for Lesbian Rights,590,yes
California Independent Petroleum Association,589,yes
Jericho,587,no
San Francisco AIDS Foundation,584,no
The Children's Partnership,575,yes
California Council of Community Behavioral Health Agencies,573,yes
Organization of SMUD Employees,572,no
"California School Employees Association, AFL-CIO",571,yes
Midpeninsula Regional Open Space District,570,yes
Outdoor Sportsmen's Coalition of California,569,yes
Worksafe,569,no
California Union of Safety Employees,567,no
Consumers for Auto Reliability and Safety,566,yes
Public Law Center,565,yes
Western Plant Health Association,565,no
California Environmental Justice Alliance,564,yes
City of Moreno Valley,564,yes
Santa Clara Valley Transportation Authority,562,no
Anti-Defamation League,561,no
Alzheimer's Association,555,yes
Californians United for a Responsible Budget,554,yes
Active San Gabriel Valley,552,no
California Coalition for Rural Housing,552,yes
Department of Health Services,551,no
California Fresh Fruit Association,550,yes
California Public Utilities Commission,549,no
Companies,546,no
California Employment Law Council,545,no
California Independent Oil Marketers Association,543,no
Coalition for Adequate School Housing,543,no
California Federation for Animal Legislation,542,no
California Waterfowl Association,542,yes
Conference of California Bar Associations,542,no
California Hotel & Lodging Association,541,yes
California-Nevada Conference of Operating Engineers,541,no
350 Bay Area Action,539,yes
AIDS Project Los Angeles,539,no
Attorney General's Office,539,no
City of Roseville,539,yes
National Rifle Association,539,no
San Luis Obispo County Employees Association,539,no
Flasher/Barricade Association,538,no
Abundant Housing LA,537,yes
Southern California Contractors Association,536,yes
Justice in Aging,535,yes
County,534,no
Western Manufactured Housing Communities Association,534,yes
Environmental Defense Center,531,yes
Oppose,531,no
California Association of Code Enforcement Officers,528,yes
Housing Action Coalition,526,yes
Los Angeles Community College District,526,yes
County of Santa Cruz,523,yes
Los Angeles,522,no
California Ambulance Association,521,no
City of Santa Barbara,520,yes
Crime Victims United,520,no
San Bernardino Public Employees Association,520,no
Children's Law Center of California,519,yes
City of Norwalk,519,yes
Newport Beach Police Association,519,no
Juvenile Court Judges of California,518,yes
California Church Impact,516,yes
Long Beach Area Chamber of Commerce,516,yes
LeadingAge California,514,yes
AARP California,513,yes
Western Growers,513,yes
California College and University Police Chiefs Association,512,no
California League of Food Producers,512,no
Commission on the Status of Women,511,no
Simi Valley Chamber of Commerce,511,no
Greenbelt Alliance,509,yes
Communities United for Restorative Youth Justice,508,yes
Riverside Police Officers Association,508,no
Palos Verdes Police Officers Association,507,no
California Asian Pacific Chamber of Commerce,504,yes
El Dorado Irrigation District,504,yes
Santa Clara County Office of Education,504,yes
County of Los Angeles Board of Supervisors,503,yes
Breast Cancer Fund,502,yes
Fullerton Police Officers' Association,502,no
Californians Together,500,yes
Culver City Police Officers' Association,500,no
Local Health Plans of California,499,yes
"American Legion, Department of California",498,yes
City of Rancho Cucamonga,498,yes
Burbank Police Officers' Association,497,no
Southern California Gas Company,497,yes
County of Riverside,496,yes
PICO California,496,yes
Corporation for Supportive Housing,495,yes
Department of Consumer Affairs,495,no
The Climate Center,495,no
Contra Costa Humane Society,494,no
San Francisco Chamber of Commerce,494,yes
City of Alameda,493,yes
City of Camarillo,492,yes
San Diego County Office of Education,491,yes
Rubicon Programs,490,yes
California Contract Cities Association,489,yes
Pacific Merchant Shipping Association,488,no
Aspiranet,486,yes
AT&T,485,no
California Travel Association,485,yes
South Bay Association of Chambers of Commerce,485,yes
Sempra Energy,484,no
Non-Profit Housing Association of Northern California,483,yes
"California Child, Youth and Family Coalition",482,no
California Coalition for Women Prisoners,482,yes
California Narcotic Officers Association,480,yes
California State Firefighters' Association,478,yes
Association of California Life & Health Insurance Companies,476,no
Community Clinic Association of Los Angeles County,476,yes
California State Parks Foundation,475,yes
American Lung Association of California,473,no
Claremont Police Officers Association,473,no
California Church IMPACT,472,yes
County of Fresno,472,yes
Irvine Ranch Water District,472,no
National Association of Social Workers - California Chapter,472,yes
National Employment Law Project,472,no
Coalition for Humane Immigrant Rights of Los Angeles,471,yes
Riverside Sheriffs Association,471,no
California Family Council,470,no
Small School Districts Association,469,yes
Alcohol Justice,468,no
California Electric Transportation Coalition,468,no
California Air Pollution Control Officers Association,467,no
Latino Issues Forum,467,no
California Coalition of School Safety Professionals,466,no
Sacramento County Deputy Sheriffs' Association,465,no
California Motor Car Dealers Association,464,no
San Bernardino County,462,yes
Association of Orange County Deputy Sheriffs,461,no
Azul,459,yes
City of Pasadena,459,yes
California Association of Nonprofits,458,no
California Chronic Care Coalition,458,yes
California Reinvestment Coalition,458,yes
Corona Police Officers Association,458,no
California Association for Bilingual Education,457,no
Center on Juvenile and Criminal Justice,456,no
Fair Political Practices Commission,456,no
California Conference Board of the Amalgamated Transit,455,no
California Assisted Living Association,454,no
Smart Justice California,454,yes
California Council of Community Mental Health Agencies,453,yes
California Council of the Blind,453,no
Riverside Sheriff's Association,452,yes
Circulate San Diego,451,yes
City of Oceanside,451,yes
Communities for a Better Environment,451,yes
Industrial Environmental Association,449,no
California Trout,448,yes
California Veterinary Medical Association,447,no
City of Riverside,447,yes
Mental Health America of California,447,yes
Solano County Board of Supervisors,446,yes
District,445,no
California Hotel and Lodging Association,444,no
City of Santa Rosa,444,yes
National Council of La Raza,444,no
Arcadia Police Officers' Association,443,no
Cleanearth4kids.org,443,no
of California,443,no
County of Monterey,442,yes
Young Women's Freedom Center,441,yes
Apartment Association of Greater Los Angeles,440,yes
Building Owners and Managers Association of California,440,yes
California Alliance Against Domestic Violence,440,no
California Beer and Beverage Distributors,440,no
Los Angeles School Police Officers Association,440,no
NextGen California,440,yes
Save Our Shores,440,no
Torrance Area Chamber of Commerce,440,no
Department of Personnel Administration,439,no
Social Compassion in Legislation,439,yes
Chapter,438,no
County Behavioral Health Directors Association of California,438,yes
Small Business California,438,yes
Alameda County Office of Education,437,no
American Lung Association in California,437,yes
"Employees, AFL-CIO",437,no
Pomona Police Officers' Association,437,no
Advancement Project,435,yes
Alliance of American Insurers,435,no
Contractors State License Board,435,no
California Community Builders,434,yes
California Foundation for Independent Living Centers,433,yes
Humane Society of the United States,433,yes
City of Burbank,432,yes
Maternal and Child Health Access,432,yes
PolicyLink,432,yes
Desert Water Agency,431,yes
Rancho Cordova Chamber of Commerce,431,yes
"Vietnam Veterans of America, California State Council",431,yes
City of Chula Vista,430,yes
Los Angeles LGBT Center,430,yes
Riverside County Schools Advocacy Association,430,no
City of El Cajon,428,yes
Acclamation Insurance Management Services,426,no
Breast Cancer Action,426,no
San Francisco Baykeeper,425,yes
Service Employees International Union (SEIU),425,no
Waste Management,425,no
"California Association for Health, Physical Education, Recreation and Dance",424,no
Coalition for Humane Immigrant Rights,424,yes
Ocean Conservancy,424,yes
Sierra Club of California,424,yes
"AFSCME, AFL-CIO",423,yes
California Academy of Physician Assistants,423,yes
California State,423,no
City of Merced,423,yes
Community Alliance with Family Farmers,423,no
Family Business Association of California,423,no
International Council of Shopping Centers,421,yes
Gun Owners of California,420,no
Los Angeles County Metropolitan Transportation Authority,420,no
Superintendent of Public Instruction,420,no
Voices for Progress,420,yes
1 Individual,419,no
Association of California Life and Health Insurance,419,no
United Contractors,419,yes
California Professional Association of Specialty Contractors,418,yes
Climate Action California,418,no
California Catholic Conference of Bishops,417,yes
California Independent Grocers Association,417,no
Pacific Forest Trust,417,yes
Sierra Business Council,417,yes
Placer County Deputy Sheriffs' Association,416,no
State Bar of California,416,yes
Dolores Huerta Foundation,415,yes
Friends of the River,414,yes
California Small Business Association,413,yes
County of Ventura,413,yes
California Redevelopment Association,412,yes
Center for Responsible Lending,412,no
Orange County Employees Association,411,no
Sacramento Municipal Utility District,411,no
Streets for All,411,no
City of San Marcos,410,yes
Environmental Justice Coalition for Water,410,yes
Initiate Justice Action,410,no
San Diego Association of Governments,410,yes
Asian Americans Advancing Justice - California,409,yes
Association of Bay Area Governments,408,yes
Board of Behavioral Sciences,408,no
City of Palo Alto,408,yes
California Association of Resource Conservation Districts,406,yes
City of Huntington Beach,406,yes
United Ways of California,406,yes
NARAL Pro-Choice California,405,no
California Association of Environmental Health Administrators,404,no
Peninsula for Everyone,404,yes
Breast Cancer Prevention Partners,403,no
California Product Stewardship Council,403,no
"California Right to Life Committee, Inc",403,no
Health Access,403,no
Ventura County Board of Supervisors,403,yes
California Postsecondary Education Commission,402,no
Habitat for Humanity California,399,yes
JERICHO,398,no
American Cancer Society Cancer Action Network,396,yes
City of Poway,396,yes
Student Senate for California Community Colleges,396,yes
City of Sunnyvale,395,yes
California Correctional Supervisors Organization,394,no
The Trust for Public Land,394,yes
"United Food and Commercial Workers, Western States Council",394,yes
City of Culver City,393,yes
Department of Justice,393,no
Friends of the Earth,392,yes
San Diego County Board of Supervisors,392,yes
YIMBY Action,389,yes
County Superintendents of Schools,388,no
Inland Empire Utilities Agency,388,no
State Superintendent of Public Instruction,388,no
Workers,388,no
California Youth Connection,387,no
Apartment Association of Orange County,386,yes
California State Council of Service Employees International Union,386,no
Root & Rebound,386,yes
Three Valleys Municipal Water District,386,no
California Association of Local Conservation Corps,385,no
County of San Mateo,383,yes
California Hispanic Chambers of Commerce,382,yes
City of Glendale,382,yes
EdVoice,382,no
Plastic Pollution Coalition,382,no
Western Municipal Water District,382,no
CaliforniaHealth+ Advocates,381,yes
"AMVETS, Department of California",380,yes
California Broadcasters Association,380,no
Gray Panthers California,380,no
Murrieta Police Officers' Association,380,no
Brea Chamber of Commerce,379,no
Insurance Agents and Brokers Legislative Council,379,no
Alameda County,378,yes
Plumbing-Heating-Cooling Contractors Association of California,378,yes
League of CA Cities,377,yes
Legal Community Against Violence,377,no
Allied Managed Care,376,no
California Association of Psychiatric Technicians,376,no
California WIC Association,376,yes
East Bay Regional Park District,376,yes
"Military Officers Association of America, California Council of Chapters",376,yes
Traditional Values Coalition,376,no
"California Catholic Conference, Inc",375,no
City of Vista,375,yes
SB,375,no
Kaiser Permanente Medical Care Program,373,no
The Arc and United Cerebral Palsy California Collaboration,373,yes
California Association of Hospitals and Health Systems,372,no
California Department of Education,372,no
Center for Public Interest Law,372,no
Oxnard Chamber of Commerce,372,yes
County Behavioral Health Directors Association,371,yes
CA State Association of Counties,370,yes
City of Concord,370,yes
Employees (AFSCME),370,no
Pacific Coast Federation of Fishermen's Associations,370,yes
California Women Lawyers,369,no
National Guard Association of California,369,yes
Grow the Richmond,368,yes
Child Abuse Prevention Center,367,no
Legal Services for Prisoners With Children,367,yes
Western United Dairymen,367,no
California Alternative Payment Program Association,366,yes
County of Alameda,366,yes
Greater Coachella Valley Chamber of Commerce,366,yes
Santa Rosa City Employees Association,366,no
Women's Foundation of California,366,yes
Association of California,365,no
California Reserve Peace Officers Association,365,yes
City of Carlsbad,365,yes
Chinese for Affirmative Action,364,no
City of Santa Ana,364,yes
Southeast Asia Resource Action Center,364,yes
Eden Housing,363,yes
California Law Revision Commission,362,no
City of Beverly Hills,362,yes
Alliance of Catholic Health Care,361,yes
American College of Obstetricians and Gynecologists District IX,361,no
American Council of Engineering Companies of California,361,no
California Housing Partnership,361,yes
Law Foundation of Silicon Valley,360,yes
California Building Officials,359,yes
California Teamsters,359,no
350 Sacramento,358,yes
Seventh Generation Advisors,358,no
Asian Americans for Civil Rights and Equality,357,no
Association of Northern California Oncologists,357,yes
Redondo Beach Chamber of Commerce,357,no
California Association of Homes and Services for the Aging,356,no
Long Beach Unified School District,356,no
Santa Clara County,356,yes
Alliance of Automobile Manufacturers,355,no
Center for Community Action and Environmental Justice,355,yes
Contra Costa Water District,355,yes
National Audubon Society,355,no
San Diego County District Attorney's Office,355,no
County of,354,no
Personal Insurance Federation,354,no
American Property Casualty Insurance Association,353,no
Health Insurance Association of America,353,no
California Black Chamber of Commerce,352,yes
Housing and Economic Rights Advocates,352,yes
Leadership Counsel for Justice and Accountability,352,yes
Pacific Juvenile Defender Center,352,no
A Voice for Choice Advocacy,351,no
Association of California Water Agencies (ACWA),351,no
California Society of Addiction Medicine,350,no
350 Silicon Valley,349,yes
City of Palm Desert,349,yes
San Diego County District Attorney,349,no
Silicon Valley Community Foundation,349,yes
United Nurses Association of California,349,no
California Coalition Against Sexual Assault,348,yes
Northern California Recycling Association,348,no
The Two Hundred,348,yes
California Attractions and Parks Association,347,no
California Community Colleges,346,no
California Council of Land Trusts,346,yes
First 5 California,346,no
Los Angeles County Business Federation,346,yes
Marin County Board of Supervisors,346,yes
California State Firefighters Association,345,no
Upland Police Officers Association,345,no
Utility Workers Union of America,345,no
California Bean Shippers Association,344,no
Los Angeles Alliance for a New Economy,344,yes
Community Legal Services in East Palo Alto,343,yes
Legal Aid Foundation of Los Angeles,343,yes
Los Angeles District Attorney,343,no
Save the Bay,343,yes
California State Board of Pharmacy,342,no
National Multiple Sclerosis Society,342,yes
California Public Defenders Association (CPDA),341,no
County of Humboldt,341,yes
UDW/AFSCME Local 3930,341,yes
APLA Health,340,no
Coachella Valley Water District,340,no
Anti-Recidivism Coalition,339,yes
Children's Specialty Care Coalition,339,no
SPUR,339,yes
Contra Costa County Board of Supervisors,338,no
Department of Corporations,338,no
Environmental Health Coalition,338,yes
San Diego County,338,no
Carlsbad Chamber of Commerce,337,no
Mono Lake Committee,337,no
American Federation of State,336,no
California Cannabis Industry Association,336,no
California State Association of Psychiatrists,335,yes
Common Sense Kids Action,335,yes
Lawyers' Committee for Civil Rights of the San Francisco Bay Area,335,yes
California Civil Liberties Advocacy,334,no
Kern Community College District,334,no
Media Alliance,334,yes
National Parks Conservation Association,334,yes
Solid Waste Association of North America,334,no
Sonoma County Board of Supervisors,334,yes
State Farm Insurance Companies,334,no
City of Fountain Valley,333,yes
San Diego Housing Federation,333,yes
South Bay Cities Council of Governments,333,yes
Asian Law Caucus,332,yes
California Council on Alcohol Problems,332,no
California Hispanic Chamber of Commerce,332,yes
East Bay Rental Housing Association,332,yes
United Farm Workers,332,yes
American Civil Liberties Union (ACLU),331,no
BIOCOM,331,no
California Assessors' Association,331,yes
Environmental Protection Information Center,331,yes
Rural County Representatives of California (RCRC),331,no
Aging Services of California,330,yes
California Association for Local Economic Development,330,yes
National Stewardship Action Council,330,no
"United Food and Commercial Workers Union, Western States Council",330,no
California Public Employees' Retirement System,329,yes
Greater Riverside Chambers of Commerce,329,yes
Secure Justice,329,no
Sonoma County Water Agency,329,no
City of San Luis Obispo,328,yes
Department,328,no
Small Business Majority,328,no
Women Against Gun Violence,328,no
California Association of Catholic Hospitals,327,no
California Podiatric Medical Association,327,no
Fresno Unified School District,327,no
Riverside County Superintendent of Schools,327,no
American Nurses Association of California,326,no
Los Rios Community College District,326,no
California Coastal Commission,325,yes
California State Floral Association,325,no
Cucamonga Valley Water District,325,yes
Immigrant Legal Resource Center,325,no
Northern California Water Association,325,yes
Public Health Advocates,325,no
"Association for Los Angeles Deputy Sheriffs, Inc",323,no
Oceanside Chamber of Commerce,323,no
Sacramento,323,no
