definition of "executive officer," composes a tiny percentage of UC's	UC	parsed
Department of Finance (DOF) analysis indicates DOF	Department of Finance	parsed
Department of Finance (DOF) was opposed to an earlier	Department of Finance	parsed
Department of Finance (impending retraction, see above section	Department of Finance	parsed
Department of Finance (letter addresses issues in an earlier version of the bill)	Department of Finance	parsed
Department of Finance (letter dated see	Department of Finance	parsed
Department of Finance (prior to most recent amendments which may remove opposition--no new analysis available)	Department of Finance	parsed
Department of Finance (was opposed to the original text of the bill, and their position is now unknown. Author's office are in communication concerning DOF position)	Department of Finance	parsed
Department of Finance [i] "Getting Down to Facts" was commissioned by the Bill and Melinda Gates Foundation	Department of Finance	parsed
Department of Finance AB 204 (NATION)	Department of Finance	parsed
Department of Finance AB 984-Papan	Department of Finance	parsed
Department of Finance contends that this language would	Department of Finance	parsed
Department of Finance has an	Department of Finance	parsed
Department of Finance is	Department of Finance	parsed
Department of Finance is also	Department of Finance	parsed
Department of Finance position is "Neutral	Department of Finance	parsed
Department of Finance reports that while it concurs with the intent to address hunger problems in the state	Department of Finance	parsed
Department of Finance states that it is not	Department of Finance	parsed
Department of Finance was	Department of Finance	parsed
Department of Justice is an important first step. Facebook terminates all	Department of Justice	parsed
Department of Social Services and funded from private grants with an established budget of $1	Department of Social Services	parsed
Department of Technology may experience costs in considering whether to allow a state agency to install and operate a toll-free or non-toll free telephone line, but the analysis	Department of Technology	parsed
departments and prosecutors as well as the state. Due to realignment of the prison population, increasing numbers of crime victims will rely on			none_parsed
departments are common practices among hospitals, and are			none_parsed
departments currently prepare			none_parsed
departments may provide Medi-Cal eligibility information to other			none_parsed
departments properly invoked the AWOL rule. If the rule is not properly			none_parsed
departments without sufficient resources or offsetting savings			none_parsed
departments, and that elimination of furloughs for special fund employees			none_parsed
depend on economic studies and forecasts that will ultimately be			none_parsed
dependency diseases, and injuries resulting from violence			none_parsed
dependency on oil from outside California. They also			none_parsed
dependent adults unable to speak for themselves			none_parsed
depending on how they will be defined by OSHPD. CHA notes there are over 60 AHRQ indicators focused on adult prevention	CHA	parsed
depending on their insurance provider			none_parsed
depending upon their insurance provider			none_parsed
deposit and distribution of proceeds, and requires the Department of Justice to report annually on forfeiture proceeds, pursuant to local	Department of Justice	parsed
deprived of information about dangerous physicians through the inclusion of 'regulatory gag clauses' in civil settlement			none_parsed
deprived' the child of liberty? These changes will likely cause the statute to be found unconstitutionally vague			none_parsed
deputy director position and one additional position to provide			none_parsed
derailing the sale by the providers or devaluing the practice because of the cost of review and the uncertainty of the outcome			none_parsed
derived in this analysis. However, it is useful to talk			none_parsed
derives revenues from fuel tax dollars and boat registration fees			none_parsed
describes the limited nature of CEA coverage, may have been	CEA	parsed
description master available free of charge will not provide			none_parsed
description master, or for failure to post a notice, an			none_parsed
description of any economic profiling and associated			none_parsed
desensitize the offender to sexual issues			none_parsed
desert habitat. As a result, developers of California powerplants	developers of California powerplants	parsed
Design Manual and the California MUTCD in developing local roadways not			none_parsed
design national assessments aligned to the Common Core ELA and mathematic			none_parsed
designate many lesbian and gay parents as 'de facto' rather			none_parsed
designated and non-LPS designated facilities. The California Medical	The California Medical	parsed
designated by those sites, are vague. There is no way to ensure that			none_parsed
designated SPAP, and thus would not be exempt from the Medicaid best price rule			none_parsed
designating the specific personnel or caseload types that may warrant arming			none_parsed
designed for public postsecondary instruction. (3) "Textbook" means a book that contains printed material and is			none_parsed
designed specifically			none_parsed
designed to cure this loophole			none_parsed
designed to determine whether or not a computer program			none_parsed
designed to ensure both the Administration and the Legislature can provide			none_parsed
designers and building officials			none_parsed
desirable changes contained in the bill. It gives the unions veto			none_parsed
desire a more uniform approach to the tax problems created by			none_parsed
desired by California Department of Education (CDE) and the districts. Indeed, it could be more	California Department of Education	parsed
desired. I cannot sanction shifting these badly			none_parsed
Despite having the 5th largest economy in the nation, California continues to rank near the bottom of the			none_parsed
despite living and attending high school in California. This can be as			none_parsed
Despite our concerns, the UC	UC	parsed
despite the bill's language stating that the Legislature intends to implement a CPP in a fashion that is respectful of the current emergency medical system and its providers			none_parsed
Despite the clarifying nature of AB 25, several law			none_parsed
Despite the potential benefits of this legislation, this new proposed program should be reviewed in the context of the annual budget process and other			none_parsed
Despite the state's legal responsibility			none_parsed
Despite the state′s legal responsibility			none_parsed
despite their central role in rising drug costs and shrinking pharmacy access. The sponsors			none_parsed
Despite these challenges, the Board of Supervisors	Board of Supervisors	parsed
Despite this language, Southwest Airlines remains opposed to the new measure	Southwest Airlines	parsed
detailed notice and that all 1,042 school districts and over 1,200			none_parsed
detailed to use as the sole basis for making any decisions			none_parsed
detailing 131 data breaches, which compromised the personal information			none_parsed
detailing progress toward the goal stated in subdivision (a). The department may			none_parsed
detailing the state's proposed use of the available funds had			none_parsed
detained the minor through threats or duress, than how exactly has he			none_parsed
detect and treat problems related to learning disabilities			none_parsed
detention without charge or trial into law for the first time in American			none_parsed
Deteriorating mental health and drug addictions are often associated with homelessness			none_parsed
deterioration of cemetery grounds" is too subjective to be			none_parsed
determination of value when it includes improvement bonds			none_parsed
determination program. It also promotes the flexibility that previous			none_parsed
determination shall be included in the two-year commitment. (Only one section 6604 would then be necessary, with no sunset.)			none_parsed
determination whether placing the defendant in a jail environment would			none_parsed
determinations by the court, $683,300			none_parsed
determine a parolee's risk of reoffending. This assessment takes into			none_parsed
determine how it will meet the targets			none_parsed
determine if these projects will result in new revenues for California or			none_parsed
determine on a case-by-case basis - using a very high standard			none_parsed
determine products to offer based on consumer demand, and that the state's current standard provides a sufficient choice of healthy snacks			none_parsed
determine that the active notification is necessary to ensure the public safety. Such an amendment also has the value of ensuring that			none_parsed
determine the number of hours a part-time employee would need to work to			none_parsed
determine these facts was not required as the court findings are			none_parsed
determine when a youth is sufficiently rehabilitated to warrant release, but county courts and probation officials establish and enforce			none_parsed
determine whether a substance will have an adverse effect			none_parsed
determine whether an individual is who he or she			none_parsed
determine whether they can afford to go beyond the 300% level			none_parsed
determined by a physician, they			none_parsed
determined by management			none_parsed
determined that Carillo's testimony that he was home with his father			none_parsed
determined whether to retry him. On October 28, 2008, the D.A. dismissed			none_parsed
determined, in any eminent domain proceeding "to acquire property subject			none_parsed
determined. Also, as it is unknown how many			none_parsed
determines that existing is safe			none_parsed
determining proper installation methods for specific housing types, such as apartments, townhouses, and mobile homes			none_parsed
determining the socioeconomic level for each teacher in the district." They			none_parsed
detract from the Department's responsibility to provide			none_parsed
detrimental to the provision of critical services we currently provide			none_parsed
devastating blow to our organization when the unintended consequences of that law led to the cancellation of the 24th year of the Southern			none_parsed
develop methods to target the enforcement resources of participating			none_parsed
develop." The ITAA also	ITAA	parsed
developed and updated an inventory of the sources of greenhouse emissions within the state. It is unclear			none_parsed
developed by SMARTER Balanced will replace the existing STAR program. At	SMARTER Balanced	parsed
developed by vehicle manufacturers could be compromised if a			none_parsed
developers and contractors	developers and contractors	parsed
developers of market-rate housing to include affordable units in their			none_parsed
developing a diagnostic impression			none_parsed
developing a fiscal management system. A similar			none_parsed
development and education program operated through a public and private			none_parsed
Development Department (EDD) that translates to expenditures well	Employment Development Department	parsed
development facilities			none_parsed
Development fees are necessary to pay for the services needed			none_parsed
development investments in our neighborhoods. He			none_parsed
development is void and unenforceable			none_parsed
Development of Court Skillz			none_parsed
development of much needed energy infrastructure." Southern California	Southern California	parsed
development of young children, I also			none_parsed
development plans in order to determine eligibility			none_parsed
development projects			none_parsed
development purposes. CSAC	CSAC	parsed
Development that they hope to address the concerns of existing CSOs			none_parsed
development, and it is important that these children be fitted			none_parsed
development, but at the same time provide the public infrastructure that			none_parsed
development, job creation, and trade. In light of TCA's significant mission, I	TCA	parsed
development, there is not likely to be any net growth in state tax			none_parsed
development,' the real purpose of the bill appears to be economic protectionism			none_parsed
development-is subject to the recovery bond costs. The determination must be consistent with a prior commission			none_parsed
developmental centers can be better invested in helping the 280,000			none_parsed
Developmental Disabilities Area Board 10 (in Los Angeles County) writes that it strongly	Developmental Disabilities Area Board 10	parsed
Developmental Disabilities System capacity to supply those needs in the community setting. It was recognized that currently there were not			none_parsed
developmental disabilities who have intensive health and nursing needs and could benefit from this option for a			none_parsed
developmental toxicant, almuminum, and residual MRC5			none_parsed
developmentally disabled individuals. The California Disability Services	The California Disability Services	parsed
developments from the dedicated rate component will give the munies a competitive advantage to "cherry pick" new			none_parsed
developments in adjoining PG&E territory. The bill has a more	PG&E	parsed
device. However, a loophole exists that allows these offenders to receive			none_parsed
devices for the ailing eyes			none_parsed
dextromethorphan is the most widely used nonprescription cough			none_parsed
DFG to affirm such involvement occurred	DFG	parsed
DFG's land management should be broadened beyond hunter and anglers	DFG	parsed
DFG-the bill's sponsor-along with a number of hunting and fishing organizations	DFG	parsed
DFPI will likely need specialized staff with technical expertise in a rapidly evolving field	DFPI	parsed
DGS Consolidated Reports for the contracting periods	DGS	parsed
DGS does not have a current estimated value of the property, but	DGS	parsed
DGS does not have an estimate of potential lease revenues, but	DGS	parsed
DGS is also	DGS	parsed
DHCS also	DHCS	parsed
DHCS and the CPCA	DHCS and the CPCA	parsed
DHCS Audits and Investigations Unit began aggressively	DHCS Audits and Investigations Unit	parsed
DHCS does not currently have standards in place	DHCS	parsed
DHCS estimates the additional	DHCS	parsed
DHCS stated it would need additional staff	DHCS	parsed
DHCS states its support for developing a hospital provider fee, but is	DHCS	parsed
DHCS, also in opposition	DHCS	parsed
DHM is used in the NICU			none_parsed
DHS and supported by the Air Resources Board	DHS and the Air Resources Board	parsed
DHS and the Department of Finance	DHS and the Department of Finance	parsed
DHS could prove the provider's failure to submit a	DHS	parsed
DHS has 2 primary outreach programs	DHS	parsed
DHS in response to a report by the California State Auditor	DHS	parsed
DHS to change three of the four teenage pregnancy prevention programs administered by the Office from a contract process to a grant process for fund disbursement	DHS	parsed
DHS to continuously appropriate funds to the Health Facilities Citation Penalty Account	DHS	parsed
DHS to establish the reimbursement rates required by the establishment of updated coding systems required for	DHS	parsed
diabetes-related comorbidities that are known to lead to premature death could be prevented			none_parsed
diagnosed condition causing intractable pain			none_parsed
diagnosed mental disorder that makes the person a danger to			none_parsed
diagnosis is placed on the label because a symptom can be just			none_parsed
diagnostic assessments or interventions. National statistics also			none_parsed
dialog of the working group and continue progress between law			none_parsed
Diastat is a valium that is injected rectally while a child is in the middle of a violent seizure, wherever the child may be. If this child is			none_parsed
dictates just how a large employer may construct their health care benefits			none_parsed
did not file			none_parsed
did not have the "ability to grow over the next eleven years, normal			none_parsed
did not personally care for, knowing full well that eventually when the case goes to court, the officer would likely be reinstated with full pay			none_parsed
did, we should use this opportunity to invest in and support our youth			none_parsed
Diego County Laboratory were to issue a false-negative or a	Diego County Laboratory	parsed
diesel emissions. In addition, opponents	opponents	parsed
differences between the bills could be eliminated			none_parsed
differences between the new edition and the prior edition. (2) For any new editions of textbooks, an estimate of how long the new			none_parsed
differences with other states should consider the impact of policies			none_parsed
different and has different needs. Opponents feel that decisions about	Opponents	parsed
different from predatory adult sex offenders. Juvenile offenders-whose			none_parsed
different funding streams have separate administrative requirements			none_parsed
different groups			none_parsed
different issues and may therefore no longer be in			none_parsed
different lines of business must have different			none_parsed
different reporting requirements from those required under federal law, and that this will lead to confusion for students and additional costs			none_parsed
different requirements throughout California's jurisdictions and prefer a			none_parsed
