the_version,non_the_version,the_count,non_the_count
The California Newspaper Publishers Association,California Newspaper Publishers Association,1,931
The California Association of Clerks and Election Officials,California Association of Clerks and Election Officials,1,910
the California Association of Clerks and Election Officials,California Association of Clerks and Election Officials,1,910
The Faculty Association of California Community Colleges,Faculty Association of California Community Colleges,2,904
The California Pharmacists Association,California Pharmacists Association,1,887
The California School Nurses Organization,California School Nurses Organization,1,883
The American Cancer Society,American Cancer Society,3,880
The Little Hoover Commission,Little Hoover Commission,33,842
The American Heart Association,American Heart Association,5,846
The California Landscape Contractors Association,California Landscape Contractors Association,2,848
The Endangered Habitats League,Endangered Habitats League,1,849
The Clean Power Campaign,Clean Power Campaign,4,844
The California State Association of Counties (CSAC),California State Association of Counties (CSAC),6,799
the California State Association of Counties (CSAC),California State Association of Counties (CSAC),1,799
The Utility Reform Network,Utility Reform Network,777,17
The Orange County Transportation Authority,Orange County Transportation Authority,1,785
The American Electronics Association,American Electronics Association,6,777
The American Association of University Women,American Association of University Women,9,765
The California Taxpayers' Association,California Taxpayers' Association,4,762
The California Chiropractic Association,California Chiropractic Association,5,757
"The American Federation of State, County, and Municipal Employees","American Federation of State, County, and Municipal Employees",7,747
The California Mental Health Directors Association,California Mental Health Directors Association,3,746
The Electronic Frontier Foundation,Electronic Frontier Foundation,3,739
The American College of Obstetricians and Gynecologists,American College of Obstetricians and Gynecologists,125,614
The Steinberg Institute,Steinberg Institute,42,697
The California State Student Association,California State Student Association,3,729
The Children's Partnership,Children's Partnership,575,147
The Flasher Barricade Association,Flasher Barricade Association,1,710
the Flasher Barricade Association,Flasher Barricade Association,1,710
The Small School Districts' Association,Small School Districts' Association,7,702
The California Rifle and Pistol Association,California Rifle and Pistol Association,4,692
The San Bernardino County Sheriff's Department,San Bernardino County Sheriff's Department,1,695
The Engineering Contractors' Association,Engineering Contractors' Association,4,681
The California Financial Services Association,California Financial Services Association,2,681
The California Farm Bureau,California Farm Bureau,2,673
The Construction Employers' Association,Construction Employers' Association,1,671
"The American Federation of State, County, and Municipal","American Federation of State, County, and Municipal",12,656
The City of Berkeley,City of Berkeley,2,650
The California Land Title Association,California Land Title Association,4,640
The California Fence Contractors' Association,California Fence Contractors' Association,3,639
The International Longshore and Warehouse Union,International Longshore and Warehouse Union,1,639
The Capitol Resource Institute,Capitol Resource Institute,3,635
the Capitol Resource Institute,Capitol Resource Institute,2,635
The Department of General Services,Department of General Services,4,629
The County of Orange,County of Orange,2,631
the Department of General Services,Department of General Services,2,629
the San Bernardino County Sheriff,San Bernardino County Sheriff,8,618
The California State Sheriff's Association,California State Sheriff's Association,1,624
the California Bicycle Coalition,California Bicycle Coalition,2,620
The Orange County Board of Supervisors,Orange County Board of Supervisors,1,620
The County Welfare Directors Association,County Welfare Directors Association,8,611
The California Black Health Network,California Black Health Network,2,616
THE AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS,American College of Obstetricians and Gynecologists,1,614
the American College of Obstetricians and Gynecologists,American College of Obstetricians and Gynecologists,1,614
"The American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees (AFSCME)",18,596
The Franchise Tax Board,Franchise Tax Board,1,612
The Ocean Conservancy,Ocean Conservancy,185,424
The California Mortgage Bankers Association,California Mortgage Bankers Association,4,603
The Greenlining Institute,GreenLining Institute,605,1
The Los Angeles District Attorney's Office,Los Angeles District Attorney's Office,2,604
The California New Car Dealers Association,California New Car Dealers Association,5,599
The California Organization of Police and Sheriffs,California Organization of Police and Sheriffs,6,595
the California New Car Dealers Association,California New Car Dealers Association,1,599
The California Department of Insurance,California Department of Insurance,2,597
the California Department of Insurance,California Department of Insurance,1,597
The Safari Club International,Safari Club International,2,594
The City of Moreno Valley,City of Moreno Valley,12,564
The California Union of Safety Employees,California Union of Safety Employees,3,567
The Anti-Defamation League,Anti-Defamation League,5,561
The Attorney General's Office,Attorney General's Office,25,539
The Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,1,562
The Alzheimer's Association,Alzheimer's Association,6,555
The Department of Health Services,Department of Health Services,2,551
The Climate Center,Climate Center,495,55
The National Rifle Association,National Rifle Association,9,539
The California Waterfowl Association,California Waterfowl Association,4,542
The California-Nevada Conference of Operating Engineers,California-Nevada Conference of Operating Engineers,3,541
the California-Nevada Conference of Operating Engineers,California-Nevada Conference of Operating Engineers,1,541
The Flasher/Barricade Association,Flasher/Barricade Association,3,538
the Flasher/Barricade Association,Flasher/Barricade Association,1,538
The County,County,3,534
The Western Manufactured Housing Communities Association,Western Manufactured Housing Communities Association,1,534
The Environmental Defense Center,Environmental Defense Center,2,531
The California Association of Code Enforcement Officers,California Association of Code Enforcement Officers,3,528
the California Association of Code Enforcement Officers,California Association of Code Enforcement Officers,2,528
the Los Angeles Community College District,Los Angeles Community College District,1,526
The Los Angeles,Los Angeles,4,522
the Los Angeles,Los Angeles,1,522
The City of Santa Barbara,City of Santa Barbara,2,520
The Juvenile Court Judges of California,Juvenile Court Judges of California,2,518
The Children's Law Center of California,Children's Law Center of California,1,519
the California College and University Police Chiefs Association,California College and University Police Chiefs Association,4,512
The California College and University Police Chiefs Association,California College and University Police Chiefs Association,3,512
The Young Women's Freedom Center,Young Women's Freedom Center,60,441
The City of Rancho Cucamonga,City of Rancho Cucamonga,2,498
The Department of Consumer Affairs,Department of Consumer Affairs,2,495
The California Contract Cities Association,California Contract Cities Association,1,489
the Pacific Merchant Shipping Association,Pacific Merchant Shipping Association,1,488
The California Travel Association,California Travel Association,1,485
The California Narcotic Officers Association,California Narcotic Officers Association,4,480
the California Narcotic Officers Association,California Narcotic Officers Association,3,480
The California State Firefighters' Association,California State Firefighters' Association,1,478
The Riverside Sheriffs Association,Riverside Sheriffs Association,7,471
The Irvine Ranch Water District,Irvine Ranch Water District,3,472
the Claremont Police Officers Association,Claremont Police Officers Association,2,473
The National Association of Social Workers - California Chapter,National Association of Social Workers - California Chapter,2,472
The Coalition for Humane Immigrant Rights of Los Angeles,Coalition for Humane Immigrant Rights of Los Angeles,2,471
The County of Fresno,County of Fresno,1,472
the County of Fresno,County of Fresno,1,472
The California Family Council,California Family Council,2,470
The California Motor Car Dealers Association,California Motor Car Dealers Association,4,464
The State Bar of California,State Bar of California,51,416
The San Bernardino County,San Bernardino County,2,462
The California Assisted Living Association,California Assisted Living Association,7,454
The California Veterinary Medical Association,California Veterinary Medical Association,10,447
The Fair Political Practices Commission,Fair Political Practices Commission,1,456
The Advancement Project,Advancement Project,20,435
The Riverside Sheriff's Association,Riverside Sheriff's Association,3,452
the Riverside Sheriff's Association,Riverside Sheriff's Association,2,452
The California Council of Community Mental Health Agencies,California Council of Community Mental Health Agencies,1,453
The Child Abuse Prevention Center,Child Abuse Prevention Center,83,367
The California Alliance Against Domestic Violence,California Alliance Against Domestic Violence,8,440
the California Hotel and Lodging Association,California Hotel and Lodging Association,1,444
the Young Women's Freedom Center,Young Women's Freedom Center,1,441
The Alliance of American Insurers,Alliance of American Insurers,6,435
The Apartment Association of Greater Los Angeles,Apartment Association of Greater Los Angeles,1,440
The Contractors State License Board,Contractors State License Board,4,435
The County Behavioral Health Directors Association of California,County Behavioral Health Directors Association of California,1,438
The Service Employees International Union (SEIU),Service Employees International Union (SEIU),13,425
The Pacific Forest Trust,Pacific Forest Trust,20,417
the Alliance of American Insurers,Alliance of American Insurers,1,435
the City of Chula Vista,City of Chula Vista,2,430
The Association of California Life and Health Insurance,Association of California Life and Health Insurance,7,419
The California State,California State,3,423
the Service Employees International Union (SEIU),Service Employees International Union (SEIU),1,425
the State Bar of California,State Bar of California,9,416
The Superintendent of Public Instruction,Superintendent of Public Instruction,1,420
The Dolores Huerta Foundation,Dolores Huerta Foundation,2,415
The California Postsecondary Education Commission,California Postsecondary Education Commission,2,402
The American Cancer Society Cancer Action Network,American Cancer Society Cancer Action Network,2,396
The Trust for Public Land,TRUST FOR PUBLIC LAND,394,1
The California Correctional Supervisors Organization,California Correctional Supervisors Organization,1,394
The County Superintendents of Schools,County Superintendents of Schools,6,388
The San Diego County Board of Supervisors,San Diego County Board of Supervisors,1,392
The State Superintendent of Public Instruction,State Superintendent of Public Instruction,1,388
the County Superintendents of Schools,County Superintendents of Schools,1,388
The California Youth Connection,California Youth Connection,1,387
The Plastic Pollution Coalition,Plastic Pollution Coalition,4,382
the City of Glendale,City of Glendale,1,382
The California Broadcasters Association,California Broadcasters Association,1,380
The Traditional Values Coalition,Traditional Values Coalition,3,376
The California Sportsman's Lobby,California Sportsman's Lobby,58,320
The Legal Community Against Violence,Legal Community Against Violence,1,377
The Arc and United Cerebral Palsy California Collaboration,ARC and United Cerebral Palsy California Collaboration,373,4
the Traditional Values Coalition,Traditional Values Coalition,1,376
The Alliance of Catholic Health Care,Alliance of Catholic Health Care,11,361
The Association of California,Association of California,4,365
The California Alternative Payment Program Association,California Alternative Payment Program Association,1,366
The City of Santa Ana,City of Santa Ana,1,364
The California Teamsters,California Teamsters,3,359
The Alliance of Automobile Manufacturers,Alliance of Automobile Manufacturers,5,355
The National Audubon Society,National Audubon Society,4,355
The Personal Insurance Federation,Personal Insurance Federation,2,354
The Northern California Recycling Association,Northern California Recycling Association,6,348
The United Nurses Association of California,United Nurses Association of California,5,349
The Health Insurance Association of America,Health Insurance Association of America,1,353
The W. Haywood Burns Institute,W. Haywood Burns Institute,175,178
The Association of California Water Agencies (ACWA),Association of California Water Agencies (ACWA),1,351
the Northern California Recycling Association,Northern California Recycling Association,1,348
The Los Angeles County Business Federation,Los Angeles County Business Federation,2,346
The California Community Colleges,California Community Colleges,1,346
The Los Angeles District Attorney,Los Angeles District Attorney,2,343
The Anti-Recidivism Coalition,Anti-Recidivism Coalition,4,339
The National Multiple Sclerosis Society,National Multiple Sclerosis Society,1,342
the Amalgamated Transit Union,Amalgamated Transit Union,20,321
The Department of Corporations,Department of Corporations,3,338
The Environmental Health Coalition,Environmental Health Coalition,2,338
the Department of Corporations,Department of Corporations,1,338
The United Farm Workers,United Farm Workers,6,332
The Solid Waste Association of North America,Solid Waste Association of North America,4,334
The California Cannabis Industry Association,California Cannabis Industry Association,2,336
The California Partnership,California Partnership,18,319
the Media Alliance,Media Alliance,1,334
The California Assessors' Association,California Assessors' Association,3,331
The Environmental Protection Information Center,Environmental Protection Information Center,2,331
The Rural County Representatives of California (RCRC),Rural County Representatives of California (RCRC),1,331
The American Nurses Association of California,American Nurses Association of California,5,326
The California Association of Catholic Hospitals,California Association of Catholic Hospitals,2,327
The Immigrant Legal Resource Center,Immigrant Legal Resource Center,2,325
The Northern California Water Association,Northern California Water Association,2,325
The California Association of County Treasurers and Tax Collectors,California Association of County Treasurers and Tax Collectors,4,322
the Northern California Water Association,Northern California Water Association,1,325
The Amalgamated Transit Union,Amalgamated Transit Union,2,321
The California Association of Physician Groups,California Association of Physician Groups,1,322
The National Association of Mutual Insurance Companies,National Association of Mutual Insurance Companies,1,322
the California Association of Physician Groups,California Association of Physician Groups,1,322
The San Diego Community College District,San Diego Community College District,2,320
The Center,Center,19,301
The California Community Colleges Chancellor's Office,California Community Colleges Chancellor's Office,1,319
The California Immigrant Welfare Collaborative,California Immigrant Welfare Collaborative,11,308
The Mountain Lion Foundation,Mountain Lion Foundation,6,310
The California Library Association,California Library Association,6,308
The National Housing Law Project,National Housing Law Project,7,304
the Los Angeles County Democratic Party,Los Angeles County Democratic Party,1,310
The American,American,8,301
The United Transportation Union,United Transportation Union,1,308
The Department of Motor Vehicles,Department of Motor Vehicles,2,306
The 5 Gyres Institute,5 Gyres Institute,213,94
The California Agricultural Commissioners and Sealers Association,California Agricultural Commissioners and Sealers Association,4,303
The Los,Los,5,301
The Association of Deputy District Attorneys,Association of Deputy District Attorneys,4,300
The City of Whittier,City of Whittier,2,301
the Climate Resolve,Climate Resolve,4,297
the American Diabetes Association,American Diabetes Association,2,299
The Mexican American Legal Defense and Education Fund,Mexican American Legal Defense and Education Fund,2,297
the County of Sonoma,County of Sonoma,2,297
The Public Health Institute,Public Health Institute,2,295
The California Central Valley Flood Control Association,California Central Valley Flood Control Association,1,296
The Inland Empire Economic Partnership,Inland Empire Economic Partnership,3,293
The State Association of County Auditors,State Association of County Auditors,1,292
The California Trial Lawyers Association,California Trial Lawyers Association,2,290
The Association of Independent California Colleges and Universities,Association of Independent California Colleges and Universities,2,289
the Association of Independent California Colleges and Universities,Association of Independent California Colleges and Universities,1,289
The Marin Builders Association,Marin Builders Association,2,287
the Santa Cruz Climate Action Network,Santa Cruz Climate Action Network,1,288
The Big Sur Land Trust,Big Sur Land Trust,14,274
The State Department of Education,State Department of Education,2,286
The City of Modesto,City of Modesto,1,287
the AMVETS-Department of California,AMVETS-Department of California,1,287
The Women's Foundation California,Women's Foundation California,6,281
The Prevention Institute,Prevention Institute,1,285
The Trauma Foundation,Trauma Foundation,35,250
The Transgender Law Center,Transgender Law Center,3,282
The State Association of County Retirement Systems,State Association of County Retirement Systems,1,284
The San,San,2,281
"The Service Employees International Union, Local 1000","Service Employees International Union, Local 1000",1,281
the Pesticide Action Network,Pesticide Action Network,1,280
The California Highway Patrol,California Highway Patrol,1,279
The Central City Association of Los Angeles,Central City Association of Los Angeles,3,276
The City of Arcadia,City of Arcadia,1,278
The San Diego,San Diego,1,278
The Utility Reform Network (TURN),Utility Reform Network (TURN),274,4
the Peninsula Open Space Trust,Peninsula Open Space Trust,1,277
the Los Angeles Waterkeeper,Los Angeles Waterkeeper,1,276
The Coalition,Coalition,3,272
The California Low-Income Consumer Coalition,California Low-Income Consumer Coalition,1,274
The Independent Cities Association,Independent Cities Association,1,273
The Internet Association,Internet Association,53,219
"The Apartment Association, California Southern Cities","Apartment Association, California Southern Cities",2,267
"The American College of Obstetricians and Gynecologists, District IX","American College of Obstetricians and Gynecologists, District IX",22,245
The City of Fremont,City of Fremont,1,266
The California Democratic Party,California Democratic Party,2,264
The Jewish Public Affairs Committee of California,Jewish Public Affairs Committee of California,6,259
The City of Costa Mesa,City of Costa Mesa,1,264
the California Democratic Party,California Democratic Party,1,264
The United Way of Greater Los Angeles,United Way of Greater Los Angeles,41,223
THE AUTHOR,Author,1,262
The Author,Author,1,262
The Greater High Desert Chamber of Commerce,Greater High Desert Chamber of Commerce,1,259
The Town of Apple Valley,Town of Apple Valley,2,257
The Animal Protection Institute,Animal Protection Institute,1,258
The California Refuse Removal Council,California Refuse Removal Council,2,256
The California Family Resource Association,California Family Resource Association,1,257
the Natural Resources Defense Council (NRDC),Natural Resources Defense Council (NRDC),1,257
The Santa Monica Democratic Club,Santa Monica Democratic Club,19,237
The League of Women Voters,League of Women Voters,15,240
The Teamsters,Teamsters,40,214
The American Legion-Department of California,American Legion-Department of California,8,245
The City of Santa Cruz,City of Santa Cruz,3,250
the California News Publishers Association,California News Publishers Association,2,251
The California Association,California Association,1,252
The California Outdoor Heritage Alliance,California Outdoor Heritage Alliance,1,252
The Central California Asthma Collaborative,Central California Asthma Collaborative,2,250
The City of Tustin,City of Tustin,1,250
the Los Angeles Business Council,Los Angeles Business Council,3,247
The California Transportation Commission,California Transportation Commission,2,248
The California Mobilehome Parkowners Alliance,California Mobilehome Parkowners Alliance,1,249
The Department of Housing and Community Development,Department of Housing and Community Development,1,249
The Children's Defense Fund,Children's Defense Fund,11,238
The March of Dimes,March of Dimes,3,246
the Children's Defense Fund-California,Children's Defense Fund-California,1,247
the March of Dimes,March of Dimes,1,246
The County of Napa,County of Napa,4,242
The Department of Corrections,Department of Corrections,1,245
The Imperial Irrigation District,Imperial Irrigation District,1,245
the American Legion-Department of California,American Legion-Department of California,1,245
the National Electrical Contractors Association,National Electrical Contractors Association,2,243
The City of Cerritos,City of Cerritos,1,244
The Pharmaceutical Research and Manufacturers of America,Pharmaceutical Research and Manufacturers of America,1,244
The Community Associations Institute,Community Associations Institute,1,243
The City of Rosemead,City of Rosemead,1,241
The California Medical Association (CMA),California Medical Association (CMA),16,225
The San Bernardino County Board of Supervisors,San Bernardino County Board of Supervisors,2,239
The Construction Industry Legislative Council,Construction Industry Legislative Council,2,238
The National,National,7,232
The In Defense of Animals,In Defense of Animals,4,235
The Children's Law Center of Los Angeles,Children's Law Center of Los Angeles,2,236
The California Clinical Laboratory Association,California Clinical Laboratory Association,1,237
The California Clean Money Campaign,California Clean Money Campaign,2,235
the In Defense of Animals,In Defense of Animals,2,235
The Hollywood Chamber of Commerce,Hollywood Chamber of Commerce,2,233
The California Association of Life Underwriters,California Association of Life Underwriters,1,234
The Department of Industrial Relations,Department of Industrial Relations,1,234
The Land Trust of Santa Cruz County,Land Trust of Santa Cruz County,5,229
the American Council of Engineering Companies,American Council of Engineering Companies,1,233
The Executive Council of Homeowners,Executive Council of Homeowners,2,231
The Marin Builders' Association,Marin Builders' Association,1,232
The Humane Society of the United States,Humane Society Of The United States,231,1
The American Planning Association,American Planning Association,9,222
The Education Trust - West,Education Trust - West,215,15
The American Legion - Department of California,American Legion - Department of California,5,225
the Nature Conservancy,Nature Conservancy,2,228
the Early Edge California,Early Edge California,5,224
The Mosquito and Vector Control Association of California,Mosquito and Vector Control Association of California,2,227
The Regional Water Authority,Regional Water Authority,1,228
The County of San Luis Obispo,County of San Luis Obispo,1,227
the California Coalition on Workers' Compensation,California Coalition on Workers' Compensation,1,226
The United Food and Commercial Workers Western States Council,United Food and Commercial Workers Western States Council,18,208
The California Natural Gas Vehicle Coalition,California Natural Gas Vehicle Coalition,1,224
The Latin Business Association,Latin Business Association,2,222
the California Chapter of the American Fence Contractors' Association,California Chapter of the American Fence Contractors' Association,1,223
The Water Replenishment District of Southern California,Water Replenishment District of Southern California,3,219
The Fair Chance Project,Fair Chance Project,2,220
The Department of Fish and Game,Department of Fish and Game,3,218
the California State Teachers' Retirement System,California State Teachers' Retirement System,1,220
The California Federation of Republican Women,California Federation of Republican Women,1,219
The City of Emeryville,City of Emeryville,2,217
the Community Environmental Council,Community Environmental Council,2,216
"The Climate Reality Project, Los Angeles Chapter","Climate Reality Project, Los Angeles Chapter",55,161
"The Climate Reality Project, San Fernando Valley","Climate Reality Project, San Fernando Valley",16,200
The California Association of,California Association of,11,205
The California Chapter of the American Fence Association,California Chapter of the American Fence Association,3,213
The State Controller,State Controller,2,214
The California Physical Therapy Association,California Physical Therapy Association,1,215
The Riverside County Board of Supervisors,Riverside County Board of Supervisors,1,215
The Prison Law Office,Prison Law Office,2,213
The Monterey Bay Aquarium,Monterey Bay Aquarium,1,214
the County of Placer,County of Placer,1,214
The Women's Foundation of California,Women's Foundation Of California,212,1
The First Amendment Coalition,First Amendment Coalition,3,210
The City of Brea,City of Brea,1,212
The California Railroad Industry,California Railroad Industry,50,160
The California County Boards of Education,California County Boards of Education,2,207
The Transportation Agency for Monterey County,Transportation Agency for Monterey County,2,207
The City of Anaheim,City of Anaheim,3,205
The Association of California Cities - Orange County,Association of California Cities - Orange County,2,206
The Independent Energy Producers,Independent Energy Producers,1,207
The Vietnam Veterans of America-California State Council,Vietnam Veterans of America-California State Council,1,207
The State Humane Association of California,State Humane Association of California,2,205
The County of Tulare,County of Tulare,2,203
The California Domestic Workers Coalition,California Domestic Workers Coalition,3,201
The Foundation,Foundation,2,202
The National Association of Chain Drug Stores,National Association of Chain Drug Stores,2,202
The California Association of Collectors,California Association of Collectors,1,203
The California School Nurses Association,California School Nurses Association,3,199
The City of Watsonville,City of Watsonville,2,200
The Housing Rights Committee of San Francisco,Housing Rights Committee of San Francisco,1,200
the Sheriff,Sheriff,2,198
The City of Norco,City of Norco,1,199
"The Coalition of California Welfare Rights Organizations, Inc","Coalition of California Welfare Rights Organizations, Inc",1,199
The State Water Resources Control Board,State Water Resources Control Board,1,199
The American Council of Life Insurers,American Council of Life Insurers,5,192
The Barona Band of Mission Indians,Barona Band of Mission Indians,2,195
The Wildlands Conservancy,Wildlands Conservancy,153,43
The California Mental Health Planning Council,California Mental Health Planning Council,2,194
The Ecology Center,Ecology Center,1,195
The American Red Cross,American Red Cross,3,192
The Attorney,Attorney,2,193
The California District Attorney's Association,California District Attorney's Association,2,192
The Association of California Life Insurance Companies,Association of California Life Insurance Companies,1,193
the San Mateo County Transit District,San Mateo County Transit District,1,193
The Association of California State Supervisors,Association of California State Supervisors,1,192
the American Red Cross,American Red Cross,1,192
The California Board of Accountancy,California Board of Accountancy,5,187
The Seismic Safety Commission,Seismic Safety Commission,3,189
The Local Government Commission,Local Government Commission,2,190
The California Mining Association,California Mining Association,3,188
The Forest Resources Council,Forest Resources Council,1,190
the Ceres Community Project,Ceres Community Project,7,183
The Blood Centers of California,Blood Centers of California,5,185
The Diabetes Coalition of California,Diabetes Coalition of California,1,188
The Environmental Action Committee of West Marin,Environmental Action Committee of West Marin,1,188
The Governor's Office of Planning and Research,Governor's Office of Planning and Research,3,184
The Family Law Section of the State Bar,Family Law Section of the State Bar,2,185
The Justice,Justice,1,186
The California Attorney General,California Attorney General,8,178
The Youth Leadership Institute,Youth Leadership Institute,2,184
the Family Law Section of the State Bar,Family Law Section of the State Bar,1,185
The American Nurses Association/California,American Nurses Association/California,1,184
The National Resources Defense Council,National Resources Defense Council,3,181
the City of Azusa,City of Azusa,1,183
The 100% Campaign,100% Campaign,27,156
The City of Indian Wells,City of Indian Wells,1,182
The City of Pico Rivera,City of Pico Rivera,1,182
The California Public Parking Association,California Public Parking Association,2,180
The California Rental Housing Association,California Rental Housing Association,1,181
The Riverside,Riverside,1,180
The Alliance,Alliance,37,143
The California Thoroughbred Breeders Association,California Thoroughbred Breeders Association,2,177
The San Diego Hunger Coalition,San Diego Hunger Coalition,1,178
the California Attorney General,California Attorney General,1,178
the W. Haywood Burns Institute,W. Haywood Burns Institute,1,178
The California Association of Clerks and Elections Officials,California Association of Clerks and Elections Officials,2,176
The Applied Research Center,Applied Research Center,1,177
The California Teachers Association (CTA),California Teachers Association (CTA),1,177
The Los Angeles Conservation Corps,Los Angeles Conservation Corps,1,177
The National Federation of Independent Businesses,National Federation of Independent Businesses,2,175
The Vietnam Veterans of America - California State Council,Vietnam Veterans of America - California State Council,2,175
The California County Superintendents,California County Superintendents,2,174
The City of Pomona,City of Pomona,1,175
The Association of Los Angeles Deputy Sheriffs,Association of Los Angeles Deputy Sheriffs,5,170
The California Peace,California Peace,3,171
