label,category,org_name
conjoined-01,conjoined,United Hospital Association and Sharp Healthcare
conjoined-01,conjoined,"United Hospital Association, California Firefighters, Orange County Medical Association"
conjoined-01,conjoined,United Nurses Associations of California/Union of Health Care Professionals United Public Employees
conjoined-01,conjoined,United Nurses Associations of California/Union of Health Care Professionals Walgreens
conjoined-01,conjoined,United Nurses of California/Union of Health care Professionals California Teamsters
conjoined-01,conjoined,United Policyholders and Insurance Commissioner Ricardo Lara
conjoined-01,conjoined,United Services Automobile Association Association of California Insurance Companies
conjoined-01,conjoined,United States Navy United States Marines
conjoined-01,conjoined,United Trustees Association and California Mortgage Association
conjoined-01,conjoined,United Trustees Association and the California Mortgage Association
conjoined-01,conjoined,UnitedHealth Group and HealthAllies
conjoined-01,conjoined,University of California Student Association (UCSA) & California State Student Association (CSSA) (co-sponsors)
conjoined-01,conjoined,University of San Diego Consumer Attorneys of California Professor Stephen Barnett
conjoined-01,conjoined,University of San Diego School of Law Honorable Jackie Speier
conjoined-01,conjoined,University of Southern California Association of Independent California Colleges and Universities
conjoined-01,conjoined,"University, San Marcos Lambda Letters Project"
conjoined-01,conjoined,Unknown San Diego County Bar Association (sponsor) State Bar's Conference of Delegates State Bar
conjoined-01,conjoined,Unknown San Diego County Bar Association State Bar's Conference of Delegates State Bar
conjoined-01,conjoined,Upper Salinas - Las Tablas Resource Conservation District Veggielution
conjoined-01,conjoined,Urban Counties Caucus : Yolo County
conjoined-01,conjoined,Urban Counties Caucus Western Center on Law and Poverty California State Association of Counties Dayle McIntosh Center County of Orange
conjoined-01,conjoined,Urban Counties Caucus. Cities of: American Canyon
conjoined-01,conjoined,"US-Japan-China Comparative Policy Research Institute-Visual: Artists Guild, Los Angeles"
conjoined-01,conjoined,"USA, Gray Panthers California, Huntington Park"
conjoined-01,conjoined,USC Family Caregiver Support Center/LA Caregiver Resource Center
conjoined-01,conjoined,"Utilities Association, California Nurses"
conjoined-01,conjoined,"Utilities Commission, Union Pacific Railroad"
conjoined-01,conjoined,"Utility District, Gilroy Independence, League"
conjoined-01,conjoined,"Utility District, Heal the Bay, International"
conjoined-01,conjoined,"Utility District, League of California Cities, Natural Resources Defense Council, Physicians"
conjoined-01,conjoined,"Utility District, Sierra Club, Coalition of organizations (See attached list), 160"
conjoined-01,conjoined,Utility Reform Network (TURN) and the Allensworth Progressive Association
conjoined-01,conjoined,Utility Reform Network (TURN) and the California Large Energy Consumers Association are both
conjoined-01,conjoined,Utility Reform Network (TURN) and the Natural Resources Defense Council (NRDC) report they would
conjoined-01,conjoined,"Utility Workers Union of America, Local 132 Walgreens"
conjoined-01,conjoined,UWD and AFSCME Local 3930
conjoined-01,conjoined,Vacaville-Elmira Downey Historical Society Northern CA Association of Public Cemeteries Individual letters (12)
conjoined-01,conjoined,"Vallejo Neighborhood Housing Services, Inc., Valley Housing Foundation, Venice Community Housing Corp., West Hollywood Community Housing Corporation"
conjoined-01,conjoined,"Vallejo, National Association for the Advancement of Colored People, Peace Officers Research Association of California, Rental Housing Association, St. Vincent's Hill"
conjoined-01,conjoined,"Valley Air Pollution Control District, Imperial and Mexicali Clean Air Stakeholders, Latino"
conjoined-01,conjoined,Valley Unity Peace Treaty Pacoima Elementary School
conjoined-02,conjoined,"Valley Wastewater Reclamation Authority, WateReuse Association, West Basin Municipal"
conjoined-02,conjoined,"Valley Water District, Central Basin Municipal"
conjoined-02,conjoined,"Valley Water District, East Bay Municipal"
conjoined-02,conjoined,"Valley Water District, Save San Francisco Bay"
conjoined-02,conjoined,"Valley Water District, Sierra Club California, Solid Waste Association of North America, 1"
conjoined-02,conjoined,"Valley Water District, South Bayside System"
conjoined-02,conjoined,"Valley Water District, Southern California MG"
conjoined-02,conjoined,"Valley, La Habra, Hayward, Hemet, Huron, Irvine, Laguna"
conjoined-02,conjoined,"Valley, Long Beach Area, Los Angeles Latino, Moorpark, Murrieta/Wildomar, Port Hueneme, Santa Monica, Santa Paula, Ventura, and Vietnamese American"
conjoined-02,conjoined,"Valley, Newport Beach, Oakdale, Orange, Pasadena, Roseville, San Gabriel, Salinas, San Luis Obispo, Sonoma, Sonora, Stockton, Twin Cities (Police Authority), and Torrance"
conjoined-02,conjoined,"Valleys Coalition, Siskiyou County, Siskiyou County Farm Bureau, Siskiyou"
conjoined-02,conjoined,Ventura County Contractors Assn Bay Area Builders Exchange
conjoined-02,conjoined,"Verdes/South Bay Audubon Society, Planning and Conservation League, Save the Bay, Sierra Club (Santa Lucia Chapter), 1 individual"
conjoined-02,conjoined,Veterans Caucus of the California Democratic Party Worksafe
conjoined-02,conjoined,Veterans of Foreign Wars and the Ladies
conjoined-02,conjoined,Vice Chair California Cannabis Industry Association California Credit Union League
conjoined-02,conjoined,"Victims, Inc. (sponsor) California Newspaper Publishers Association"
conjoined-02,conjoined,Victor Community Support Services and Victor Treatment Centers
conjoined-02,conjoined,Victor Treatment Centers & Victor Community Support Services - Chico
conjoined-02,conjoined,"Victor Treatment Centers & Victor Community Support Services, Chico"
conjoined-02,conjoined,Victor Valley Association of Realtors Pasadena-Foothills Association of Realtors
conjoined-02,conjoined,"Vietnam Veterans of America, Armed Forces Retirees Association of California, Air Force Sergeants Association, Military Order of the Purple"
conjoined-02,conjoined,Vietnam Veterans of San Diego California Association of County Veterans Service Officers
conjoined-02,conjoined,Village Green Mobilehome Lapham Company
conjoined-02,conjoined,"Village, Western Boaters Safety Group, Dr"
conjoined-02,conjoined,Violence Prevention Coalitions of Orange County and Greater Los Angeles
conjoined-02,conjoined,"Violence, California Department of Justice, Doris Tate Crime Victims Bureau, Contra"
conjoined-02,conjoined,Virgin Galactic & Virgin Orbit
conjoined-02,conjoined,"Vista Independent Cities Association Orange County Division, League of California Cities California Police Chiefs Association"
conjoined-02,conjoined,Viterbi School of Engineering California State University Northridge
conjoined-02,conjoined,"Voice, Grandparents As Parents, Inc., Grandparents As Momentary Parents Again, and 55 individuals"
conjoined-02,conjoined,Volvo) General Motors Honda North America
conjoined-02,conjoined,"Voters, Californians Against Waste, Center for"
conjoined-02,conjoined,"Voters, City of Los Angeles & San Jose"
conjoined-02,conjoined,"Voters, CLCV Education Fund, California Natural"
conjoined-02,conjoined,"Voters, Clean Power Campaign, Natural Resources"
conjoined-02,conjoined,"Voters, Coalition for Clean Air, Communities"
conjoined-02,conjoined,"Voters, Concord, Central Contra Costa Solid"
conjoined-02,conjoined,"Voters, Pacer Distribution Services, Inc., Planning and Conservation League, Sierra Club"
conjoined-02,conjoined,"Voters, Planning and Conservation League (PCL)"
conjoined-02,conjoined,"Waste Association of North America, Waste"
conjoined-02,conjoined,"Waste Authority, Clean Water Action, Environment California, Maywood, Pico Rivera, Planning and Conservation League, San Fernando, San Francisco, San Pablo, Santa Cruz County"
conjoined-02,conjoined,"Waste Management Task Force, Sierra Club California"
conjoined-02,conjoined,"Waste Management, Safety-Kleen, Evergreen"
conjoined-02,conjoined,"Waste Systems, Sanitation Districts of Los"
conjoined-02,conjoined,"Waste, California Communities Against Toxics, California Environmental Rights Alliance, California Safe Schools, Center for"
conjoined-02,conjoined,"Waste, California State Association of Counties, Environmental Entrepreneurs (E2), City and County of San Francisco"
conjoined-02,conjoined,"Waste, Center for Environmental Health, Planning and Conservation League, Santa Clara"
conjoined-02,conjoined,"Waste, Center for Safe Energy, Grandmothers for"
conjoined-02,conjoined,"Waste, Community Recycling and Resource"
conjoined-02,conjoined,"Waste, Inc., As You Sow, Californians Against"
conjoined-02,conjoined,"Wastewater District Board of Directors, East"
conjoined-02,conjoined,"Water (5 letters), Rayne Water Conditioning (46 letters), Richetti Water Conditioning Systems (4 letters), Smart Systems, Special T Water"
conjoined-02,conjoined,"Water Action, Community Environmental Council, Defenders of Wildlife, Environmental"
conjoined-02,conjoined,"Water Agencies Group, Rowland Water District, Walnut Valley"
conjoined-02,conjoined,"Water Agency, Western States Petroleum"
conjoined-02,conjoined,"Water Centers, Purified Water Systems (3 letters), Quality Home Products (3 letters), Quality Water Engineering, Inc., Rain Soft, Randazzo's Water Conditioning, Rayne Quality"
conjoined-02,conjoined,"Water Department, Los Angeles, Roseville, Metropolitan Water District of Southern"
conjoined-02,conjoined,"Water District of Southern California, Pomona-Walnut-Rowland Joint Water Line Commission, Public"
conjoined-02,conjoined,"Water District, El Dorado Irrigation District, Monte Vista Water District, Placer County Water"
conjoined-02,conjoined,"Water District, Industry Manufacturers Council"
conjoined-02,conjoined,"Water District, Inland Empire Utilities Agency, Metropolitan Water District of Southern California, Palmdale Water District, San Gabriel Valley Water"
conjoined-02,conjoined,"Water District, San Dieguito Water District, San Gabriel County Water District, Scotts"
conjoined-02,conjoined,"Water District, Sierra Club California"
conjoined-02,conjoined,"Water District, Sierra Club-California"
conjoined-02,conjoined,"Water District, Solid Waste Association of North America"
conjoined-02,conjoined,"Water Districts of: Biggs-West Gridley, Borrego, Calleguas"
conjoined-02,conjoined,"Water Products, Inc., AQUA 2000, Aquion Limited"
conjoined-02,conjoined,"Water, Environmental Working Group, Greenaction"
conjoined-02,conjoined,"Watereuse, Planning and Conservation League"
conjoined-02,conjoined,"WateReuse, Sierra Club, League of California Cities"
conjoined-02,conjoined,WaterKeepers: Contra Costa Resource Conservation District
conjoined-02,conjoined,"Waters of North America, Glacier Water, Greater"
conjoined-02,conjoined,"Waters, Center for Marine Conservation, E"
conjoined-02,conjoined,"Wax & Sons, Shaklee Corp., Simi Valley Chamber"
conjoined-02,conjoined,WebTrafficSchool.com InstantTrafficSchool.com
conjoined-02,conjoined,"WeDrop, Irvine City Council Member Melissa Fox"
conjoined-02,conjoined,"West Coast Protective League, Glass Molders, Pottery, Plastic International Union"
conjoined-02,conjoined,West Hollywood Community Housing Corporation Westside Regional Center
conjoined-02,conjoined,Western Center on Law & poverty AARP California
conjoined-02,conjoined,Western Center on Law & Poverty Department of Consumer Affairs (sponsor)
conjoined-02,conjoined,"Western Center on Law & Poverty, Inc./ Children's Defense Fund"
conjoined-02,conjoined,Western Center on Law & Poverty: Young Survival Coalition
conjoined-02,conjoined,Western Center on Law and Poverty : Asian Law Alliance
conjoined-02,conjoined,Western Center on Law and Poverty and California Pan-Ethnic Health Network write
conjoined-02,conjoined,Western Center on Law and Poverty and Health Access California write
conjoined-02,conjoined,Western Center on Law and Poverty Young Minds Advocacy
conjoined-02,conjoined,Western Center on Law and Poverty/MAZON/CSSA/Student Senate for California Community Colleges/Young Invincibles /University of California Student Association CCWRO (Co-Sponsors)
conjoined-02,conjoined,Western Center on Law and Poverty: Asian Law Alliance
conjoined-02,conjoined,Western Center on Law and PovertyBay Area Legal Aid
conjoined-02,conjoined,Western Diocese/Armenian General Benevolent Union
conjoined-02,conjoined,"Western Electrical Contractors Association, Independent Electrical Contractors"
conjoined-02,conjoined,Western Electrical Contractors Association: Western Wall & Ceiling Contractors Association
conjoined-02,conjoined,Western Fairs Association NEUTRAL: San Mateo Couunty Expo
conjoined-02,conjoined,"Western Painting & Coating Contractors Association, Western Wall & Ceiling Contractors Association"
conjoined-02,conjoined,Western Riverside Council of Governments Cities of : Aliso Viejo
conjoined-02,conjoined,Western States Council of Sheet Metal Workers State Controller's Office
conjoined-02,conjoined,Western States Council of Sheet Metal Workers Worksafe
conjoined-02,conjoined,"Western States Council of Sheet Metal Workers, International Union of Elevator Constructors"
conjoined-02,conjoined,"Western States Petroleum Assn., California Chamber of Commerce, California Manufacturers' Assn., Metropolitan Water District, Solar Turbines, Lam Research Corp"
conjoined-02,conjoined,Western States Petroleum Association Hughes Electronics Northrop Grumman: Intel Corporation
conjoined-02,conjoined,Western United Dairymen and California Grain and
conjoined-02,conjoined,"Westlake Village Homeowners Assoc., WRAP Family Services"
conjoined-02,conjoined,Westside Cities Council of Governments. Cities of Arcardia
conjoined-02,conjoined,White People 4 Black Lives. Women's Foundation of California
conjoined-02,conjoined,Whitman Breed Abbott and Morgan Haight Ashbury Free Clinics
conjoined-02,conjoined,WHO and UNICEF
conjoined-02,conjoined,"Wilderness Society, The Wishtoyo Chumash Foundation"
conjoined-02,conjoined,"Williams Company, Silicon Valley Manufacturing"
conjoined-02,conjoined,"Willis Casey, Chief of Police"
conjoined-02,conjoined,Willows County of Sacramento Independent Cities Association Councilmember Laura Chick
conjoined-02,conjoined,"Wilson Group, The, Yolo Audubon Society"
conjoined-02,conjoined,"WINGS For Battered Women and their Children, Monterey Peninsula YWCA, Women Shelter, Center for Domestic Violence Prevention, South Lake Tahoe Womenos Center, San Diego"
conjoined-02,conjoined,"Wiyot Tribe, The Presbytery of San Diego, Twenty-nine Palms Band of Mission Indians, United Auburn Indian Community, Union of American Hebrew Congregations, 8 individuals"
conjoined-02,conjoined,"WMX Technologies, Laidlaw Environmental"
conjoined-02,conjoined,"Women Advancing the Valley Through Education, Attorney General Bill Lockyer"
conjoined-02,conjoined,Women Against Gun Violence' Women for American Values and Ethics
conjoined-02,conjoined,"Women Escaping a Child, Youth and Family Board of Supervisors"
conjoined-02,conjoined,Women on Bikes California & the Pedal Love Project
conjoined-02,conjoined,"Women, California Public Interest Research"
conjoined-02,conjoined,"Women, Los Angeles, Natural Resources Defense"
conjoined-02,conjoined,"Womenos Alternatives, Haven Womenos Center, wisconsin Coalition Against Domestic"
conjoined-02,conjoined,"Workers Local 5, USA Cab Ltd. (San Diego), Yellow Checker Cab Company, Inc. (San Jose), Yellow Cab Cooperative (San Francisco)"
conjoined-02,conjoined,YMCA of Greater Long Beach Berkeley-Albany YMCA
conjoined-02,conjoined,Yolo County Office of Education/Davis Unified School District
conjoined-02,conjoined,Young's Market Company and by Southern Wine and Spirits of California
conjoined-02,conjoined,Youth and Family Coalition California State Association of Counties County of Santa Clara
conjoined-02,conjoined,Yuba City Cities of: Arroyo Grande
conjoined-02,conjoined,Yucaipa County of Orange League of CA Cities League of CA Cities
conjoined-02,conjoined,Yucaipa. Counties of: Monterey
conjoined-02,conjoined,"Yurok Tribe, Klamath Water Users Association"
conjoined-02,conjoined,"Yurok Tribe, Pechanga Band of Mission Indians, and Bear River of the Rohnerville Rancheria"
conjoined-02,conjoined,YWCA (Glendale) YWCA - Wings (West Covina)
conjoined-02,conjoined,"Zone 7 Water Agency, Dublin San Ramon Services District, Roz"
conjoined-02,conjoined,"Zone, San Joaquin Partnership,Tehama Local Development"
conjoined-02,conjoined,"ZUMAR Industries, Inc. Roderick A. Campbell"
consolidate-01,consolidate,American Subcontractors Association-California
consolidate-01,consolidate,Bon Appétit Management Company
consolidate-01,consolidate,"California Federation of Teachers, AFT, AFL-CIO"
consolidate-01,consolidate,Triple-A Council of California
consolidate-01,consolidate,"Trustees Association (UTA), Five individuals"
consolidate-01,consolidate,Trusts and Estates Section of the State Bar of California AB 1363 (Jones)
consolidate-01,consolidate,Trusts and Estates Section of the State Bar of California: County of San Diego
consolidate-01,consolidate,Tulare District Attorney's Office
consolidate-01,consolidate,Twenty-Nine Palms
consolidate-01,consolidate,Twenty-Nine Palms Water District
consolidate-01,consolidate,U.A. Local 78 (prior version)
consolidate-01,consolidate,uAaspire
consolidate-01,consolidate,UAW 2865 Joint Council/Executive Board
consolidate-01,consolidate,UAW Locals 2865 (Berkeley) and 4123 (Sacramento)
consolidate-01,consolidate,UC Student Workers Union - UAW Local 2865
consolidate-01,consolidate,UC-AFT Local 1474
consolidate-01,consolidate,UCAN - United Chamber Advocacy Network
consolidate-01,consolidate,UDAW/AFSCME Local 3930
consolidate-01,consolidate,UDI/AFSCME Local 3930
consolidate-01,consolidate,UDW / AFSCME Local 3930
consolidate-01,consolidate,UDW America - AFSCME Local 3930
consolidate-01,consolidate,UDW Homecare Providers Unions
consolidate-01,consolidate,"UDW, AFSCME Local 3930"
consolidate-01,consolidate,UDW-AFSCME Local 3930
consolidate-01,consolidate,UDW/ AFSCME Local 3930
consolidate-01,consolidate,UDW/AFSCEM Local 3930
consolidate-01,consolidate,UDW/AFSCME
consolidate-01,consolidate,UDW/AFSCME Local 390
consolidate-01,consolidate,UDW/AFSCME Local 3903
consolidate-01,consolidate,UDW/AFSCME Local 3930 (Co - Sponsor)
consolidate-01,consolidate,UDW/AFSCME Local 3930 (Co-Sponsors)
consolidate-01,consolidate,UDW/AFSCME Local 3930 (sponsors)
consolidate-01,consolidate,UFCW Local 1179 (prior version)
consolidate-01,consolidate,UFCW Local 839 (prior version)
consolidate-01,consolidate,"UFCW, AFL-CIO & CLC, Local 839: Union 155"
consolidate-01,consolidate,UFCW- Local 5
consolidate-01,consolidate,"UKIAH UNIFIED 6,777"
consolidate-01,consolidate,UNAC
consolidate-01,consolidate,Union City Firefighters Local 1946
consolidate-01,consolidate,"UNION ELEMENTARY 5,063"
consolidate-01,consolidate,Union of American Physicians & Ca State Employees Association
consolidate-01,consolidate,Union of American Physicians and SB 2156 (Lewis) Page b Dentists
consolidate-01,consolidate,Union of Concerned Scientists: GOVERNOR'S VETO MESSAGE
consolidate-01,consolidate,Unitarian Universalist Project Freedom of Religion. SB 38 -- 4/5/99 Page
consolidate-01,consolidate,United Association of California Careproviders 635 individuals
consolidate-01,consolidate,United Chamber Advocacy Network (prior version)
consolidate-01,consolidate,United Chambers of Commerce - San Fernando Valley
consolidate-01,consolidate,United Chambers of Commerce - San Fernando Valley & Region
consolidate-01,consolidate,United Chambers of Commerce of the
consolidate-01,consolidate,"United Chambers of Commerce of the San Fernando Valley (July 9, 2007)"
consolidate-01,consolidate,United Chambers of Commerce: San Fernando Valley & Region
consolidate-01,consolidate,United Chambers of Commerce: San Fernando Valley and Region
consolidate-01,consolidate,United Child Care Campaign: GOVERNOR'S VETO MESSAGE
consolidate-01,consolidate,United Domestic Workers (sponsors)
consolidate-01,consolidate,United Domestic Workers (UDW/AFSCME)
consolidate-01,consolidate,United Domestic Workers - AFSCME Local 3930
consolidate-01,consolidate,United Domestic Workers AFSCME Local 3930
consolidate-01,consolidate,United Domestic Workers and the American Federation of State
consolidate-01,consolidate,United Domestic Workers of AB 81 (Napolitano) America
consolidate-01,consolidate,United Domestic Workers of America (co-sponsors)
consolidate-01,consolidate,United Domestic Workers of America (UDW) AFSCME Local 3930
consolidate-01,consolidate,United Domestic Workers of America (UDW/AFSCME)
consolidate-01,consolidate,United Domestic Workers of America - AFSCME Local 3930 / AFL-CIO
consolidate-01,consolidate,"United Domestic Workers of America - AFSCME Local 3930, AFL-CIO"
consolidate-01,consolidate,"United Domestic Workers of America - AFSME Local 3930, AFL-CIO"
consolidate-01,consolidate,United Domestic Workers of America / AFSCME Local 3930 / AFL-CIO (prior version)
consolidate-01,consolidate,United Domestic Workers of America /AFSCME
consolidate-01,consolidate,United Domestic Workers of America /AFSCME Local 3930
consolidate-01,consolidate,United Domestic Workers of America AFSCME Local 3930
consolidate-01,consolidate,United Domestic Workers of America Co-Sponsor
consolidate-01,consolidate,United Domestic Workers of America UDW/AFSCME Local 3930
consolidate-01,consolidate,"United Domestic Workers of America, UDW/AFSCME Local 3930"
consolidate-01,consolidate,"United Domestic Workers of America- AFSME Local 3930, AFL-CIO (Co-Sponsors)"
consolidate-01,consolidate,United Domestic Workers of America/ AFSCME Local 3930/ AFL-CIO
consolidate-01,consolidate,"United Domestic Workers of America/AFSCME Local 3930, AFL-CIO"
consolidate-01,consolidate,United Domestic Workers of America/AFSCME Local 3930/AFL-CIO
consolidate-01,consolidate,United Domestic Workers of America/AFSME Local 3930 AFL-CIO
consolidate-01,consolidate,United Domestic Workers of American/AFSCME (prior version)
consolidate-01,consolidate,"United Domestic Workers, AFSCME, Local 3930"
consolidate-01,consolidate,United Domestic Workers- AFSCME Local 3930
consolidate-01,consolidate,United Domestic Workers-UDW/AFSCME Local 3930
consolidate-01,consolidate,United EMS Workers AFSCME Local 4911
consolidate-01,consolidate,"United EMS Workers Local 4911, AFSCME, AFL-CIO"
consolidate-01,consolidate,"United EMS Workers, AFSCME Local 4911 -- END"
consolidate-01,consolidate,United Firefighters of Los Angeles City (UFLAC) Local 112
consolidate-01,consolidate,"United Firefighters of Los Angeles City, IAFF Local 112"
consolidate-01,consolidate,"United Firefighters of Los Angeles City, Local 112 (UFLAC)"
consolidate-01,consolidate,United Healthcare (previous version)
consolidate-01,consolidate,United Here Local 11
consolidate-01,consolidate,United HERE Local 11
consolidate-01,consolidate,United Long Term Care Workers (SEIU Local 6434)
consolidate-01,consolidate,United Long Term Care Workers Union (SEIU) Local 6434
