conjoined_text,mapped_orgs
"American Federation of State, County and Municipal Employees, Associated Builders and Contractors of California","American Federation of State, County and Municipal Employees (AFSCME) ; Associated Builders and Contractors of California"
California Association of Health Plans (CAHP) and Association of California Life and Health Insurance Companies (ACLHIC),California Association of Health Plans (CAHP) ; Association of California Life and Health Insurance Companies (ACLHIC)
Cities of: Agoura Hills,City of Agoura Hills
Jetty Extracts and the Shelter Project,Jetty Extracts ; Shelter Project
California Feline Foundation & Valley Animal Center - Fresno,California Feline Foundation ; Valley Animal Center of Fresno
"California Chamber of Commerce, California Manufacturers and Technology Association",California Chamber of Commerce ; California Manufacturers and Technology Association
"Sierra Club, Planning and Conservation League",Sierra Club ; Planning and Conservation League
"Black Brant Group, the California Bowmen Hunters/state Archery Association",Black Brant Group ; California Bowmen Hunters State Archery Association
"California Medical Association Aetna, Inc","California Medical Association ; Aetna, Inc"
County of City of Alameda,County of Alameda ; City of Alameda
County of City of San Bernardino,County of San Bernardino ; City of San Bernardino
County of City of San Diego,County of San Diego ; City of San Diego
County of City of Santa Rosa,County of Santa Rosa ; City of Santa Rosa
Inc. Hotel Employees,Hotel Employees and Restaurant Employees Union
Sheriffs of Los Angeles and San Mateo,Sheriff of Los Angeles ; Sheriff of San Mateo
"Systems, Inc., Planning and Conservation","Systems, Inc. ; Planning and Conservation League"
AFL-CIO California Tax Reform Association,AFL-CIO ; California Tax Reform Association
Assistance Program/Family Violence Project,Family Assistance Program ; Family Violence Project
Brawley Chamber of Commerce Brea Chamber of Commerce,Brawley Chamber of Commerce ; Brea Chamber of Commerce
California Financial Services Association California Retailers Association,California Financial Services Association ; California Retailers Association
"California Taxpayers Association, Howard Jarvis Taxpayers Association",California Taxpayers Association ; Howard Jarvis Taxpayers Association
"San Diego, Southern California, and Central California Chapters of Associated Builders and Contractors","Associated Builders and Contractors, San Diego ; Associated Builders and Contractors, Southern California ; Central California Association of Builders and Contractors"
American Career College/West Coast University,American Career College ; West Coast University
"Santa Clara Valley Water District, Association of California Water Agencies",Santa Clara Valley Water District ; Association of California Water Agencies
"Trust for Public Land, The Wild Places",Trust for Public Land ; Wild Places
County of Humboldt . California State Association of Counties,County of Humboldt ; California State Association of Counties
Children's Advocacy Institute / Dependency Legal Services,Children's Advocacy Institute ; Dependency Legal Services
California Association of Area Agencies on Aging Alzheimer's Association Alzheimer's Greater Los Angeles Alzheimer's Orange County Alzheimer's San Diego California Collaborative for Long-term Services and,California Association of Area Agencies on Aging ; Alzheimer's Association ; Alzheimer's Greater Los Angeles ; Alzheimer's Orange County ; Alzheimer's San Diego ; California Collaborative for Long-term Services and Supports
California Attorney Generalos Office Association for California Tort Reform,California Attorney General's Office ; Association for California Tort Reform
County of Legal/Court Interpretation Program,Legal/Court Interpretation Program
Women for:...: Coalition for Family Equity,Coalition for Family Equity
County of Cities of Adelanto,City of Adelanto
County of County of San Bernardino,County of San Bernardino
County of County of San Mateo,County of San Mateo
County of County of Yolo,County of Yolo
"California State Association of Counties, East",California State Association of Counties
Air Transport Association Southwest Airlines,Air Transport Association ; Southwest Airlines
"California State Association of Counties, League of California Cities",California State Association of Counties ; League of California Cities
Child Abuse Prevention Center/California Family Resource Association,Child Abuse Prevention Center ; California Family Resource Association
Commonweal/Californians for Juvenile Justice Reform,Commonweal ; Californians for Juvenile Justice Reform
County of Vista Chamber of Commerce,Vista Chamber of Commerce
Pacific Coast Federation of Fishermen's Associations/Institute for Fisheries Resources,Pacific Coast Federation of Fishermen's Associations ; Institute for Fisheries Resources
Safari Club International Foundation and Safari Club International,Safari Club International Foundation ; Safari Club International
San Francisco BayKeeper and DeltaKeeper,San Francisco Baykeeper ; Deltakeeper
Santa Clara Chamber of Commerce and Simi Valley Chamber of Commerce,Santa Clara Chamber of Commerce ; Simi Valley Chamber of Commerce
Unions California Labor Federation,California Labor Federation
"United Way Fresno Madera Counties, United Way of Stanislaus County",United Way Fresno and Madera Counties ; United Way of Stanislaus County
Southland Partnership Corporation/P.O.W.E.R. Collaborative Network,Southland Partnership Corporation ; P.O.W.E.R. Collaborative Network
Turlock Scavenger Turlock Recycling Turlock Transfer,Turlock Scavenger ; Turlock Recycling ; Turlock Transfer
"Communication Workers of America Local 9412, and Local 9423",Communication Workers of America Local 9412 ; Communication Workers of America Local 9423
County and Municipal Employees AMVETS,"American Federation of State, County and Municipal Employees (AFSCME) ; AMVETS"
"Boards of supervisors of Del Norte, Humboldt, Mendocino, Sonoma, Napa, Shasta, Yuba, and El Dorado counties",Board of Supervisors of Del Norte County ; Board of Supervisors of Humboldt County ; Board of Supervisors of Mendocino County ; Board of Supervisors of Sonoma County ; Board of Supervisors of Napa County ; Board of Supervisors of Shasta County ; Board of Supervisors of Yuba County ; Board of Supervisors of El Dorado County
"5 Gyres Institute, The American Academy of Pediatrics, California","5 Gyres Institute ; American Academy of Pediatrics, California"
AFL-CIO Judy Michaels,AFL-CIO
Adventist Health and Loma Linda University Medical Center,Adventist Health ; Loma Linda University Medical Center
"American Federation of State, County and Municipal Employees, AFL-CIO American Legion-Department of California","American Federation of State, County and Municipal Employees, AFL-CIO ; American Legion-Department of California"
"American of Federal, State, County and Municipal Employees, AFL-CIO Peace Officers Research Association of California","American Federation of State, County and Municipal Employees, AFL-CIO ; Peace Officers Research Association of California"
"Associated Builders and Contractors, San Diego, Southern California and Central Valley Chapters","Associated Builders and Contractors, San Diego ; Associated Builders and Contractors, Southern California ; Central Valley Association Builders and Contractors"
"Attorney General, the League of California Cities, the County Supervisors Association",Attorney General ; League of California Cities ; County Supervisors Association
"Audubon California, Defenders of Wildlife, The Nature",Audubon California ; Defenders of Wildlife ; The Nature Conservancy
CMHDA and CSAC,California Mental Health Directors Association (CMHDA) ; California State Association of Counties (CSAC)
"California Building Industry Association, California Business Properties Association",California Building Industry Association ; California Business Properties Association
"California Rural Legal Assistance Foundation, Western Center on Law and Poverty",California Rural Legal Assistance Foundation ; Western Center on Law and Poverty
"California State Association of Counties, California State Association of Local Agency Formation Commissions, East Bay Municipal Utility District",California State Association of Counties ; California State Association of Local Agency Formation Commissions ; East Bay Municipal Utility District
"Center for Oceanic Awareness, Research, and Education, the Center for Public Environmental Oversight","Center for Oceanic Awareness, Research, and Education ; Center for Public Environmental Oversight"
"Cities of: Camarillo, Chino Hills, Rancho Cucamonga",City of Camarillo ; City of Chino Hills ; City of Rancho Cucamonga
Cook Erectors Cordova Glass Co,Cook Erectors Inc ; Cordova Glass Company
"Counties of: Riverside, Sacramento, San Bernardino",County of Riverside ; County of Sacramento ; County of San Bernardino
"Firefighters Associations of Alhambra, Alpine, American",Firefighters Association of Alhambra ; Firefighters Association of Alpine
"Humane Society of the United States, The Humane Society Veterinary Medical Association",Humane Society of the United States ; Humane Society Veterinary Medical Association
Jefferson Smurfit Corporation/Container Co. of America,Jefferson Smurfit Corporation ; Container Corporation of America
LAX Coastal Chamber of Commerce Los Angeles Parking Association,LAX Coastal Chamber of Commerce ; Los Angeles Parking Association
"Planning and Conservation League, South Coast Air",Planning and Conservation League ; South Coast Air Quality Management District
Plastic Pollution Coalition/ the Last Plastic Straw,Plastic Pollution Coalition ; Last Plastic Straw
Public Interest Law Project/California Affordable Housing Law Project,Public Interest Law Project ; California Affordable Housing Law Project
Safari Club International/Safari Club International Foundation,Safari Club International ; Safari Club International Foundation
"Towns of: Apple Valley, Town of Danville, Hillsborough, Mammoth Lakes, Paradise, Tiburon, Windsor, Yountville",Town of Apple Valley ; Town of Danville ; Town of Hillsborough ; Town of Mammoth Lakes ; Town of Paradise ; Town of Tiburon ; Town of Windsor ; Town of Yountville
Western States Council Del Mar Firefighters Loc. 4163,Western States Council ; Del Mar Firefighters Local 4163
"American Legion-Department of California, AMVETS-Department of California, California State Commanders Veterans Council",American Legion-Department of California ; AMVETS-Department of California ; California State Commanders Veterans Council
"Charge Ahead California Campaign (Coalition for Clean Air, Communities for a Better Environment, Environment California, The Greenlining Institute, Natural Resources Defense Council)",Charge Ahead California Campaign ; Coalition for Clean Air ; Communities for a Better Environment ; Environment California ; The Greenlining Institute ; Natural Resources Defense Council
Jewish Federation of The Sacramento Region and The Sacramento Jewish Community Relations Council,Jewish Federation of the Sacramento Region ; Sacramento Jewish Community Relations Council
American Heart Association/American Stroke Association (AHA/ASA),American Heart Association ; American Stroke Association
"Planning and Conservation League, Sierra Club California",Planning and Conservation League ; Sierra Club California
Consumer Attorneys of California and the California Employment Lawyer's Association,Consumer Attorneys of California ; California Employment Lawyers Association
"Medical Professionals with: Valley Children's Hospital, Visalia Family Practice",Valley Children's Hospital ; Visalia Family Practice
California Coastkeeper Alliance: Defenders of Wildlife,California Coastkeeper Alliance ; Defenders of Wildlife
"New Frontier Democratic Club, President and Chair of Criminal Justice Task Force, Black Women's Forum, Bobbie: Anderson",New Frontier Democratic Club ; Black Women's Forum
American Civil Liberties Union of California Coalition for Humane Immigrant Rights of Los Angeles Mexican American Legal Defense and Education Fund National Council of La Raza African Advocacy Network Asian Americans Advancing Justice Asian Law Alliance California Attorneys for Criminal Justice California Immigrant Policy Center California Partnership California Public Defenders Association California Rural Legal Assistance Foundation Californians for Safety and Justice Californians United for a Responsible Budget Central American Resource Center - Los Angeles Chinese for Affirmative Action Community United Against Violence Congregations Building Community Del Sol Group,American Civil Liberties Union of California ; Coalition for Humane Immigrant Rights of Los Angeles ; Mexican American Legal Defense and Education Fund ; National Council of La Raza ; African Advocacy Network ; Asian Americans Advancing Justice ; Asian Law Alliance ; California Attorneys for Criminal Justice ; California Immigrant Policy Center ; California Partnership ; California Public Defenders Association ; California Rural Legal Assistance Foundation ; Californians for Safety and Justice ; Californians United for a Responsible Budget ; Central American Resource Center - Los Angeles ; Chinese for Affirmative Action ; Community United Against Violence ; Congregations Building Community ; Del Sol Group
California Coastal Protection Network Coastwalk,California Coastal Protection Network ; Coastwalk
California Medical Association Organizations Expressing Concern,California Medical Association
California School Boards Association EdVoice,California School Boards Association ; EdVoice
California Association of Sanitation Agencies : Amador County,California Association of Sanitation Agencies ; County of Amador
County/City Association of Governments,City/County Association of Governments
AFL-CIO California State Council of Laborers,AFL-CIO ; California State Council of Laborers
"California Labor Federation, AFL-CIO, Sacramento","California Labor Federation, AFL-CIO"
City of Lasd,Lasd
City of Recology,Recology
"League, Sierra Club California, Worksafe",Planning and Conservation League ; Sierra Club California ; Worksafe
"Reform Association, American Federation of State, County, and Municipal","American Federation of State, County and Municipal Employees (AFSCME)"
"Counties of Merced, San Luis Obispo and Stanislaus",County of Merced ; County of San Luis Obispo ; County of Stanislaus
"Counties of Sonoma, Placer and San Luis Obispo",County of Sonoma ; County of Placer ; County of San Luis Obispo
Yuba and Sutter Counties,County of Yuba ; County of Sutter
"Boards of Supervisors for Del Norte, Humbolt, Mendocino, Napa, Shasta, Solano, Sonoma, and Yuba Counties",Board of Supervisors of Del Norte County ; Board of Supervisors of Humboldt County ; Board of Supervisors of Mendocino County ; Board of Supervisors of Napa County ; Board of Supervisors of Shasta County ; Board of Supervisors of Solano County ; Board of Supervisors of Sonoma County ; Board of Supervisors of Yuba County
"California Community College Trustees, California Community",California Community College Trustees
"ACLU, CACJ and California Judges Association",American Civil Liberties Union ; California Attorneys for Criminal Justice ; California Judges Association
"American Federation of State, County, and Municipal Employees, AFL-CIO California Conference of Machinists","American Federation of State, County and Municipal Employees, AFL-CIO ; California Conference of Machinists"
"Association of California Water Agencies, California Association of Sanitation Agencies",Association of California Water Agencies ; California Association of Sanitation Agencies
Bolt ElectricRex Moore Electrical Contractors & Engineers,Bolt Electric ; Rex Moore Electrical Contractors & Engineers
CAHP and ACLHIC,California Association of Health Plans (CAHP) ; Association of California Life and Health Insurance Companies (ACLHIC)
California Association of Health Plans and the Association of California Life and Health Insurance Companies are,California Association of Health Plans ; Association of California Life and Health Insurance Companies
California Attorneys for Criminal JusticeInter-Agency Council on,California Attorneys for Criminal Justice ; Inter-Agency Council
"California Communities Against Toxics, Planning and Conservation League",California Communities Against Toxics ; Planning and Conservation League
California Hospital Association Scripps Health,California Hospital Association ; Scripps Health
"California League of Conservation Voters, Sierra Club California",California League of Conservation Voters ; Sierra Club California
California Native Plant Society Defenders of Wildlife,California Native Plant Society ; Defenders of Wildlife
California Pharmacists Association (CPhA) and Western Center on Law & Poverty (WCLP),California Pharmacists Association ; Western Center on Law & Poverty
"California Tax Reform Association, California Teachers Association",California Tax Reform Association ; California Teachers Association
Center/Pathways Domestic Violence Program,Pathways Domestic Violence Program
Cities of Alhambra,City of Alhambra
"Cities of Benicia, Lakewood, Stockton",City of Benicia ; City of Lakewood ; City of Stockton
"Cities of: Adelanto, Agoura Hills, American Canyon, Antioch, Arvin, Atascadero, Azusa, Bell Gardens, Bellflower, Belmont, Benicia, Berkeley, Beverly Hills, Bishop, Blythe, Brea, Brisbane, Burbank, Burlingame, California City, Calistoga, Camarillo, Carlsbad, Carmel-by-the-Sea, Carson, Chowchilla, Citrus Heights, Clayton, Cloverdale, Clovis, Coalinga, Colfax, Commerce, Concord, Costa Mesa, Cotati, Covina, Cypress, Daly City, Diamond Bar, Dixon, El Cajon, El Segundo, Emeryville, Encinitas, Exeter, Fairfield, Folsom, Fontana, Fortuna, Foster City, Fountain Valley, Fowler, Fremont, Fullerton, Glendora, Grand Terrace, Greenfield, Gridley, Guadalupe, Half Moon Bay, Hanford, Healdsburg, Hermosa Beach, Hesperia, Highland, Hollister, Huntington Beach, Huntington Park, Huron, Imperial Beach, Irvine, Irwindale, Jackson, Kingsburg, La Palma, La Puente, La Verne, Lafayette, Laguna Beach, Laguna",City of Adelanto ; City of Agoura Hills ; City of American Canyon ; City of Antioch ; City of Arvin ; City of Atascadero ; City of Azusa ; City of Bell Gardens ; City of Bellflower ; City of Belmont ; City of Benicia ; City of Berkeley ; City of Beverly Hills ; City of Bishop ; City of Blythe ; City of Brea ; City of Brisbane ; City of Burbank ; City of Burlingame ; City of California City ; City of Calistoga ; City of Camarillo ; City of Carlsbad ; City of Carmel-by-the-Sea ; City of Carson ; City of Chowchilla ; City of Citrus Heights ; City of Clayton ; City of Cloverdale ; City of Clovis ; City of Coalinga ; City of Colfax ; City of Commerce ; City of Concord ; City of Costa Mesa ; City of Cotati ; City of Covina ; City of Cypress ; City of Daly City ; City of Diamond Bar ; City of Dixon ; City of El Cajon ; City of El Segundo ; City of Emeryville ; City of Encinitas ; City of Exeter ; City of Fairfield ; City of Folsom ; City of Fontana ; City of Fortuna ; City of Foster City ; City of Fountain Valley ; City of Fowler ; City of Fremont ; City of Fullerton ; City of Glendora ; City of Grand Terrace ; City of Greenfield ; City of Gridley ; City of Guadalupe ; City of Half Moon Bay ; City of Hanford ; City of Healdsburg ; City of Hermosa Beach ; City of Hesperia ; City of Highland ; City of Hollister ; City of Huntington Beach ; City of Huntington Park ; City of Huron ; City of Imperial Beach ; City of Irvine ; City of Irwindale ; City of Jackson ; City of Kingsburg ; City of La Palma ; City of La Puente ; City of La Verne ; City of Lafayette ; City of Laguna Beach
"Cities of: Berkeley, Claremont, Culver City, Cupertino, Del",City of Berkeley ; City of Claremont ; City of Culver City ; City of Cupertino
City of San Diego State Board of Equalization Burbank Chamber of Commerce Aris Helicopters,City of San Diego ; State Board of Equalization ; Burbank Chamber of Commerce ; Aris Helicopters
City of Torrance County of Butte,City of Torrance ; County of Butte
City of Windsor City of Arcata Councilmember,City of Windsor ; City of Arcata
County of San Diego Design-Build Institute of America,County of San Diego ; Design-Build Institute of America
County of Santa Clara County of Los Angeles,County of Santa Clara ; County of Los Angeles
"County, CA. State Assoc. of Counties (CSAC) (AFSCME)","California State Association of Counties (CSAC) ; American Federation of State, County and Municipal Employees (AFSCME)"
"County, Metropolitan State Hospital, Monterey County, Mt",Metropolitan State Hospital ; County of Monterey
Daniel Freeman Marina Hospital/Daniel Freeman Memorial,Daniel Freeman Marina Hospital ; Daniel Freeman Memorial Hospital
Department of General Services/Victim Compensation and Government Claim Board,Department of General Services ; California Victim Compensation and Government Claims Board
Environmental Working Group & EWG Action Fund,Environmental Working Group ; EWG Action Fund
Giffords Law Center to Prevent Gun Violence and National Network Of Hospital-Based Violence Intervention Programs (NNHVIP),Giffords Law Center to Prevent Gun Violence ; National Network of Hospital-Based Violence Intervention Programs
"Gorgonio Pass, Crestline-Lake Arrowhead, and Antelope Valley-East Kern",San Gorgonio Pass Water Agency ; Crestline-Lake Arrowhead Water Agency ; Antelope Valley-East Kern Water Agency
Half Moon Bay Coastside Chamber Surety Company of the Pacific,Half Moon Bay Coastside Chamber of Commerce ; Surety Company of the Pacific
Inland Abundant Housing & Housing and Homeless Collaborative of Claremont,Inland Abundant Housing ; Housing and Homeless Collaborative of Claremont
"League of California Cities, Sierra Club California",League of California Cities ; Sierra Club California
"Legislative Alliance, and Ventura County Climate Hub",Regional Legislative Alliance of Ventura ; Ventura County Climate Hub
Municipal Employees California Labor Federation,"American Federation of State, County and Municipal Employees (AFSCME) ; California Labor Federation"
Museum of Vintage Fashion and Mott Memorial Meadow,Museum of Vintage Fashion ; Mott Memorial Meadow
"NAACP of Sacramento, Santa Rosa and Vallejo",NAACP of Sacramento ; NAACP of Santa Rosa ; NAACP of Vallejo
"Nature Conservancy, The Pacific Forest Trust",The Nature Conservancy ; Pacific Forest Trust
"One Lambda, Incorporated (7) Seven Design Co., LTD","One Lambda, Incorporated ; Seven Design Co., LTD"
Sachs & Book California Association of Professional Scientists California Botanical Society-Madrono California Native Plant Society California State University,Sachs & Book ; California Association of Professional Scientists ; California Botanical Society ; California Native Plant Society ; California State University
Sheriff-Coroner of Alameda County and of Monterey County,Sheriff-Coroner of Alameda County ; Sheriff-Coroner of Monterey County
"Sr. Claudia Romero, ODN, Office of The Roman Catholic",Office of The Roman Catholic Chaplain
Western Center on Law & Poverty Department of Consumer Affairs,Western Center on Law & Poverty ; Department of Consumer Affairs
California TCM University Alumni Association and Institute of TCM Seminars,California TCM University Alumni Association ; Institute of TCM Seminars
"Children's Partnership, the Coalition of California Welfare Rights Organizations",The Children's Partnership ; Coalition of California Welfare Rights Organizations
City of Pomona and Pomona Redevelopment Agency,City of Pomona ; Pomona Redevelopment Agency
Southern California Watershed Alliance & Desal Response Group,Southern California Watershed Alliance ; Desal Response Group
The American Institute of Steel Construction & the National Steel Bridge Alliance,American Institute of Steel Construction ; National Steel Bridge Alliance
"California Labor Federation, California Nurses Association",California Labor Federation ; California Nurses Association
City of Whittier Civil Justice Association of California County of Lassen,City of Whittier ; Civil Justice Association of California ; County of Lassen
"Escondido Creek Conservancy, the Felidae Conservation Fund",Escondido Creek Conservancy ; Felidae Conservation Fund
California Association of Local Agency Formation Commissions California Special Districts Association,California Association of Local Agency Formation Commissions ; California Special Districts Association
"California IATSE Council , Entertainment Union Coalition , Affiliated Property Craftspersons",California IATSE Council ; Entertainment Union Coalition ; Affiliated Property Craftspersons
California Trout Sierra Club,California Trout ; Sierra Club
County and Municipal Employees American Academy of Pediatrics,"American Federation of State, County and Municipal Employees (AFSCME) ; American Academy of Pediatrics"
County of Kern and Kern County Water Agency,County of Kern ; Kern County Water Agency
"County of Los Angeles Board of Supervisors, Downtown Women's Center, Hathaway-Sycamores Child and Family Services, Los Angeles Homeless Service Authority, Mental Health of America Los Angeles",County of Los Angeles Board of Supervisors ; Downtown Women's Center ; Hathaway-Sycamores Child and Family Services ; Los Angeles Homeless Services Authority ; Mental Health America of Los Angeles
"Franchise Tax Board, California Association of Nonprofits and The Howard Jarvis Taxpayer Association",Franchise Tax Board ; California Association of Nonprofits ; Howard Jarvis Taxpayers Association
"Planned Parenthood Affiliates of California, NARAL Pro-Choice California, California NOW, and the American Academy of University Women, California",Planned Parenthood Affiliates of California ; NARAL Pro-Choice California ; California NOW ; American Association of University Women
Sonoma Connect|sonoma Unidos,Sonoma Connect ; Sonoma Unidos
"City of Los Angeles , American",City of Los Angeles
": Counties of San Joaquin, Yuba, San",County of San Joaquin ; County of Yuba
A Center for Healing Rape Trauma Service,Rape Trauma Services
"Animal House, Inc. Animal Lovers Unlimited, Inc. Authentic Bengal Cat League Bahia Sur Kennel Club of Chula Vista Barbary Coast Bull Terrier Club Bear County Cattery Bijou Bleu Cattery Borzoi Club of California The Cat Care Clinic The Cat Fanciers Association, Inc. Del Sur Kennel Club Embergain Golden Retrievers Feather River Dog Training Club Fresh Start Victorian Cat Shelter Golden Empire Brittany Club Great Companions Dog Training High Desert Cat Club Human/ Animal Bond in Society International Bengal Cat Club Just Persians Cat Club Malibu Cat Club Mother Lode Bulldog Club Nakota Siberians National Pet Alliance Northern California Alaskan Malamute Association Pet Pantry Pups are Us Pet Store Rowe's La Mesa Pet Hotel Sacramento Council of Dog Clubs Saluki Club of Greater San Francisco San Diego Cat Fanciers San Francisco Dog Training Club Sandy Oak Chesapeakes Santa Clara Cat Fanciers Association Sierra Foothills Dalmatian Club Tahoe Bengals Two Cities Kennel Club Western Abyssinian Cat Club West Shore Shorthair Cat Club","Animal House, Inc. ; Animal Lovers Unlimited, Inc. ; Authentic Bengal Cat League ; Bahia Sur Kennel Club of Chula Vista ; Barbary Coast Bull Terrier Club ; Bear County Cattery ; Bijou Bleu Cattery ; Borzoi Club of California ; The Cat Care Clinic ; The Cat Fanciers Association, Inc. ; Del Sur Kennel Club ; Embergain Golden Retrievers ; Feather River Dog Training Club ; Fresh Start Victorian Cat Shelter ; Golden Empire Brittany Club ; Great Companions Dog Training ; High Desert Cat Club ; Human/Animal Bond in Society ; International Bengal Cat Club ; Just Persians Cat Club ; Malibu Cat Club ; Mother Lode Bulldog Club ; Nakota Siberians ; National Pet Alliance ; Northern California Alaskan Malamute Association ; Pet Pantry ; Pups are Us Pet Store ; Rowe's La Mesa Pet Hotel ; Sacramento Council of Dog Clubs ; Saluki Club of Greater San Francisco ; San Diego Cat Fanciers ; San Francisco Dog Training Club ; Sandy Oak Chesapeakes ; Santa Clara Cat Fanciers Association ; Sierra Foothills Dalmatian Club ; Tahoe Bengals ; Two Cities Kennel Club ; Western Abyssinian Cat Club ; West Shore Shorthair Cat Club"
CDC Live Oak Adult Day Services Madera Coalition for Community Justice Member San Francisco Mental Health Board (for identification purposes only) Monterey County Department of Social and Employment Services Old Lesbians Organizing for Change Older Women's League of California ONEgeneration Organization of Farmworker Women Leaders in California Partners in Care Foundation Passages Planned Parenthood of San Diego and Riverside Counties Professional Fiduciary Association of California Rebuilding Together Oakland Retired Public Employees' Association Richmond Commission on Aging Sacramento County Mental Health Services Act Community Services and,Live Oak Adult Day Services ; Madera Coalition for Community Justice ; San Francisco Mental Health Board ; Monterey County Department of Social and Employment Services ; Old Lesbians Organizing for Change ; Older Women's League of California ; ONEgeneration ; Organization of Farmworker Women Leaders in California ; Partners in Care Foundation ; Passages ; Planned Parenthood of San Diego and Riverside Counties ; Professional Fiduciary Association of California ; Rebuilding Together Oakland ; Retired Public Employees' Association ; Richmond Commission on Aging ; Sacramento County Mental Health Services Act Community Services
Christian Yellow Pages Divine Connection,Divine Connections: Christian Yellow Pages and Resource Book
"Pricilla Eiden, Inc. Balua Sur Kennel Club Kayra Kennel Killija Labradors Dalmatian Club of Southern California Golden West Fox Terrier Association Custom Canines Obedience Tioka Norwegian Elkhounds Bulldog Club of Southern California BisSchips CB Schipperkes JMC Service CRIS'S K9 Training Coyote Hills Kennel Club American Dog Owners Association, Inc. ASTRO The Animal Council","Pricilla Eiden, Inc. ; Balua Sur Kennel Club ; Kayra Kennel ; Killija Labradors ; Dalmatian Club of Southern California ; Golden West Fox Terrier Association ; Custom Canines Obedience ; Tioka Norwegian Elkhounds ; Bulldog Club of Southern California ; BisSchips ; CB Schipperkes ; JMC Service ; CRIS'S K9 Training ; Coyote Hills Kennel Club ; American Dog Owners Association, Inc. ; ASTRO ; The Animal Council"
Reedley College: Sacramento City College,Reedley College ; Sacramento City College
Resource Book Divine Connection,Divine Connections: Christian Yellow Pages and Resource Book
"SEIU, Local 99, 247, 250, 347, 399, 415, 434B, 535, 614, 616, 620, 660, 707, 715, 790, 817, 1280, 1877",Service Employees International Union
"Society Collies Keeshound Club of Southern California National Animal Interest Alliance Collie Club of America, Inc. San Gabriel Valley Collie Club Simply Corgis South West Dog Sports of California Saga Welsh Springer Spaniels The Welsh Springer Club of America The Art Network","Keeshound Club of Southern California ; National Animal Interest Alliance ; Collie Club of America, Inc. ; San Gabriel Valley Collie Club ; Simply Corgis ; South West Dog Sports of California ; Saga Welsh Springer Spaniels ; The Welsh Springer Club of America ; The Art Network"
