idx,category,still_in_crosswalk,type,name
89,individual,True,child,"Fiona Ma, CPA, Vice Chair, State Board of Equalization, District 2"
90,conjoined,True,canonical,"Board of Supervisors for Del Norte, El Dorado, Humboldt, Mendocino, Merced, Napa, Nevada, San Joaquin, San Luis Obispo, Shasta, & Stanislaus Counties"
91,conjoined,True,canonical,"Board of Supervisors for Kern, Fresno, Sonoma, Yolo, & Yuba Counties"
92,conjoined,True,canonical,"Board of Supervisors of Alameda, Alpine, Los Angeles, Orange, and Ventura"
93,conjoined,True,canonical,"Board of Supervisors of Del Norte, Humboldt, Mendocino, Sonoma, Napa and Shasta"
94,conjoined,True,canonical,"Board of Supervisors of Del Norte, Humboldt, Mendocino, Sonoma, Napa, Shasta, Yuba, Yolo, Placer, El Dorado, San"
95,dirty,True,child,"Board of Supervisors, County of Los Angeles, 1st, 2nd, 3rd, & 4th"
96,individual,True,canonical,"Bob Epstein, Co-Founder, Sybase, GetActive Software, Environmental Entrepreneurs"
97,conjoined,True,canonical,"BOE Chair Diane Harkey, BOE Member Fiona Ma, BOE Member George Runner, American Rentals Association, United Rentals"
98,conjoined,True,canonical,"Builders Exchange of Contra Costa, El Dorado, Humboldt, Kern County, Marin, North Coast, Sacramento, San Luis Obispo, Santa"
99,conjoined,True,canonical,"Burbank, Mendocino, Normal Heights, North San Diego County, Orchard"
100,clean_org,True,child,Ca. Assn. Sheet Metal & Air Conditioning Contractors Natl. Assn. (CAL SMACNA)
101,clean_org,True,child,"Calif. Association of Sheet Metal and Air Conditioning Contractors, National Association"
102,dirty,True,child,California Coastkeeper Alliance (represents 11 Waterkeeper groups)
103,conjoined,True,canonical,CA Landscape Contractors Assoc. California Legislative Action
104,clean_org,True,canonical,CA State Leg. Board/Brotherhood of Locomotive Engineers & Trainmen/IBT Rail Conference
105,conjoined,True,canonical,"Cajon, Lakewood, La Mirada, Los Angeles, Modesto, Moorpark, Norwalk, Rolling Hills Estates, San Luis Obispo, Signal Hill, Tustin"
106,clean_org,True,child,Cal. Assn. of School-Based and School-Linked Health Programs
107,individual,True,child,"Robert Jennings (Calgard Assoc. Insurance Agency), Irwindale"
108,conjoined,True,canonical,Calif. Anthony's Seafood Group B M Restaurants Inc. Bari Management
109,clean_org,True,canonical,"Calif. Association for Health, Physical Education, Recreation and Dance"
110,clean_org,True,canonical,Calif. Association of Regional Occupational Centers and Programs
111,clean_org,True,child,Calif. Association of Rehabilitation and Reemployment Professionals
112,conjoined,True,canonical,Calif. Building Industry Assn. Calif. Business Properties Assn. San Diego Industrial Environmental Assn
113,clean_org,True,child,Calif. Coalition of Local Health Department Nursing Directors
114,clean_org,True,canonical,Calif. Legislative Conference of the Plumbing Heating and Piping Industry
115,clean_org,True,child,"Calif. Legislative Conference of the Plumbing, Heating & Piping Industry"
116,clean_org,True,child,"Calif. Legislative Conference of the Plumbing, Heating & Piping"
117,conjoined,True,canonical,Calif. Scully Packing Company LLC Sheriff Rodney K. Mitchell
118,conjoined,True,child,Department of General Services/Calif. Victims Compensation and Government Claims Board
119,dirty,True,child,Arguments in Opposition California Advocates for Nursing Home Reform (CANHR)
120,narrative,False,child,"California Advocates for Nursing Home Reform, in opposition to a previous version of"
121,narrative,False,child,"California Alliance for Child and Family Services (the Alliance), in support"
122,clean_org,True,canonical,"California Alliance of Resale Merchants and Collectors (""CARMAC"")"
123,narrative,False,child,"California Association of Health Services at Home, oppose unless"
124,clean_org,True,canonical,California Association for Licensed Prof. Clinical Counselors
125,narrative,False,child,"In support, the Association of Clerks and Election Officials"
126,narrative,False,child,"California Association of Collectors, as sponsor of the bill"
127,dirty,True,child,California Association of Health Plans (prior version): Neutral
128,conjoined,True,canonical,"California Association of Independent Business, Inc. Century Housing"
129,clean_org,True,child,"Calif. Assoc. of Licensed Security Agencies, Guards & Associates"
130,clean_org,True,child,"Calif. Association of Licensed Security Agencies, Guards and Associates"
131,clean_org,True,child,Calif. Association of Public Authorities for In-Home Supportive Services
132,narrative,False,child,"California Association of Student Councils, sponsor of the bill"
133,narrative,False,child,Community Associations Institute - California Legislative Action Committee writes
134,conjoined,True,child,"California Chapters of the Brady Campaign to Prevent Gun Violence (Individual Chapters of the Brady Campaign from the following Counties and regions: Antelope Valley, Contra Costa, Long Beach, Los Angeles, Marin, Napa, Nevada, Oakland, Orange County, Pomona, San Joaquin, Sacramento Valley, San Diego, San Fernando Valley, San Francisco, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Solano, Sonoma, South Bay LA, Tri City Alameda County, Ventura and Yolo)"
135,narrative,False,child,"California Building Industry Association, in support of the bill"
136,narrative,False,child,"California Building Industry Association, one of the sponsors of the bill"
137,narrative,False,child,"California Building Industry Association, sponsor of the bill"
138,narrative,False,child,"California Building Officials, in opposition to a previous version of the bill"
139,conjoined,True,canonical,"California Central Valley Education Coalition (Fresno, Kings, Madera, Mariposa, Merced, and Tulare county offices of education)"
140,dirty,True,canonical,California Coastal Coalition (represents 45 cities and counties)
141,narrative,False,child,"California Commission on Uniform State Laws, the sponsor of the bill"
142,conjoined,True,canonical,"California Congress of Parents, Teachers and Students, Inc. California Catholic Conference"
143,narrative,False,child,"California Consortium of Addiction Programs and Professionals (CCAPP), sponsor of the bill"
144,narrative,False,child,"In support, the California Construction and Industrial Materials Association"
145,narrative,False,child,"California Contract Cities Association (CCCA), with an ′Oppose′ position"
146,narrative,False,child,California Correctional Peace Officers Association: GOVERNOR'S VETO MESSAGE
147,narrative,False,child,"California Correctional Supervisor's Organization, ""The California Correctional Supervisors"
148,narrative,False,child,"California Council of Community Behavioral Health Agencies (CCBHA), sponsor of the bill"
149,clean_org,True,child,Calif. County Superintendents Educational Services Association
150,dirty,True,child,the California Debt and Investment Advisory Commission. July 2011
151,individual,True,child,"Hon. Tom Torlakson, State Superintendent of Public Instruction"
152,narrative,False,child,"State Superintendent of Public Instruction, Tony Thurmond, sponsor of the bill"
153,narrative,False,child,California Ecological Restoration Business Association writes
154,individual,True,child,"California Federation of Teachers, AFL-CIO, Judy Michaels, Legislative Dir., Sacramento"
155,narrative,False,child,"California Independent Petroleum Association (CIPA), in opposition"
156,narrative,False,child,"State Insurance Commissioner Ricardo Lara, sponsor of the bill"
157,conjoined,True,child,"CIF Southern Section - Santa Barbara, Ventura, San Bernardino, Orange, Riverside, Imperial, Inyo Counties"
158,dirty,True,child,"California Judges Association (in support of increase to $7,500)"
159,clean_org,True,child,"Exec. Committee, Family Law Section of the State Bar (FLEXCOM)"
160,narrative,False,child,"sponsor of this bill, the California Lawyers Association, Trusts and Estates Section"
161,dirty,True,child,"California Medical Association - letter dated April 22, 2005"
162,narrative,False,child,California Municipal Utilities Assn. None reported to Committee
163,narrative,False,child,Arguments in Opposition California Narcotic Officers' Association (CNOA)
164,narrative,False,child,"California Narcotic Officer's Association (CNOA), in opposition"
165,narrative,False,child,"California Nurses Association/National Nurses United, sponsor of the bill"
166,narrative,False,child,"California Nurses Association/National Nurses United (CNA), sponsor of the bill"
167,narrative,False,child,"California Nurses Association/National Nurses United, the sponsor of the bill"
168,conjoined,True,canonical,"California Pan-Ethnic Health Network Catholic Legal Immigration Network, Inc. Central California Asthma Collaborative"
169,conjoined,True,canonical,"California Rural Indian Health Board, Inc. Jackson Rancheria"
170,narrative,False,child,"sponsor of this bill, the California School Boards Association"
171,narrative,False,child,"California State Association of Psychiatrists (CSAP), in support of"
172,narrative,False,child,California State Automobile Association: GOVERNOR'S VETO MESSAGE
173,conjoined,True,canonical,California State Employees Assoc. Consumer Attorneys of California (CAOC)
174,narrative,False,child,California State Employees Association: GOVERNOR'S VETO MESSAGE
175,conjoined,True,child,"California Congress of Parents, Teachers, and Students, Inc. Media and Injury Prevention Program California"
176,dirty,True,child,"California Congress of Parents, Teachers, and Students, Inc. California"
177,dirty,True,child,California State Teachers' Retirement System - prior version
178,clean_org,True,child,"School of Natural Sciences, Mathematics, and Engineering, California State University, Bakersfield"
179,conjoined,True,child,"California State University, Chico-North State Planning & Develop. Collective"
180,conjoined,True,child,"California State University, Fresno, Department of Agriculture, Lansing, Michigan"
181,individual,True,child,"Dean Wendt, Dean, College of Science and Mathematics, California Polytechnic State University, San Luis Obispo"
182,narrative,False,child,Oppose California Tax Reform Association (opposed identical AB 218 (2005))
183,narrative,False,child,California Transportation Commission (osupport in concepto -- see Comment 10)
184,conjoined,True,canonical,"California Water Utility Council Locals: 160, 160C, 160D, 205, 283, & 484"
185,conjoined,True,canonical,Californians Against Waste. Association of California Recycling Industries
186,conjoined,True,child,"Californians for Disability Rights, Inc. American Civil Liberties Union"
187,conjoined,True,canonical,"Californians for Disability Rights, Inc. California Rehabilitation Association"
188,narrative,False,child,"Californians for Good Governance, in opposition to a prior version of the bill"
189,dirty,True,child,Calif. Public Employees' Retirement System (CalPERS) - unless
190,narrative,False,child,"California Public Employees' Retirement System (CalPERS), Oppose, Unless"
191,conjoined,True,child,"CARPENTERS LOCAL UNION 22, 46, 152, 180, 405, 505, 605, 562, 619, 661, 701, 713"
192,conjoined,True,child,"CARPENTERS WOMEN'S AUXILIARY 001, 007, 66, 91, 101, 417, 710, AND 1904"
193,individual,True,child,"Cemetery Workers & Greens Attendants Union, Local 265, John Martin, Exec. Board"
194,individual,True,child,"Mr. Paul Bunje, Executive Director, Center for Climate Change Solutions, University of California, Los Angeles, Institute of the Environment and Sustainability"
195,clean_org,True,child,Centers for International Trade Development (Calif. Community Colleges)
196,clean_org,True,canonical,"Central Valley Education Coalition (Fresno, Kings, Madera, Mariposa, Merced, and Tulare county offices of education)"
197,conjoined,True,canonical,"Chamber of Commerce: California, California Asian Pacific, California Hispanic, Fairfield-Suisun, Long Beach Area, Los Angeles Area, Orange County Black, Orange County Hispanic, Palo Alto, Sacramento Metropolitan, and San Mateo"
198,conjoined,True,canonical,"Chamber of Commerce: California, Carlsbad, Chino Valley, Danville Area, Fremont, Greater Coachella Valley, Greater High Desert, Lake Elsinore Valley, Livermore Valley, Mission Viejo, Modesto, Murrieta Wildomar, Norwalk, Oceanside, Palm Desert Area, Palos Verdes Peninsula, Rancho Cordova Area, San Leandro, Santa Barbara South Coast, Santa Maria Valley, Simi Valley, Torrance Area, Walnut Creek, Vista, and Yuba-Sutter"
199,conjoined,True,canonical,"Chamber of Commerce: California, Carson, El Dorado County, El Dorado Hills, Elk Grove, Folsom, Greater Coachella Valley, Greater Conejo Valley, Lincoln Area, Long Beach Area, Los Angeles Area, Los Angeles Latino, Murrieta Wildomar, Rancho Cordova Area, Rocklin Area, Roseville Area, Santa Barbara South Coast, Shingle Springs/Cameron Park, Simi Valley, Torrance Area, and Yuba Sutter"
200,conjoined,True,canonical,"Chamber of Commerce: Carlsbad, Chico, California, Garden Grove, Greater"
201,conjoined,True,canonical,"Chambers of Commerce of Fresno, Long Beach, Los Angeles, Oakland, Sacramento, San Diego"
202,conjoined,True,canonical,"Chambers of Commerce of Fresno, Long Beach, Los Angeles, Oakland, Sacramento, San Diego, University of California"
203,dirty,True,child,"Changing the Health of Adolescents Impacting the Nation Reaction, Inc. DBA"
204,conjoined,True,canonical,"Children's Health Council, The Center, Evaluation, Therapy, Learning"
205,conjoined,True,canonical,"Chula Vista, Claremont, El Cajon, Dana Point, Los Angeles, Moreno Valley, Pasadena, Santa"
206,conjoined,True,child,"Chula Vista, Claremont, El Cajon, Dana Point, Los Angeles, Moreno Valley, Pasadena, Santa Barbara"
207,clean_org,True,child,"CIF Central Section - Fresno, Kern, Kings, Madera, and Tulare Counties"
208,clean_org,True,child,"CIF Central Section - Fresno, Kern, Kings, Madera, Tulare Counties"
209,conjoined,True,canonical,"Cities: Chula Vista, San Buenaventura, Berkeley, Moreno Valley, Montclair"
210,conjoined,True,child,"Citizens Against Lawsuit Abuse - Central California, Northern California, Los Angeles, Orange County, Silicon Valley and San Diego County Chapters"
211,conjoined,True,child,"Citizens Against Lawsuit Abuse of Central California, Los Angeles, Northern California, Orange County, San Diego County, and Silicon Valley"
212,conjoined,True,child,"Citizens Against Lawsuit Abuse: Central California, Los Angeles, Northern California, Orange County, San Diego County and Silicon"
213,dirty,True,child,"Citizens for Responsible and Constitutional Laws ""Working to Keep"
214,conjoined,True,canonical,City of Community Housing Assistance Program Inc. County of Santa Barbara
215,conjoined,True,canonical,"City of Fresno, Gilroy, Merced, Sacramento, Santa Rosa, Vacaville, Visalia, Vista, Wasco, Waterford, West Covina, Whittier"
216,individual,True,canonical,"City of San Jose, Sarah Zárate, Director of Administration, Policy, and Intergovernmental Relations"
217,conjoined,True,canonical,"City, Half Moon Bay, Millbrae, Pacifica, Redwood City, San Bruno, San"
218,conjoined,True,canonical,"City, Palo Alto Plus, Petaluma, Redlands, Resisters Walnut Creek, Ross Valley, Sacramento, San Diego Central, San Jose, San Pedro, Santa Barbara, Santa"
219,conjoined,True,canonical,"City, Petaluma, Resisters Walnut Creek, Rooted in Resistance, Ross Valley, Sacramento, San Diego Central, San Diego Downtown, San Jose, San Pedro, Santa Barbara, Santa Cruz, Santa Cruz County, Sausalito, SF Peninsula, SFV, Sonoma County, South Bay LA, Stanislaus, Suffragists, Together We"
220,individual,True,child,"Raymond F. Spengler, Jr., Lt. Col. CAP NORCAL Group 5 Commander, Sacramento, Calif"
221,narrative,False,child,Civil Justice Association of California (CJAC) in opposition
222,conjoined,True,child,"Clean Harbors Environmental Services, Phibro-Tech, Inc., Safety-Kleen Corporation, Teris LLC, Waste Management"
223,conjoined,True,canonical,"Clemente, Orange, Laguna Hills, La Palma, Westminster, San Juan Capistrano, Fountain Valley, Anaheim, Fullerton"
224,conjoined,True,child,"The Climate Reality Project: California State Coalition, Los Angeles, Monterey Bay, Orange County, San Diego, and San Fernando Valley CA"
225,conjoined,True,child,"The Climate Reality Projects: California, Los Angeles, San Diego, San Fernando Valley, and South Central Coast"
226,conjoined,True,child,"The Climate Reality Projects: California, Los Angeles, San Fernando Valley, San Francisco Bay Area, and Silicon Valley"
227,narrative,False,child,"Coalition for Humane Immigrant Rights, the sponsor of the bill"
228,conjoined,True,canonical,"Coalition of California Welfare Rights Organizations, Inc. Inquilinos Unidos"
229,narrative,False,child,"Coalition to Abolish Slavery and Trafficking, sponsor of the bill"
230,narrative,False,child,Collaborative Practice California (in support of Sections 1 & 2)
231,dirty,True,child,"College Terrace Residents Association, CTRA, Palo Alto, California, 94306"
232,conjoined,True,canonical,"Commerce of Arcadia, Burbank, Canoga Park/West Hills, Chino Valley, Costa Mesa, Crenshaw, Downey, Hanford, Inglewood/Airport Area"
233,conjoined,True,child,"Chambers of Commerce of Arcadia, Burbank, Canoga Park/West Hills, Chino Valley, Costa Mesa, Crenshaw, Downey, Hanford, Inglewood/Airport Area"
234,clean_org,True,child,"Commission on California State Government Organization and Economy (""Little Hoover"")"
235,narrative,False,child,"Committee for Compassionate Use, Sonoma county Chapter. Prior Vote: Senate Judiciary Committee 4-4"
236,narrative,False,child,"Communications Workers of America, District 9, sponsor of the bill"
237,narrative,False,child,"Communication Workers of America, District 9 (CWA D9), sponsor of the bill"
238,narrative,False,child,"Communication Workers of America, AFL-CIO, District 9, sponsor of the bill"
239,clean_org,True,child,"Communications Workers of America, Local 9423, District 1 & 2, Santa Clara, San Mateo, Santa Cruz, San Benito, Monterey, San Luis Obispo"
240,dirty,True,child,"Communications Workers of America, Local 9423, District 1 & 2, Santa Clara, San Mateo, Santa Cruz, San"
241,dirty,True,child,"Communications Workers of America Local 9423, District I and II:: Santa Clara, San Mateo, Santa Cruz, San Benito, Monterey, and San Luis Obispo Counties"
242,dirty,True,child,"Communications Workers of America Local 9423, District I and II:: Santa Clara, San Mateo, Santa Cruz, San Benito, Monterey, and San Luis Obispo"
243,conjoined,True,canonical,"Communications Workers of America Locals 9000, 9410, 9415, 9423, 9503, 9586, 9588, 14909"
244,conjoined,True,child,"Communication Workers of America Locals 9000, 14904, 9410, 9414,l 9415, 9423, 9503, 9575, 9586, 9588"
245,conjoined,True,canonical,"Community Hospice Care of Orange, San Bernardino, San Diego, Torrance, West"
246,clean_org,True,child,"Community Service Programs, Inc. Sexual Assault Victim Services"
247,dirty,True,child,"Conference on Jewish Material Claims Against Germany, Inc. Six Individuals"
248,conjoined,True,canonical,Construction Employers' Association Ghilotti Bros. Contractors
249,conjoined,True,canonical,"Contra Costa County, Glendale, Gold Country, Angels Camp, Inland Valley, Rancho Cucamonga, Kern County, Lake"
250,conjoined,True,canonical,"Contra Costa County, Glendale, Gold Country, Angels Camp, Inland Valley, Rancho Cucamonga, Kern County, Lake County, Los Angeles County, Marin, Mendocino"
251,conjoined,True,canonical,"Contra Costa, San Jose, Santa Cruz County, Santa Cruz - Friends of the Environment, and Ventura"
252,invalid,True,canonical,"Costa, Long Beach, Los Angeles, Nevada County, Oakland/Alameda"
253,invalid,True,canonical,"Council, Cupertino, East Los Angeles, Greater Bakersfield, Greater"
254,invalid,True,canonical,"Counties, Mar Monte, Pasadena, San Diego and Riverside Counties, Santa Barbara, Ventura and San"
255,invalid,True,canonical,"County Hispanic, Santa Ana, Santa Clarita Valley, Torrance Area, Tulare Kings"
256,conjoined,True,canonical,County of Santa Cruz El Dorado Hills Community Svc Dist. Foundation for Taxpayers
257,dirty,True,canonical,County of Westwood South of Santa Monica Blvd. Homeowner Association
258,invalid,True,canonical,"County. Kings, Lake, Los Angeles, Monterey, Napa, Placer, Sacramento, Santa"
259,conjoined,True,child,Courtroom Television Network (Court CA Public Defenders Assn. TV)
260,clean_org,True,canonical,"Crafts of the United States, Its Territories, and Canada, AFL-CIO, CLC"
261,narrative,False,child,"Crypto Council for Innovation (CCI), an association whose members include Andreessen Horowitz, Block, Coinbase, Electric Capital, Fidelity Digital Assets, Gemini, OpenSea, Paradigm, and Ribbit Capital"
262,invalid,True,canonical,"Cucamonga, Rolling Hills, San Bernardino, San Clemente, San Luis Obispo, Santa Barbara, Santa Maria, Santa Paula, Santee, Seal"
263,invalid,True,canonical,"Cucamonga, San Diego North, San Pedro Peninsula, Santa Clarita, Santa Maria Valley, Torrance Area, Ventura, and Winnetka"
264,conjoined,True,canonical,"Cupertino, Fremont, Homestead, Lynbrook, and Monta Vista High Schools and Fremont Union High School District"
265,dirty,True,child,Daniel Freeman Hospital's Inc. Speech Pathologists and Audiologists
