sponsor_string,bill_rows,proposed_route,mapped_org_if_known,org_already_in_crosswalk
Council to modify membership to increase the representation of academic interests of the University of California MIND Institute and of consumers with developmental disabilities,1,NARRATIVE,,UNVERIFIED — the auto-hint (UC MIND Institute) sits in the purpose clause; identify the actual Council from the source row
Counties of Placer and Sacramento S,1,CONJOINED,,
County Assessors Association as a means to improve the discovery of changes in ownership,1,NARRATIVE,,COUNTY ASSESSORS ASSOCIATION
County of El Dorado CA Independent Public Employees Legislative Council Counties of Del Norte,1,CONJOINED,,CA INDEPENDENT PUBLIC EMPLOYEES LEGISLATIVE COUNCIL
County of Imperial to rectify a local taxation problem,1,NARRATIVE,,COUNTY OF IMPERIAL
County of Los Angeles Association for Los Angeles Deputy Sheriffs,1,CONJOINED,,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS
"County of Los Angeles Board of Supervisors, Downtown Women's Center, Hathaway-Sycamores Child and Family Services, Los Angeles Homeless Service Authority , Mental Health of America Los Angeles",1,CONJOINED,,HATHAWAY-SYCAMORES CHILD AND FAMILY SERVICES
County of Napa and supported by other regional entities,1,NARRATIVE,,COUNTY OF NAPA
County of San Luis Obispo and supported by local travel associations,1,NARRATIVE,,COUNTY OF SAN LUIS OBISPO
County of San Luis Obispo and supported by voter empowerment groups and a labor organization,1,NARRATIVE,,COUNTY OF SAN LUIS OBISPO
County Surveyor of Alameda County to reduce the costs of preparing and examining records of survey,1,NARRATIVE,,COUNTY SURVEYOR OF ALAMEDA COUNTY
Covered California subsequently notified the California Department of Insurance,1,NARRATIVE,,THE CALIFORNIA DEPARTMENT OF INSURANCE
CPUC Website: http://www,1,INVALID,,
DeMenno/Kerdoon and Environmental Technology,1,CONJOINED,,
Dental Board of California (DBC) to establish regulatory oversight and educational requirements for the use of oral conscious sedations in patients 13 years or older,1,NARRATIVE,,DENTAL BOARD OF CALIFORNIA (DBC)
Dental Board of California to modify licensure exams to move away from a high pressure,1,NARRATIVE,,DENTAL BOARD OF CALIFORNIA
DHCS November 2015 Estimate,1,NARRATIVE,,
DHS to change three of the four teenage pregnancy prevention programs administered by Office from a contract process to a grant process for fund disbursement,1,NARRATIVE,,PREGNANCY PREVENTION
DHS to change three of the four teenage pregnancy prevention programs administered by the Office from a contract process to a grant process for fund disbursement,1,NARRATIVE,,PREGNANCY PREVENTION
Disabled American Veterans to provide an allocation from this state to the American Battle Monuments Commission for construction of the American Veterans Disabled for Life Memorial in Washington D,1,NARRATIVE,,DISABLED AMERICAN VETERANS
DMV in order to conform California law to federal mandates contained in the Motor Vehicle Information and Cost Saving Act,1,NARRATIVE,,DMV (Department of Motor Vehicles)
Doris Tate Crime Victims Bureau and addresses the issue of a victim's or next of kin's testimony at a parole hearing,1,NARRATIVE,,DORIS TATE CRIME VICTIMS BUREAU
DPH because additional expenditure authority is needed in the Program to continue the production of BabyBig,1,NARRATIVE,,
"Due to this lack of statutory authority to issue a summons, the Trusts and Estates Section of the State Bar (TEXCOM)",1,NARRATIVE,,THE TRUSTS AND ESTATES SECTION OF THE STATE BAR (TEXCOM)
ECHC to modify CURFFL so,1,NARRATIVE,,
Emergency Medical Services Administrators' Association of California to establish trauma care regions in order to establish a statewide trauma care system,1,NARRATIVE,,EMERGENCY MEDICAL SERVICES ADMINISTRATORS' ASSOCIATION OF CA
Energy Producers and other industry groups that could benefit,1,NARRATIVE,,ENERGY PRODUCERS
Enforcement Monitor of the CSLB to refine the regulation of home improvement contracts,1,NARRATIVE,,ENFORCEMENT MONITOR
"Environmental Defense Fund, National Resources Defense Council",1,CONJOINED,,NATIONAL RESOURCES DEFENSE COUNCIL
"Environmental Health Coalition, San Diego Port",1,CONJOINED,,ENVIRONMENTAL HEALTH COALITION
"Estate Planning, Trust, and Probate Section of the",1,NARRATIVE,,PROBATE SECTION
Financial Counseling Association of America and supported by individual nonprofit organizations,1,NARRATIVE,,FINANCIAL COUNSELING ASSOCIATION OF AMERICA
Fire Districts Association of California and supported by various local fire departments and districts,1,NARRATIVE,,FIRE DISTRICTS ASSOCIATION OF CALIFORNIA
"For example, PHI",1,NARRATIVE,,
"Franchise Tax Board , California Association of Nonprofits and The Howard Jarvis Taxpayer Association",1,CONJOINED,,CALIFORNIA ASSOCIATION OF NONPROFITS
Franchise Tax Board to correct two grammatical errors and identify the appropriate agencies to certify pollution control credits,1,NARRATIVE,,FRANCHISE TAX BOARD
Fresno Zoological Society in an effort to raise additional revenues to support the zoo and related zoological facilities and purposes within Fresno County,1,NARRATIVE,,FRESNO ZOOLOGICAL SOCIETY
FTB and supported by the State Controller,1,NARRATIVE,,"FTB (Franchise Tax Board) — NOT the State Controller, which is the supporter"
FTB in an effort to reverse the Ordlock decision,1,NARRATIVE,,
Golden State Opportunity GRACE,1,CONJOINED,,GOLDEN STATE OPPORTUNITY
Governor and Judicial Council,1,CONJOINED,,JUDICIAL COUNCIL
Governor to repeal and significantly revise the,1,NARRATIVE,,
Greenlining Institute to allow the initial license fee to be waived,1,NARRATIVE,,GREENLINING INSTITUTE
Guy Towers Saint George Reef Lighthouse,1,CONJOINED,,LIGHTHOUSE
Health Officers Association of California and supported by numerous health care providers,1,NARRATIVE,,HEALTH OFFICERS ASSOCIATION OF CALIFORNIA
Hemophilia Council of California to establish standards in state law for the proper provision,1,NARRATIVE,,HEMOPHILIA COUNCIL OF CALIFORNIA
Hemophilia Council of California to establish standards in state law for the proper storage and delivery of blood clotting products,1,NARRATIVE,,HEMOPHILIA COUNCIL OF CALIFORNIA
"However, Secretary of State Kevin Shelley",1,NARRATIVE,,SECRETARY OF STATE KEVIN SHELLEY
"in March of this year, the author and CDI",1,NARRATIVE,,
information provided by CHA,1,NARRATIVE,,
"Judge Quentin Kopp, San Mateo County Superior Court",1,INDIVIDUALS,,"QUENTIN KOPP, SAN MATEO COUNTY"
"last several years, the DOC, who",1,NARRATIVE,,
Los Angeles County Sheriffs' Department California Public Parking Association Police Departments of the Cities of Alhambra,1,CONJOINED,,CALIFORNIA PUBLIC PARKING ASSOCIATION
"nonprofit organization, Garden of Angels",1,NARRATIVE,,GARDEN OF ANGELS
Pacific Islander Diabetes Coalition American Federation of State,1,CONJOINED,,PACIFIC ISLANDER DIABETES COALITION
"Parent Task Force, Los Angeles District Attorney",1,CONJOINED,,LOS ANGELES DISTRICT ATTORNEY
polling done in 2023 on behalf of Compassion & Choices,1,NARRATIVE,,COMPASSION & CHOICES
"Public Banking Alliance , 350 Bay Area Action, 350 Chico, 350 Conejo San Fernando Valley, 350 Riverside, 350 Santa Cruz, 350 Silicon Valley, 350 Sonoma, 350 South Bay Los Angeles, Act LA, Active San Gabriel Valley, AFSCME California, AFSCME Council 57, Alliance for Community Transit - Los Angeles, Alliance for Democracy, Alliance of Californians for Community Empowerment Action, American Federation of Teachers Guild Local 1931, American Federation of Teachers Local 2121, American Indian Movement SoCal, American Postal Workers Union, AFL-CIO, Asian Pacific Environmental Network, Backbone Campaign, Beneficial State Foundation, Beverly-Vermont Community Land Trust, California American Postal Workers Union, AFL-CIO, California Association for Micro Enterprise Opportunity, California Community Land Trust Network, California Environmental Justice Alliance, California Faculty Association - San Francisco State University, California Labor Federation, California Nurses Association/National Nurses United AFL-CIO, California Progressive Alliance, California Reinvestment Coalition, California State Board of Education, Campaign for Sustainable Transportation - Santa Cruz, Center for Community Action and Environmental Justice, Center for Farmworker Families, City and County of San Francisco, City of Berkeley, City of Eureka, City of Huntington Beach, City of Long Beach, City of Los Angeles, City of Oakland, City of Richmond, City of San Diego, City of San Jose, City of Santa Cruz, City of Watsonville, Coleman Advocates for Children, Committee for Better Banks, Common Defense, Commonomics USA, Communities for a Better Environment, Community Financial Resources, Conejo 350 San Fernando Valley, Consumers for Auto Reliability and Safety, Cooperation Humboldt - Eureka, Cooperative Center Federal Credit Union, County of Santa Cruz, Courage Campaign, Democratic Party of San Fernando Valley, Democratic Socialists of America - Los Angeles, Divest LA, Food & Water Watch, Fossil Free California, Friends of Public Banking Santa Rosa, Friends of the Earth, Friends of the Santa Rosa Climate Action Plan, Green America, Green Party of California, Green Party of Santa Clara County, Greenpower, Healthcare for All California , Housing and Economic Rights Advocates, Humboldt and Del Norte Labor Council, Idle No More, Idle No More - San Francisco Bay, Indivisible Alta Pasadena, Indivisible CA, Indivisible CA - 33, Indivisible California Green Team, Indivisible East Bay, Indivisible Los Angeles, CA - 43, Indivisible Marin, Indivisible San Jose, Indivisible Sonoma County, Indivisible South Bay - LA, Lakota People's Law Project, Lawyers' Committee for Civil Rights of the San Francisco Bay Area, Local Clean Energy Alliance, Los Angeles County Democratic Party, Leadership Council for Justice and Accountability, Media Alliance, Monterey Bay Central Labor Council, NAACP - Santa Cruz Chapter, National Organization for the Advancement of Colored People, North Bay Labor Council AFL-CIO, Northridge Indivisible, Oakland Educators Association, OC Racial Justice Collaborative, Orange County Green Party, Orange County Poor People's Campaign, Our Green Challenge, Our Revolution, Our Revolution Long Beach, Our Revolution Los Angeles, People Demanding Action California, Peace and Freedom Party, People for Public Banking Santa Cruz, People Organizing to Demand Environmental and Economic Rights, Progressive Asian Network for Action, Poder, Public Bank East Bay, Public Bank Los Angeles, Public Bank San Diego, Public Bank Santa Barbara, Public Banking Institute, Public Banking Institute for Action Backbone Campaign, The Resistance - Northridge Indivisible, Revolution LA, Romero Institute, Rooted in Resistance, San Francisco Berniecrats, San Francisco Democratic Party, San Francisco Public Bank Coalition, San Francisco Rising Alliance, Santa Cruz Climate Action Network, Santa Cruz County Democratic Central Committee, Santa Cruz County Democratic Party, Santa Cruz for Bernie, Santa Monica Democratic Club, SEIU California, SoCal 350 Climate Action, Sonoma County Climate Action Network, South Bay Progressive Alliance, Sunrise Movement - Los Angeles, Sustainable Economies Law Center, Teamsters Local 665, The Future Left, Uniyted Domestic Workers AFSCME Local 3930, United Educators of San Francisco, United Food and Commercial Workers Western States Council, Urban Habitat, We the People, Windsor Democratic Club, Women's International League for Peace and Freedom, YIMBY Democrats, YIMBY Democrats of San Diego County",1,CONJOINED,,LAWYERS' COMMITTEE FOR CIVIL RIGHTS OF THE SAN FRANCISCO BAY AREA
Riverside County Flood Control and Water Conservation District to obtain state authorization for a project,1,CONJOINED,,RIVERSIDE COUNTY FLOOD CONTROL AND WATER CONSERVATION DISTRICT
Sacramento AIDS Foundation to increase AIDS awareness and fund AIDS prevention services,1,NARRATIVE,,SACRAMENTO AIDS FOUNDATION
"San Jose, City of Santa Clara County Office of Education",1,CONJOINED,,CITY OF SANTA CLARA COUNTY OFFICE OF EDUCATION
Sonoma S CA Association of Councils of Governments Counties of Alameda,1,CONJOINED,,CA ASSOCIATION OF COUNCILS OF GOVERNMENTS
SOS and supported by the California Association of Clerks and Elections Officials,1,NARRATIVE,,"SOS (Secretary of State) — NOT the Clerks association, which is the supporter"
Stanislaus and San Joaquin Counties,1,CONJOINED,,SAN JOAQUIN
STO to modernize and update the statutes affecting CHFFA,1,NARRATIVE,,
SWRCB to avoid additional water rights program workload backlogs,1,NARRATIVE,,
Unknown (the alleged sponsor stated in the),1,INVALID,,
Workers' Union,1,PARTIAL,,
