ACCCA holds steadfast to the principle that local control is fundamental in establishing and operating sound programs for students and creating an infrastructure that	Association of California Community College Administrators
ACWA has an	Association of California Water Agencies
Among other things, the California School Employees Association	California School Employees Association
Arguments in Opposition Right to Life League	Right to Life League
Arguments in Opposition The American Recyclable Plastic Bag Alliance (ARPBA)	American Recyclable Plastic Bag Alliance (ARPBA)
Arguments in Opposition The California Hospital Association (CHA) is opposed to this bill and	California Hospital Association
Arguments in Opposition The Department of Finance	California Department of Finance
Arguments in Opposition This bill is opposed by the California Taxpayers Association, which	California Taxpayers Association
As the sponsor of this bill, the California Association for Behavior Analysis	California Association for Behavior Analysis
Boards of Supervisors of the Counties of Fresno, Shasta, Yolo, Placer, El Dorado, Stanislaus, Merced, and San Bernardino	Fresno County Board of Supervisors;Shasta County Board of Supervisors;Yolo County Board of Supervisors;Placer County Board of Supervisors;El Dorado County Board of Supervisors;Stanislaus County Board of Supervisors;Merced County Board of Supervisors;San Bernardino County Board of Supervisors
Calaveras and Yolo	Calaveras County Board of Supervisors;Yolo County Board of Supervisors
California Attorneys for Criminal Justice: American Civil Liberties Union	California Attorneys for Criminal Justice;American Civil Liberties Union
California Chapter of the American College of Emergency Physicians (California California Chapters of the Brady Campaign to Prevent Gun Violence California Church Impact California Federation of Teachers Christy Lynn Wilson Foundation Violence Prevention Coalition, Greater Los Angeles Chula Vista Police Department, Chief David Bejarano City of Oakland Clue California Coalition Against Gun Violence, a Santa Barbra County Coalition Contra Costa County Chapter of the Brady Campaign to Prevent Gun Violence Courage Campaign CREDO Action Democrat Women of Santa Barbara County Doctors for America Friends Committee on Legislation of California Laguna Woods Democratic Club Law Center to Prevent Gun Violence Livermore Chief of Police, Randy Sonnenberg Long Beach Chapter of the Brady Campaign to Prevent Gun Violence Los Angeles County Chapter of the Brady Campaign to Prevent Gun Violence Los Angeles County Sheriff, Leroy Baca Los Angeles Mayor Antonio Villaraigosa Los Angeles Police Department, Chief Charlie Beck Marin County Chapter of the Brady Campaign to Prevent Gun Violence Moms Demand Action for Gun Sense in America National Council of Jewish Women Neighbors United to Protect our Communities Nevada County Chapter of the Brady Campaign to Prevent Gun Violence Oakland/Alameda County Chapter of the Brady Campaign to Prevent Gun Violence Orange County Chapter of the Brady Campaign to Prevent Gun Violence Orange County Democrats PICO California Pomona Valley Chapter of the Brady Campaign to Prevent Gun Violence Sacramento Valley Chapter of the Brady Campaign to Prevent Gun Violence San Diego County Chapter of the Brady Campaign to Prevent Gun Violence San Fernando Valley Chapter of the Brady Campaign to Prevent Gun Violence San Francisco Chapter of the Brady Campaign to Prevent Gun Violence San Francisco Mayor Ed Lee San Joaquin County Chapter of the Brady Campaign to Prevent Gun Violence San Leandro Chief of Police San Mateo County Chapter of the Brady Campaign to Prevent Gun Violence Santa Barbara Chapter of the Brady Campaign to Prevent Gun Violence Santa Barbara County District Attorney, Joyce Dudley Santa Barbara Rape Crises Center Santa Clara County Chapter of the Brady Campaign to Prevent Gun Violence Santa Cruz County Chapter of the Brady Campaign to Prevent Gun Violence Sisters of St. Joseph of Orange Solano County Chapter of the Brady Campaign to Prevent Gun Violence Sonoma County Chapter of the Brady Campaign to Prevent Gun Violence South County Citizens Against Gun Violence, Orange County Tri-Cities Democratic Forum Tri-City Interfaith Council Ventura County Chapter of the Brady Campaign to Prevent Gun Violence Violence Prevention Coalition of Greater Lost Angeles Violence Prevention Coalition of Orange County Women Against Gun Violence Women For: Orange County Youth Alive)	California Chapter of the American College of Emergency Physicians;California Chapters of the Brady Campaign to Prevent Gun Violence;California Church Impact;California Federation of Teachers;Christy Lynn Wilson Foundation;Violence Prevention Coalition, Greater Los Angeles;Chula Vista Police Department;City of Oakland;CLUE California;Coalition Against Gun Violence (Santa Barbara County);Contra Costa County Chapter of the Brady Campaign to Prevent Gun Violence;Courage Campaign;CREDO Action;Democratic Women of Santa Barbara County;Doctors for America;Friends Committee on Legislation of California;Laguna Woods Democratic Club;Law Center to Prevent Gun Violence;Livermore Police Department;Long Beach Chapter of the Brady Campaign to Prevent Gun Violence;Los Angeles County Chapter of the Brady Campaign to Prevent Gun Violence;Los Angeles County Sheriff's Department;Los Angeles Mayor;Los Angeles Police Department;Marin County Chapter of the Brady Campaign to Prevent Gun Violence;Moms Demand Action for Gun Sense in America;National Council of Jewish Women;Neighbors United to Protect our Communities;Nevada County Chapter of the Brady Campaign to Prevent Gun Violence;Oakland/Alameda County Chapter of the Brady Campaign to Prevent Gun Violence;Orange County Chapter of the Brady Campaign to Prevent Gun Violence;Orange County Democrats;PICO California;Pomona Valley Chapter of the Brady Campaign to Prevent Gun Violence;Sacramento Valley Chapter of the Brady Campaign to Prevent Gun Violence;San Diego County Chapter of the Brady Campaign to Prevent Gun Violence;San Fernando Valley Chapter of the Brady Campaign to Prevent Gun Violence;San Francisco Chapter of the Brady Campaign to Prevent Gun Violence;San Francisco Mayor;San Joaquin County Chapter of the Brady Campaign to Prevent Gun Violence;San Leandro Police Department;San Mateo County Chapter of the Brady Campaign to Prevent Gun Violence;Santa Barbara Chapter of the Brady Campaign to Prevent Gun Violence;Santa Barbara County District Attorney;Santa Barbara Rape Crisis Center;Santa Clara County Chapter of the Brady Campaign to Prevent Gun Violence;Santa Cruz County Chapter of the Brady Campaign to Prevent Gun Violence;Sisters of St. Joseph of Orange;Solano County Chapter of the Brady Campaign to Prevent Gun Violence;Sonoma County Chapter of the Brady Campaign to Prevent Gun Violence;South County Citizens Against Gun Violence, Orange County;Tri-Cities Democratic Forum;Tri-City Interfaith Council;Ventura County Chapter of the Brady Campaign to Prevent Gun Violence;Violence Prevention Coalition of Greater Los Angeles;Violence Prevention Coalition of Orange County;Women Against Gun Violence;Women For: Orange County;Youth Alive
California Chapter, Association of Consulting Foresters of California Forestry Association	Association of Consulting Foresters of America, Inc., California Chapter;California Forestry Association
California Norml states in its	California NORML
California Teachers Association (CTA) wrote	California Teachers Association
Chiefs of Police, City of Rancho Cucamonga and City of Chino Hills	Chief of Police, City of Rancho Cucamonga;Chief of Police, City of Chino Hills
City of San Jose, Councilmember David Cohen, City of San Jose, Sarah Zárate, Director of Administration, Policy, and Intergovernmental Relations	City of San Jose
Consumer Attorneys of California write	Consumer Attorneys of California
DHS and supported by the Air Resources Board	Department of Health Services;California Air Resources Board
DHS in response to a report by the California State Auditor	Department of Health Services;California State Auditor
Department of Finance (DOF) writes that it	Department of Finance
Diego's Scripps In-stitute of Oceanography	Scripps Institution of Oceanography
District Attorneys of the Counties of Orange, San	Orange County District Attorney;San Francisco County District Attorney;San Mateo County District Attorney;San Luis Obispo County District Attorney;Ventura County District Attorney
Equality California (EQ) is the sponsor of this bill and	Equality California
FISCAL COMMENTS The Senate Appropriations Committee	Senate Appropriations Committee
Finally, CAFF	Community Alliance with Family Farmers
HJTA must	Howard Jarvis Taxpayers Association
In support of this bill, California Common Cause	California Common Cause
In support, the City of Sacramento	City of Sacramento
National Health Law Program, which write that Medi-Cal plays a crucial role in providing mental health services in California	National Health Law Program
Oakland Privacy writes	Oakland Privacy
PORAC fully	Peace Officers' Research Association of California (PORAC)
Peace and Freedom Party of California's letter further	Peace and Freedom Party of California
The California Teachers Association (CTA) states	California Teachers Association
The California Transportation Commission is currently	California Transportation Commission
This bill will provide the Department of Industrial Relations (DIR) with statutory authority to investigate and prosecute	Department of Industrial Relations
United Trustees Association and a supporter of AB 1837 that sought to clarify and improve the AB 1079 process	United Trustees Association
University must respectfully	University of California Office of the President
Western Center on Law and Poverty writes	Western Center on Law and Poverty
fifteen members of the Magdalena Ecke Family YMCA Youth and Government Delegation	Magdalena Ecke Family YMCA Youth and Government Delegation
implementing agency - the Department of Community Services and Development (Department) - should be charged with approving the funding plan - as	Department of Community Services and Development
including the California Chamber of Commerce	California Chamber of Commerce
required to work with the Department of Transportation (Caltrans) to develop the State Transportation	California Department of Transportation (Caltrans)
would also establish a much-needed technical assistance capacity	Coalition for Career Technical Education in California
A Network for Ideas Demo	Demos: A Network for Ideas and Action
A coalition of employer organizations, including the California Chamber of Commerce, is opposed and	California Chamber of Commerce
A coalition of housing and public transportation advocacy organizations, including Streets for All	Streets for All
A coalition of organizations - including The Utility Reform Network, Natural Resources Defense Council, California Environmental Voters, the Union of Concerned Scientists, and others	The Utility Reform Network;Natural Resources Defense Council;California Environmental Voters;Union of Concerned Scientists
A coalition of worker advocates, including the California Rural Legal Assistance Foundation	California Rural Legal Assistance Foundation
AARP writes in strong	AARP
ADDITIONAL NOTE ON THE POSITION OF THE CITY OF NEEDLES	City of Needles
Additionally, Finance	Department of Finance
Additionally, LHPC	Local Health Plans of California
Additionally, SEIU	Service Employees International Union California
Alliance for Children's Rights writes the following	Alliance for Children's Rights
Although not formally opposed to the bill, Union Pacific	Union Pacific
Although the elimination of course certification fees would result in special fund revenue loss, CDI	California Department of Insurance
American Diabetes Association (ADA) writes that it	American Diabetes Association
Americans for Safe Access (ASA) writes the following	Americans for Safe Access
An independent December 2024 report to the Legislature concluded that LAUSD was compliant, diligent, and accurate in its best value procurement practices and that the LAUSD achieved expected benefits from the best value method such as fewer change orders, less schedule delays, and fewer	Los Angeles Unified School District
Arguments in Opposition 6Beds, an association of almost 2,000 small RCFEs	6Beds
Arguments in Opposition Alcohol Justice	Alcohol Justice
Arguments in Opposition DHCS	Department of Health Care Services
Arguments in Opposition In opposition to the bill, the California Chamber of Commerce, along with a number of other business organizations	California Chamber of Commerce
Arguments in Opposition In strident opposition to this measure, Turo	Turo
Arguments in Opposition The American Investment Council (AIC) is opposed to this bill and	American Investment Council
Arguments in Opposition The California Association of Health Facilities (CAHF) is opposed to this bill and	California Association of Health Facilities
Arguments in Opposition The California Catholic Conference (CCC) is opposed to this bill and	California Catholic Conference
Arguments in Opposition The California Catholic Conference (CCC) opposes this bill and	California Catholic Conference
Arguments in Opposition The California Chamber of Commerce (Chamber)	California Chamber of Commerce
Arguments in Opposition The California Family Council	California Family Council
Arguments in Opposition The California Labor Federation, Service Employees International Union, California State Council, and United Food and Commercial Workers, Western	California Labor Federation;Service Employees International Union, California State Council;United Food and Commercial Workers, Western
Arguments in Opposition The California Nurses Association (CNA)	California Nurses Association
Arguments in Opposition The California Rental Housing Association, opposes the additional burden it	California Rental Housing Association
Arguments in Opposition The Citizens Commission on Human Rights (CCHR)	Citizens Commission on Human Rights
Arguments in Opposition The County Behavioral Health Directors Association (CBHDA), in opposition	County Behavioral Health Directors Association
Arguments in Opposition The County Recorders Association of California is opposed to this bill and	County Recorders Association of California
Arguments in Opposition The Department of Finance (DOF)	California Department of Finance
Arguments in Opposition The Natural Products Association (NPA) opposes this bill and	Natural Products Association
Arguments in Opposition The University Office of the President	University of California Office of the President
Arguments in Opposition This bill is opposed by the California Teachers Association, which	California Teachers Association
Arguments in Opposition This bill is opposed by the League of California Cities, which	League of California Cities
As such, DOF	Department of Finance
As the sponsor of this bill, the CSLB	Contractors State License Board
Assembly Committee on Business and Professions as part of its oversight and regulation of the Bureau	Assembly Business and Professions Committee
Associated Builders and Contractors of California (ABC) operate employer-sponsored apprenticeship programs and	Associated Builders and Contractors of California
Baykeeper previously	Baykeeper
