leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
Ontario Professional Firefighters,3,CA Professional Firefighters,CA Professional Firefighters,canonical,89.6,94.3
Ninth District PTA,3,California State PTA,6th District PTA,alt(chapter),88.2,88.2
Councilmember Nancy Nadel,3,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,68.4
CalPERG,3,CalPERS,CalPERS,canonical,85.7,85.7
CSAP,3,California State PTA,CSP,alt(alternate_spelling),85.7,85.7
CCAPP,3,CALIFORNIA ALTERNATIVE PAYMENT PROGRAM ASSOCIATION,CAPPA,alt(alternate_spelling),80.0,80.0
13 individual letters,3,"Wheel, Sonora Chapter (37 individual letters)","Wheel, Sonora Chapter (37 individual letters)",canonical,85.7,64.5
12 individual letters,3,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,85.7,64.5
"j2 Global Communications, Inc",2,"XO Communications, Inc","XO Communications, Inc",canonical,87.7,92.7
for treatment and rehabilitation,2,Pain Treatment and Rehabilitation Centers,Pain Treatment and Rehabilitation Centers,canonical,88.7,76.7
author's office,2,Father's Office,Father's Office,canonical,86.7,80.0
Verify,2,Verily,Verily,canonical,83.3,83.3
Two individual attorneys,2,Over 75 Individual Attorneys,Over 75 Individual Attorneys,canonical,86.4,73.1
TTCA,2,TRANSPORTATION CORRIDOR AGENCIES,TCA,alt(alternate_spelling),85.7,85.7
Supporters should,2,2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),canonical,85.5,74.1
Supporters further,2,2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),canonical,85.5,71.4
Serono,2,Serano,Serano,canonical,83.3,83.3
San Francisco Fire Fighters IAFF Local 798,2,"San Francisco Firefighters, Local","San Francisco Firefighters, Local",canonical,88.0,74.7
Sacramento Mayor Kevin McCarty,2,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
SCCA,2,SANTA CRUZ CLIMATE ACTION NETWORK,SCCAN,alt(alternate_spelling),88.9,88.9
"Paul Koretz, Councilmember",2,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,66.7
Pale Blue,2,AARP (American Association of Retired Persons),"AARP, Blue Mountain Chapter",alt(chapter),85.5,61.5
Obispo: Counties,2,AAA Advisory Council for Santa Barbara and San Luis Obispo Counties,AAA Advisory Council for Santa Barbara and San Luis Obispo Counties,canonical,87.1,66.7
Moreover,2,Rover,Rover,canonical,80.0,61.5
"Mayor of Oakland, Libby Schaaf",2,City of Oakland - Libby Schaaf,City of Oakland - Libby Schaaf,canonical,86.7,83.3
Martin Sheen,2,"AC Martin Partners, Inc","AC Martin Partners, Inc",canonical,85.5,66.7
Margaret Graham,2,"4th Grade GATE Class, Margaret Sheehy Elementary, Merced","4th Grade GATE Class, Margaret Sheehy Elementary, Merced",canonical,85.5,69.6
Judith Fuller,2,City of Clearlake Rick Fuller,City of Clearlake Rick Fuller,canonical,85.5,63.2
Jennifer Micheli,2,"City of Marysville, Finance Director Jennifer Styczynski","City of Marysville, Finance Director Jennifer Styczynski",canonical,85.5,66.7
Individual letters (68),2,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (22),2,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual Economists,2,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,64.5
Indian Valley Indivisibe,2,Indivisible,Indivisible,canonical,85.7,62.9
HCAI,2,"HEALTHY COMMUNITIES, INC.",HCI,alt(alternate_spelling),85.7,85.7
GCC,2,CGCC,CGCC,canonical,85.7,85.7
Edward Asner,2,"Brigadier General Edward Banta, Commanding General of Marine","Brigadier General Edward Banta, Commanding General of Marine",canonical,85.5,66.7
Dufty,2,Our Duty,Our Duty,canonical,80.0,61.5
Drug Policy Alliance to increase the availability of needle exchange projects statewide and to reduce the incidence of infectious diseases such as HIV and viral hepatitis,2,DRUG POLICY ALLIANCE,Drug Policy Alliance 1,alt(alternate_spelling),87.9,95.2
"Dr. Cheryl Grills, Task Force Member",2,AAPI Force,AAPI Force,canonical,85.5,66.7
Councilmember Terry Taplin,2,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,66.7
Councilmember Sophie Hahn,2,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,68.4
Councilmember Nancy Gardner,2,"Boyd, Nancy","Boyd, Nancy",canonical,85.5,62.5
Councilmember Loren Taylor,2,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,66.7
City of Youth,2,City of Plymouth,City of Plymouth,canonical,89.7,82.8
Chief's of Milpitas,2,Milpitas Police Department,Milpitas Chief of Police,alt(alternate_spelling),89.7,79.1
"CalRecycle May 2019 Biannual Report of Beverage Container Sales, Returns, Redemption, and Recycling Rates",2,1 x 1 Recycling Company,1 x 1 Recycling Company,canonical,85.5,60.0
CWLC,2,CALIFORNIA LEGISLATIVE COUNCIL FOR OLDER AMERICANS,CLC,alt(alternate_spelling),85.7,85.7
CSVS,2,CVS Health,CVS,alt(alternate_spelling),85.7,85.7
CPTA,2,CALIFORNIA TEACHER'S ASSOCIATION,CTA,alt(alternate_spelling),85.7,85.7
CNRA,2,CALIFORNIA NURSES ASSOCIATION,CNA,alt(alternate_spelling),85.7,85.7
CFCA,2,CALIFORNIA FORESTRY ASSOCIATION,CFA,alt(alternate_spelling),85.7,85.7
CCSA,2,CALCASA (California Coalition Against Sexual Assault),CACASA,alt(alternate_spelling),80.0,80.0
CCBHA,2,CALIFORNIA CHILDREN'S HOSPITAL ASSOCIATION,CCHA,alt(alternate_spelling),88.9,88.9
CAHNR,2,CalHR,CalHR,canonical,80.0,60.0
APG,2,CALIFORNIA ASSOCIATION OF PHYSICIAN GROUPS,CAPG,alt(alternate_spelling),85.7,85.7
APCIA,2,AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,ASPCA,alt(alternate_spelling),80.0,80.0
A coalition of Veteran Service Organizations wrote,2,Veterans Service Organization,Veterans Service Organization,canonical,86.9,70.9
9 individual letters,2,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,87.7,66.7
50/50 Women on Boards,2,Women Serve on Boards,Women Serve on Boards,canonical,86.4,83.3
5 individual letters,2,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,87.7,66.7
3 Constituent Letters,2,One Constituent Letter,One Constituent Letter,canonical,88.4,83.7
26th District,2,"LA Council President Pro-Tempore, 12th District","LA Council President Pro-Tempore, 12th District",canonical,86.4,76.2
24 individual letters,2,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,85.7,64.5
22 individual letters,2,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,85.7,64.5
21 letters from individuals,2,Alandale Insurance Agency (Two letters from Independent Agents),Alandale Insurance Agency (Two letters from Independent Agents),canonical,85.5,61.5
21 individual letters,2,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,85.7,64.5
20 individual letters,2,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,85.7,64.5
10 constituent letters,2,One Constituent Letter,One Constituent Letter,canonical,86.4,72.7
(Per Assembly Revenue and Taxation Committee,2,Action Committee,Action Committee,canonical,87.1,72.0
the ports of Stockton and West Sacramento,1,East Sacramento,East Sacramento,canonical,86.9,80.0
"the lesbian, gay, bisexual, and transgender community. It wrongly links",1,"San Diego Lesbian, Gay, Bisexual, and Transgender Community","San Diego Lesbian, Gay, Bisexual, and Transgender Community",canonical,85.7,72.3
the financial burden of paying for certain costs resulting from the commitment of persons to Atascedero State Hospital who are neither,1,Atascadero State Hospital,Atascadero State Hospital,canonical,86.4,71.8
the Mortgage Association,1,Gee Association,Gee Association,canonical,86.9,84.6
the Alameda County District Attoney's Office believed that false evidence was used against Mr. Ross and supported the petition. On February 20,1,District Attorneys,Alameda County District Attorney's Office,alt(chapter),87.8,84.5
that each,1,"Coalition, and Worksite Wellness LA do not feel that","Coalition, and Worksite Wellness LA do not feel that",canonical,85.5,61.5
structure of local provider networks. San Francisco Health,1,"Network, San Francisco","Network, San Francisco",canonical,85.9,74.3
stitute of Oceanography,1,Institution of Oceanography,Institution of Oceanography,canonical,88.0,88.0
solidly,1,Solid,Solid,canonical,83.3,66.7
of the Entrepreneurs Foundation,1,Entrepreneurs of Tomorrow Foundation,Entrepreneurs of Tomorrow Foundation,canonical,88.4,93.1
of the Department of Alcohol & Drug Programs,1,California Department of Alcohol and Drug Programs,California Department of Alcohol and Drug Programs,canonical,89.9,92.1
of Lesbian and Gays Organization,1,Us Organization,Us Organization,canonical,86.9,88.9
letters from 71 individuals,1,Alandale Insurance Agency (Two letters from Independent Agents),Alandale Insurance Agency (Two letters from Independent Agents),canonical,85.5,61.5
letters from 39 individuals,1,Alandale Insurance Agency (Two letters from Independent Agents),Alandale Insurance Agency (Two letters from Independent Agents),canonical,85.5,61.5
legaSeas,1,Sears,Sears,canonical,80.0,61.5
lectricité de France Renewables,1,3Phases Renewables,3Phases Renewables,canonical,85.5,71.4
"labor issues. To amplify California's concerns, the Technology, Trade, and Commerce Agency has, both",1,"Technology, Trade and Commerce Agency","Technology, Trade and Commerce Agency",canonical,87.6,91.2
jax Vineyards,1,Ceja Vineyards,Ceja Vineyards,canonical,88.9,88.9
its medical section CA Toracic Society,1,Thoracic Society,Thoracic Society,canonical,87.1,60.9
including the cities of Sacramento,1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
iUnlimited Investigative Services,1,Affiliated Investigative Services,Affiliated Investigative Services,canonical,87.9,87.9
iCloud,1,Cloud9,Cloud9,canonical,83.3,83.3
has been provided to Committee,1,10-20 Club,10-20 Life Committee,alt(alternate_spelling),85.5,62.1
guaranty insurance to be mortgage insurance for,1,Mortgage Guarantee Insurance Corp,Mortgage Guaranty Insurance Corp,alt(alternate_spelling),86.9,78.3
for DFW,1,100% CAMPAIGN: HEALTH INSURANCE FOR EVERY CALIFORNIA CHILD,The 100% Campaign: Health Insurance for Every California,alt(alternate_spelling),85.5,60.0
denied membership on the Teachers' Retirement Board simply,1,Teachers Retirement Board,Teachers Retirement Board,canonical,86.4,78.0
critical to restore freight and passenger rail service on the North Coast,1,Service of the North Coast,Service of the North Coast,canonical,86.5,73.2
coverage. Supporters,1,2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),canonical,85.5,66.7
and translation services,1,Unified Translation Services,Unified Translation Services,canonical,88.5,69.2
and Jim Madaffer,1,City of Carlsbad Jim Madaffer,City of Carlsbad Jim Madaffer,canonical,87.1,85.7
a coalition of water agencies,1,Association of Water Agencies,Association of Water Agencies,canonical,86.2,75.9
a coalition of law enforcement organizations,1,CALIFORNIA COALITION OF LAW ENFORCEMENT ASSOCIATIONS,CA Coalition of Law Enforcement Associations,alt(alternate_spelling),88.6,61.4
a coalition of employment rights advocacy organizations,1,Coalition of Civil Rights Organizations,Coalition of Civil Rights Organizations,canonical,87.1,68.1
"Zach Hilton, Councilmember",1,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,66.7
Yolo County Library Advisory Board,1,Stanislaus County Library Advisory Board,Stanislaus County Library Advisory Board,canonical,87.5,92.1
World Huaren Federation,1,American Federation of Television and Radio Artists,American Federation of Television and Radio Artists,canonical,85.5,60.6
William Kennedy,1,"Adjunct General, Major General William H. Wade II","Adjunct General, Major General William H. Wade II",canonical,85.5,63.6
West Sacramento Mayor Martha Guerrero,1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
"Watsonville Professional Firefighters, Local 1272",1,Professional Firefights,Professional Firefights,canonical,86.1,68.6
"Water Committee, Western Municipal Water",1,Eastern Municipal Water,Eastern Municipal Water,canonical,88.0,78.9
"Waste, Community Recycling and Resource",1,Community Recycling and Resource Inc,Community Recycling and Resource Inc,canonical,89.4,94.1
WRITTEN COMMUNICATIONS: On file with Committee,1,10-20 Club,10-20 Life Committee,alt(alternate_spelling),85.5,62.1
Vivian Marquez,1,"Marquez Brothers International, Inc","Marquez Brothers International, Inc",canonical,85.5,66.7
Violet Parker,1,APRIL Parker Foundation,APRIL Parker Foundation,canonical,85.5,63.2
Venice Action Alliance,1,In Alliance,In Alliance,canonical,85.7,84.2
Various private investigator associations,1,Investigators Association,Investigators Association,canonical,86.4,66.7
Various PTA organizations,1,Various State Employee Organizations,Various State Employee Organizations,canonical,86.7,68.9
Valerie Pham,1,Valerie Rasmussen Court Reporting,Valerie Rasmussen Court Reporting,canonical,85.5,73.7
Two Individual Attorneys,1,Over 75 Individual Attorneys,Over 75 Individual Attorneys,canonical,86.4,90.9
Two Families,1,A to Z Families for Safe Streets,A to Z Families for Safe Streets,canonical,85.5,80.0
Trucking Services,1,Earthcycle Trucking Service,Earthcycle Trucking Service,canonical,87.3,72.7
Traditional (Corbett),1,Alliance for California Traditional Acts,Alliance for California Traditional Acts,canonical,85.5,68.8
Todd Giedt,1,C. D. Giedt & Company,C. D. Giedt & Company,canonical,85.5,66.7
Their false,1,C.O.A.C.H. for Kids and Their Families,C.O.A.C.H. for Kids and Their Families,canonical,85.5,62.5
The neighborhoods adjacent to the Cow Palace have had more than their,1,California District Agricultural Association,"1-A DAA, Cow Palace",alt(chapter),85.5,69.0
"The honorable Willie Brown, Mayor of San Francisco",1,"Willie L. Brown, Jr., Mayor of San Francisco","Willie L. Brown, Jr., Mayor of San Francisco",canonical,88.7,90.0
The Mortgage Institute,1,Sage Institute,Sage Institute,canonical,86.7,78.3
"The Honorable Heather Fargo, Mayor of Sacramento",1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
"The Honorable Edwin Lee, Mayor of San Francisco",1,California District Agricultural Association,"5th DAA, San Francisco",alt(chapter),85.5,74.3
The George R. Volland family,1,The George G. Glenner Alzheimer's,The George G,alt(alternate_spelling),86.1,90.9
Terry Warth,1,Bonnie Terry Learning,Bonnie Terry Learning,canonical,85.5,62.5
Terry Edwards,1,"A.G. Edwards & Sons, Inc","A.G. Edwards & Sons, Inc",canonical,85.5,70.0
Ted Rue,1,"Board of Equalization Chair, Senator Ted Gaines","Board of Equalization Chair, Senator Ted Gaines",canonical,85.5,60.0
"Teamsters Local 63,137, 150, 315, 350, 386, 396, 431, 517, 542, 856, 890, UNITE HERE",1,International Brotherhood of Teamsters,Teamsters Local 36,alt(chapter),87.4,90.9
Teachers and other school staff provide an additional layer,1,Teachers AT,Teachers AT,canonical,85.7,84.2
Taxpayers for Defenders Association,1,California Taxpayers Association,CA Taxpayers Association,alt(alternate_spelling),88.7,93.3
Sudwerk Brewery,1,Alvarado Street Brewery & Grill,Alvarado Street Brewery & Grill,canonical,85.5,63.6
Steven Belzer,1,District Attorneys,"Amador County District Attorney, Steven Cilenti",alt(alternate_spelling),85.5,63.2
"Steve Castaneda, Councilmember",1,"Steve Brandau, Councilmember","Steve Brandau, Councilmember",canonical,86.2,86.2
Steve Allen,1,"Allen & Benedict, Inc","Allen & Benedict, Inc",canonical,85.5,62.5
Stephanie Beverage,1,African-American Beverage & Grocers Association,African-American Beverage & Grocers Association,canonical,85.5,61.5
State Teachers Retirement System (STRS) - Co-sponsor (staff recommendation),1,STATE TEACHER'S RETIREMENT SYSTEM,State Teachers' Retirement System (STRS),alt(alternate_spelling),88.8,85.7
State Teachers Retirement System (STRS) (staff recommendation),1,STATE TEACHER'S RETIREMENT SYSTEM,State Teachers' Retirement System (STRS),alt(alternate_spelling),88.8,85.7
Stakeholders writing,1,Boyle Heights Stakeholders Association,Boyle Heights Stakeholders Association,canonical,85.5,75.0
Staff RN,1,AMERICAN FEDERATION OF TEACHERS,AFT College Staff Guild,alt(chapter),85.5,76.9
Six Individual Letters,1,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,62.5
"Sheila Brogna, Attorney at Law",1,Attorneys at Law,Attorneys at Law,canonical,87.1,65.2
Shawn Fong,1,City of Aliso Viejo Shawn Nelson,City of Aliso Viejo Shawn Nelson,canonical,85.5,66.7
Sharon Pierce,1,Academic Senate for the California Community Colleges,"Sharon Crasnow, Academic Senate President, Norco College",alt(alternate_spelling),85.5,63.2
Sharon Cohen,1,Academic Senate for the California Community Colleges,"Sharon Crasnow, Academic Senate President, Norco College",alt(alternate_spelling),85.5,66.7
Seven pediatricians,1,American Academy of Pediatricians,American Academy of Pediatricians,canonical,85.5,61.5
Servs. Task Force,1,32nd Street Canyon Task Force,32nd Street Canyon Task Force,canonical,85.5,74.1
"Senator M.L. Dierks, Agriculture Committee Chair, Nebraska",1,10-20 Club,10-20 Life Committee,alt(alternate_spelling),85.5,62.1
"Senator M. L. Dierks, Agriculture Committee Chair, Nebraska",1,10-20 Club,10-20 Life Committee,alt(alternate_spelling),85.5,62.1
See Comment 7 for a lengthy list of support,1,See Comment 1,See Comment 1,canonical,86.4,91.7
"Section, Committee",1,Action Committee,Action Committee,canonical,88.2,88.2
Second Wives Crusade,1,4th Second,4th Second,canonical,85.5,75.0
"Scott Weiner, Supervisor - District 8, San Francisco",1,"Scott Weiner, San Francisco County Supervisor","Scott Weiner, San Francisco County Supervisor",canonical,86.8,91.6
Schmiederer Family Farms,1,49 Farms,49 Farms,canonical,85.5,76.9
"Schbolfield Solar Energy Company, Inc., San Buena Ventura",1,"Schofield Solar Energy Company, San Buena Ventura - 2","Schofield Solar Energy Company, San Buena Ventura - 2",canonical,89.5,90.9
Sarah Shena,1,Atomic Film Company Sarah G. & Richard L Harlow,Atomic Film Company Sarah G. & Richard L Harlow,canonical,85.5,62.5
Sarah Houghton,1,"American Legion, Houghton Park Post 560","American Legion, Houghton Park Post 560",canonical,85.5,72.7
Santa Ynez Chumash Teen Program,1,10p Program,10p Program,canonical,85.5,77.8
Santa (Nava) Officers Association,1,Santa Ana Peace Officers Association,Santa Ana Peace Officers Association,canonical,87.0,88.1
Sand Manufacturing Corporation,1,Paulson Manufacturing,Paulson Manufacturing Corporation,alt(alternate_spelling),88.9,90.9
"San Miguel Professional Firefighters, Local 1434",1,Professional Firefights,Professional Firefights,canonical,86.1,68.6
San Francisco Mayor's Office on Disability,1,California District Agricultural Association,"5th DAA, San Francisco",alt(chapter),85.5,74.3
San Francisco Mayor's Office of Disability,1,Office of the Mayor of San Francisco,Office of the Mayor of San Francisco,canonical,88.9,82.1
Sam Wan,1,Chi Wan Mok Herbalist,Chi Wan Mok Herbalist,canonical,85.5,60.0
Salewa,1,Safeway,Safeway,canonical,76.9,76.9
Sacramento Mayor Kevin Johnson,1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
Sacramento Mayor Heather Fargo,1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
Sacramento Councilmember Steve Cohn,1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
Sacramento Councilmember Jimmie R. Yee,1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
Sacramento Asian Pacific Chamber: of Commerce,1,Sacramento ASE,Sacramento ASE,canonical,86.7,83.3
Sacramento Area Fire Fighters (Local 522),1,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
SPONSOR! Association,1,California District Agricultural Association,California District Agricultural Association,canonical,85.5,71.0
SFPTA,1,San Francisco County Transportation Authority (SFCTA),SFCTA,alt(alternate_spelling),80.0,80.0
SFCRA,1,SACRAMENTO AREA FLOOD CONTROL AGENCY,SAFCA,alt(alternate_spelling),80.0,80.0
SFBRA,1,SBRHA,SBRHA,canonical,80.0,80.0
SB 879,1,American Legion Post 879,American Legion Post 879,canonical,85.5,66.7
SB 85 - Knight,1,Auto Knight Motor Club,Auto Knight Motor Club,canonical,85.5,60.0
"SB 798, Page ceases to operate legally in Mexico",1,32 Por Mexico,32 Por Mexico,canonical,85.5,63.2
"SB 27 (Simitian), currently in the Assembly Committee on Water, Parks, and Wildlife",1,"Committee on Water, Parks and Wildlife","Committee on Water, Parks and Wildlife",canonical,87.6,91.4
SB 2086 - Thompson,1,Bill Thompson Investigations,Bill Thompson Investigations,canonical,85.5,61.5
SASD,1,SASCO,SAS,alt(alternate_spelling),85.7,85.7
SAFCEI,1,SCRUBS ADDRESSING THE FIREARM EPIDEMIC,SAFE,alt(alternate_spelling),80.0,80.0
SACN,1,SPORTFISHING ASSOCIATION OF CALIFORNIA,SAC,alt(alternate_spelling),85.7,85.7
Ron Allen,1,"Allen & Benedict, Inc","Allen & Benedict, Inc",canonical,85.5,71.4
"Robert Garcia, Mayor of Long Beach",1,City of Long Beach-Robert Garcia,City of Long Beach-Robert Garcia,canonical,86.9,60.6
Rev. John Anderson,1,Adams and Anderson Insurance Brokers,Adams and Anderson Insurance Brokers,canonical,85.5,61.5
Renton &ferry Farms,1,Renton and Terry Farms,Renton and Terry Farms,canonical,87.8,82.9
Renee Kiff,1,Fraser Communications,"Renee White Fraser, PhD., President & CEO, Fraser",alt(alternate_spelling),85.5,66.7
Regional Poison Control Center. See end of this analysis for a,1,Poison Control Centers,Poison Control Centers,canonical,85.9,77.8
"Redevelopment Agencies of the Cities of Alhambra, Belmont, Brea, Carson, Ceres, Chico, Chula Vista, Culver City, El Cerrito, Emeryville, Hawaiian",1,Redevelopment Agency,Redevelopment Agency,canonical,87.7,78.8
"Recycling Association, Peninsula Sanitary",1,1 x 1 Recycling Company,1 x 1 Recycling Company,canonical,85.5,60.0
Received by Committee or per Assembly analysis,1,10-20 Club,10-20 Life Committee,alt(alternate_spelling),85.5,62.1
"Rape of Nanking"" Redress Coalition",1,10 Freeway Coalition,10 Freeway Coalition,canonical,85.5,62.1
REV Ocean,1,American Oceans Campaign,American Ocean Campaign,alt(alternate_spelling),85.5,71.4
RCAM,1,CALIFORNIA ASSOCIATION OF MUSEUMS,CAM,alt(alternate_spelling),85.7,85.7
Punk Voter,1,"African American Voter Registration, Education, and Participation","African American Voter Registration, Education, and Participation",canonical,85.5,66.7
Public Employee Retirement System Board of,1,California Public Employees Retirement System Board of Administration,California Public Employees Retirement System Board of Administration,canonical,87.9,88.0
"Protection and SB 2077 (OoConnell) Advocacy, Inc",1,Protection and Advocacy,"Protection and Advocacy, Inc. (PAI)",alt(alternate_spelling),88.4,81.4
Professionals (prior version),1,A Union of Educators and Classified Professionals,A Union of Educators and Classified Professionals,canonical,85.5,61.9
Professionals (UNAC/ UHCP),1,"American Federation of State, County and Municipal Employees (AFSCME)","United Nurses Associations of California/Union of Health Care Professionals (UNAC/UHCP), AFSCME",alt(chapter),86.4,66.7
"Professional Firefighters, AFSCME and CALPIRG, property taxes are the most important revenue stream for local governments and AB 920 will",1,Professional Firefights,Professional Firefights,canonical,88.0,68.6
Process Profiles,1,"A California Process & Attorney Service, Inc","A California Process & Attorney Service, Inc",canonical,85.5,60.9
Pomona Library Foundation,1,718 Foundation,718 Foundation,canonical,85.5,83.3
"Police Chiefs of Claremont, El Monte, Irwindale, Pomona, Redding, San Gabriel, San Marino, South Pasadena, West Covina",1,"Police Departments of Claremont, El Monte, Irwindale, Pasadena, Pomona, Redding, San Gabriel, San Marino, West","Police Departments of Claremont, El Monte, Irwindale, Pasadena, Pomona, Redding, San Gabriel, San Marino, West",canonical,88.8,94.0
"Pico Union/Westlake Cluster Network, Inc",1,Picolenion Westlake Cluster Network,Picolenion Westlake Cluster Network,canonical,88.0,85.3
Physicians Society,1,Memorial Care,Memorial Care Physician Society,alt(chapter),87.4,69.4
Phyllis Diller,1,Cap'n Zach's Crabhouse Inc. - FV Miss Phyllis,Cap'n Zach's Crabhouse Inc. - FV Miss Phyllis,canonical,85.5,66.7
Phillip Jelsma,1,City of Costa Mesa Phillip V. Coleman,City of Costa Mesa Phillip V. Coleman,canonical,85.5,66.7
Personnel Management Assn. of Aztlan,1,"Personnel Management Association of Aztlan, Los",Personnel Management Association of Aztlan,alt(alternate_spelling),89.7,90.9
"Paula Tavrow, PhD, Director, Bixby Program in Population and Reproductive",1,10p Program,10p Program,canonical,85.5,77.8
Paula Ortega,1,A.M. Ortega,A.M. Ortega Construction,alt(alternate_spelling),85.5,66.7
Paula Cole,1,"Associates, Paula Stillman, President","Associates, Paula Stillman, President",canonical,85.5,66.7
