leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
Greater Riverside Chambers of Commerce,74,Great Riverside Chambers of Commerce,Great Riverside Chambers of Commerce,canonical,97.3,97.3
California Nurses Association/National Nurses Organizing Committee,66,California Nurse Association - National Nurses Organizing Committee,California Nurse Association - National Nurses Organizing Committee,canonical,97.7,92.1
California Chapter of the American Fence Contractors' Association,66,AMERICAN FENCE CONTRACTORS' ASSOCIATION,Califiornia Chapter of the American Fence Contractors Association,alt(alternate_spelling),98.5,98.5
National Council of Jewish Women Los Angeles,65,NATIONAL COUNCIL OF JEWISH WOMEN - CALIFORNIA CHAPTER,National Council of Jewish Women-Los Angeles,alt(alternate_spelling),100.0,90.9
American Nurses Association California,63,American Nurse Association of California,American Nurse Association/California,alt(alternate_spelling),98.7,96.0
California Fence Contractors Association,60,California Fence Contractor Association,California Fence Contractor Association,canonical,98.7,98.7
Fight Crime: Invest in Kids California,58,FIGHT CRIME: Invest in Kids,Fight Crime Invest In Kids California,alt(chapter),98.7,96.0
San Bernardino County Sheriff's Office,57,San Bernardino County Sheriff Department,San Bernardino County Sherriff's Office,alt(alternate_spelling),98.7,98.7
National Council of Jewish Women California,57,NATIONAL COUNCIL OF JEWISH WOMEN - CALIFORNIA CHAPTER,National Council of Jewish Women Calfornia,alt(alternate_spelling),98.8,98.8
Association of California Insurance Companies (ACIC),55,ASSOCIATION OF CALIFORNIA INSURANCE COMPANIES,Association of California Insurance Companies - ACIC,alt(alternate_spelling),99.0,96.2
"California Police Chiefs Association, Inc",53,California Policy Chiefs Association,"California Policy Chiefs Association, Inc",alt(alternate_spelling),97.6,97.6
California Department of Forestry Firefighters,51,California Department of Forestry Fire Fighters,California Department of Forestry Fire Fighters,canonical,98.9,90.3
Asian Americans Advancing Justice-southern California,50,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice Southern California,alt(chapter),100.0,96.2
"Physicians for Social Responsibility, Los Angeles",49,Physicians for Social Responsibility-Los Angeles,Physicians for Social Responsibility-Los Angeles,canonical,99.0,90.7
California State Council of Service Employees,49,California Service Employees California State Council,"California State Council, Service Employees",alt(alternate_spelling),97.7,95.5
AMVETS- Department of California,49,AMVETS - DEPARTMENT OF CALIFORNIA,AMVETS--Department of California,alt(alternate_spelling),100.0,96.9
"Council on American-Islamic Relations, California",48,Council on American-Islamic Relations,Council on American Islamic Relations - California,alt(alternate_spelling),99.0,94.9
Oxnard Chamber of Commerce,47,Oxnard Chambers of Commerce,Oxnard Chambers of Commerce,canonical,98.1,98.1
"Service Employees International Union, California State Council",46,"Service Employee International Union, California State Council","Service Employee International Union, California State Council",canonical,99.2,99.2
Military Officers Association of America - California Council of Chapters,46,Military Officers Association of America,Military Officers Association of American - California Council of Chapters,alt(chapter),99.3,99.3
California Association of Clerks and Election Officials (CACEO),46,CALIFORNIA ASSOCIATION OF CLERKS AND ELECTION OFFICIALS,California Association of Clerks and Election Officials- CACEO,alt(alternate_spelling),100.0,97.6
Asian Americans Advancing Justice - Los Angeles,46,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice Los Angeles,alt(chapter),97.8,100.0
State Building and Construction Trades Council of CA,45,State Building and Construction Trades Council of CC,State Building and Construction Trades Council of CC,canonical,98.1,98.1
Leading Age California,45,LeadingAge California,LeadingAge California,canonical,97.7,83.7
Children's Defense Fund - CA,45,Children's Defense Fud - CA,Children's Defense Fud - CA,canonical,98.2,98.2
Asian Americans Advancing Justice-Southern California,45,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice Southern California,alt(chapter),100.0,98.1
San Diego District Attorney's Office,44,San Diego Districts Attorney's Office,San Diego Districts Attorney's Office,canonical,98.6,98.6
"Los Angeles Deputy Sheriffs, Inc",44,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)","Los Angeles Deputy Sheriff, Inc",alt(alternate_spelling),98.4,98.4
Girl Scout Councils of California,44,Girl Scouts Councils of California,Girl Scouts Councils of California,canonical,98.5,98.5
CAL FIRE Local 2881,44,CALFIRE,CALFIRE Local 2881,alt(chapter),97.3,97.3
"American Nurses Association, California",44,American Nurses Associaition - California,American Nurses Associaition - California,canonical,97.5,95.0
"Amvets, Department of California",43,AMVETS - DEPARTMENT OF CALIFORNIA,AMVETS--Department of California,alt(alternate_spelling),100.0,78.1
Empowering Pacific Islander Communities (EPIC),42,EMPOWERING PACIFIC ISLANDER COMMUNITIES,Empowering Pacific Islander Communities - EPIC,alt(alternate_spelling),98.9,95.7
Veterans of Foreign Wars - Department of California,40,"Veteran of Foreign Wars, Department of California","Veteran of Foreign Wars, Department of California",canonical,98.0,95.7
"National Council of Jewish Women, California",39,NATIONAL COUNCIL OF JEWISH WOMEN,National Council of Jewish Women of California,alt(chapter),97.8,98.9
Re:store Justice,38,Re: Store Justice,Re: Store Justice,canonical,97.0,90.9
National Council of Jewish Women-California,38,NATIONAL COUNCIL OF JEWISH WOMEN - CALIFORNIA CHAPTER,National Council of Jewish Women Calfornia,alt(alternate_spelling),98.8,84.7
American Legion- Department of California,37,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,American Legion--Department of California,alt(alternate_spelling),100.0,80.5
State Building and Construction Trades Council of Ca,36,State Building and Construction Trades Council of CC,State Building and Construction Trades Council of CC,canonical,98.1,98.1
California Hawaii State Conference of the NAACP,36,National Association for the Advancement of Colored People (NAACP),California-Hawaii State Conference of the NAACP,alt(chapter),100.0,97.9
American Nurses Association\California,36,American Nurse Association of California,American Nurse Association/California,alt(alternate_spelling),98.7,96.0
Air-conditioning & Refrigeration Contractors Association,36,Air Conditioning and Refrigeration Contractors Association,Air Conditioning & Refrigeration Contractors Association,alt(alternate_spelling),100.0,96.4
Vietnam Veterans of America- California State Council,35,VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL,Vietnam Veterans of America--California State Council,alt(alternate_spelling),100.0,98.1
Triple-A Council of California,34,Triple A Council of California,Triple A Council of California,canonical,100.0,93.3
Showing Up for Racial Justice (SURJ) Bay Area,34,Showing Up for Racial Justice Surj Bay Area,Showing Up for Racial Justice Surj Bay Area,canonical,97.7,93.8
"Service Employees International Union, AFL-CIO",34,Service Employees International Union,"Services Employees International Union, AFL-CIO",alt(alternate_spelling),98.9,98.9
Riverside County Sheriff's Office,34,Riverside County Sherriff's Office,Riverside County Sherriff's Office,canonical,98.5,98.5
American Planning Association-California Chapter,34,"American Planning Assoc., California Chapter","American Planning Association, California Chapter",alt(alternate_spelling),99.0,96.9
Santa Clara Valley Audubon Society,33,National Audubon Society,Santa Clara Valley Audobon Society,alt(alternate_spelling),97.1,97.1
National Council of Jewish Women CA,33,National Council of Jewish Women-San Francisco Bay Area Section,National Council of Jewish Women/LA,alt(chapter),97.1,91.4
California State University Employees Union (CSUEU),33,CALIFORNIA STATE UNIVERSITY EMPLOYEES' UNION,California State University Employees Union CSUEU,alt(alternate_spelling),99.0,98.0
Alameda County Sheriff,33,Alameda County Sherriff,Alameda County Sherriff,canonical,97.8,97.8
Insurance Commissioner Ricardo Lara / California Department of Insurance,32,CALIFORNIA DEPARTMENT OF INSURANCE,"Insurance Commissioner Ricardo Lara, the California Department of Insurance",alt(alternate_spelling),98.0,94.5
Indivisible East Bay,32,Indivisble East Bay,Indivisble East Bay,canonical,97.4,97.4
"American Association of University Women, California",32,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,American Association of University Women of California,alt(chapter),98.1,99.0
Sierra Club-California,31,SIERRA CLUB,"Sierra Club, California",alt(chapter),97.8,75.6
San Bernardino County District Attorney,31,District Attorneys,San Bernadino County District Attorney,alt(alternate_spelling),98.7,98.7
American Association of University Women California,31,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,American Association of University Women of California,alt(chapter),97.1,100.0
Sacramento Hispanic Chamber of Commerce,30,Sacramento Hispanic Chambers of Commerce,Sacramento Hispanic Chambers of Commerce,canonical,98.7,98.7
"American Council of Engineering Companies, California",30,AMERICAN COUNCIL OF ENGINEERING COMPANIES,American Council Of Engineering Companies Of California,alt(chapter),98.1,97.1
Re:Store Justice,29,Re: Store Justice,Re: Store Justice,canonical,97.0,97.0
Los Angeles Alliance for a New Economy (LAANE),29,LAANE (LOS ANGELES),Los Angeles Alliance for a New Economy LAANE,alt(alternate_spelling),98.9,97.8
Cal Fire Local 2881,29,CALFIRE,CALFIRE Local 2881,alt(chapter),97.3,71.4
"American Federation of State, County and Municipal: Employees (AFSCME)",29,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees (AFSCME)",canonical,99.3,99.3
"American Federation of State, County and Municipal Employees (AFL-CIO)",29,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, AFL, CIO",alt(alternate_spelling),99.3,95.7
National Association of Social Workers California Chapter,28,National Association of Social Workers - California Chapter,National Association of Social Workers-California Chapter,alt(alternate_spelling),100.0,86.0
California Firefighters Association,28,California Fire Fighters Association,California Fire Fighters Association,canonical,98.6,87.3
Asian Pacific Environmental Network (APEN),28,ASIAN PACIFIC ENVIRONMENTAL NETWORK,"Asian Pacific Environmental Network, APEN",alt(alternate_spelling),100.0,96.4
"AMVETs, Department of California",28,AMVETS - DEPARTMENT OF CALIFORNIA,AMVETS--Department of California,alt(alternate_spelling),100.0,90.6
WateReuse Association of California,27,WateReuse,Water Reuse Association of California,alt(chapter),97.2,86.1
Hemet City Fire Fighters Association,27,Hemet City Firefighter Association,Hemet City Firefighter Association,canonical,97.1,85.7
American Legion Department of California,27,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,American Legion--Department of California,alt(alternate_spelling),98.8,81.5
"American College of Emergency Physicians, California",27,AMERICAN COLLEGE OF EMERGENCY PHYSICIANS,American College of Emergency Physicians of California,alt(chapter),98.1,99.0
AMVETS Department of California,27,AMVEETS-Department of California,AMVEETS-Department of California,canonical,98.4,95.2
The Transformative In-prison Workgroup,26,The Transfomative In-Prison Workgroup,The Transfomative In-Prison Workgroup,canonical,98.7,96.0
El Monte/South El Monte Chamber of Commerce,26,El Monte/South El Monte Chambers of Commerce,El Monte/South El Monte Chambers of Commerce,canonical,98.9,98.8
California Labor Federation (AFL-CIO),26,"California Labor Federation, AFL-CIO","California Labor Federation, AFL-CIO",canonical,100.0,95.9
"The Climate Reality Project, Los Angeles Chapter",25,CLIMATE REALITY PROJECT LOS ANGELES CHAPTER,The Climate Reality Project - Los Angeles Chapter,alt(alternate_spelling),99.0,96.9
"League of California Cities, Los Angeles County Division",25,League of Califoria Cities,League of Califoria Cities Los Angeles County Division,alt(chapter),98.2,98.2
District Council of Iron Workers of the State of California and Vicinity,25,District Council of Ironworkers of the State of California and Vicinity,District Council of Ironworkers of the State of California and Vicinity,canonical,99.3,97.7
Office of Ratepayer Advocates (ORA),24,Office of Ratepayer Advocates (ORA) of the California Public Utilities Commission,Office of Ratepayer Advocates - ORA,alt(alternate_spelling),98.6,94.3
National Multiple Sclerosis Society - California Action Network,24,NATIONAL MULTIPLE SCLEROSIS SOCIETY,National Multiple Sclerosis Society--California Action Network,alt(alternate_spelling),99.2,86.4
Auto Club of Southern California (AAA),24,"Auto Club of Southern California, AAA","Auto Club of Southern California, AAA",canonical,100.0,96.0
"Service Employees International Union, AFL-CIO, CLC",23,"Service Employees International Unions, AFL-CIO, CLC","Service Employees International Unions, AFL-CIO, CLC",canonical,99.0,99.0
Friends Committee on Legislation in California,23,Friends Committee on the Legislation of California,Friends Committee of Legislation in California,alt(alternate_spelling),97.8,97.8
"Coalition for Economic Survival, Los Angeles",23,COALITION FOR ECONOMIC SURVIVAL,Coalition for Economic Survival - Los Angeles,alt(alternate_spelling),98.9,96.6
"American Subcontractors Association California, Inc",23,"American Subcontractor Association California, Inc","American Subcontractor Association California, Inc",canonical,99.0,99.0
American Planning Association - California Chapter,23,"American Planning Assoc., California Chapter","American Planning Association, California Chapter",alt(alternate_spelling),99.0,97.0
"State Public Affairs Committee, Junior Leagues of California",22,State Public Affairs Committee of the California Junior League,"State Public Affairs Committee, Junior League of California",alt(alternate_spelling),99.2,99.2
Power California,22,Npower California,Npower California,canonical,97.0,90.9
Physicians for Social Responsibility Los Angeles,22,Physicians for Social Responsibility-Los Angeles,Physicians for Social Responsibility-Los Angeles,canonical,100.0,91.7
National Electrical Contractors Association (NECA),22,National Elecrical Contractors Association (NECA),National Elecrical Contractors Association (NECA),canonical,99.0,99.0
California Continuing Care Residents Association (CALCRA),22,California Continuing Care Residents Associations (CALCRA),California Continuing Care Residents Associations (CALCRA),canonical,99.1,99.1
California Competes: Higher Education for a Strong Economy,22,California Competes Higher Education for a Strong Economy,California Competes Higher Education for a Strong Economy,canonical,99.1,99.1
California Citizens Against Lawsuit Abuse,22,California Citizens Against Law Suit Abuse,California Citizens Against Law Suit Abuse,canonical,98.8,96.4
California Association of County Veterans Service Officers (CACVSO),22,Association of County Veterans Service Officers,California Association of County Veterans Service Officers (CACVSOs),alt(chapter),99.2,99.3
WateReuse California,21,WateRuse,Wateruse California,alt(chapter),97.4,92.3
Service Employees International Union - California,21,"Service Employees International Union, Californa","Service Employees International Union, Californa",canonical,98.0,95.9
San Bernardino County Sheriffs Department,21,San Bernardino County Sheriff Department,San Bernardino County Sheriffos Department,alt(alternate_spelling),98.8,98.8
Lutheran Office of Public Policy-California,21,LUTHERAN OFFICE OF PUBLIC POLICY,"Lutheran Office Of Public Policy, California",alt(chapter),98.9,80.5
American Jewish Committee - Los Angeles,21,American Jewish Committee of Los Angeles,American Jewish Committee Los Angeles,alt(alternate_spelling),97.4,100.0
"American Federation of State, County and Municipal Employees, AFL- CIO",21,"American Federation of State, County and Municipal Employees (AFSCME)","American Federation of State, County and Municipal Employees, AFL, CIO",alt(alternate_spelling),100.0,98.6
Acterra: Action for a Healthy Planet,21,Acterra,Acterra Action for a Healthy Planet,alt(alternate_spelling),98.6,98.6
Picayune Rancheria of the Chukchansi Indians,20,Picayune Rancheria of Chuckchansi Indians,Picayune Rancheria of the Chuckchanshi Indians,alt(alternate_spelling),97.8,97.8
Los Angeles County Sheriff's Office,20,Los Angles County Sheriffs Office,Los Angles County Sheriffs Office,canonical,97.1,97.1
Los Angeles County Probation Officers' Union,20,Los Angles County Probation Officers Union,Los Angles County Probation Officers Union,canonical,97.7,97.7
California Chapter of the American Fence Contractors Association,20,AMERICAN FENCE CONTRACTORS' ASSOCIATION,Califiornia Chapter of the American Fence Contractors Association,alt(alternate_spelling),99.2,99.2
"American Academy Of Pediatrics, California",20,AMERICA ACADEMY OF PEDIATRICS,"America Academy of Pediatrics, California",alt(chapter),98.8,96.4
United Chambers of Commerce of the San Fernando Valley,19,United Chambers of Commerce on the San Fernando Valley,United Chambers of Commerce on the San Fernando Valley,canonical,98.1,100.0
Toward Utility Rate Normalization (TURN),19,Toward Utility Rate Normaliziation (TURN),Toward Utility Rate Normaliziation (TURN),canonical,98.7,98.8
"The American Legion, Department of California",19,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,The American Legion (Department of California),alt(alternate_spelling),100.0,72.5
Plumbing-Heating-Cooling Contractors of California,19,PLUMBING-HEATING-COOLING CONTRACTORS ASSOCIATION OF CALIFORNIA,Pluming-Heating-Cooling Contractors of California,alt(alternate_spelling),99.0,99.0
National Federation of Independent Business - California,19,NATIONAL FEDERATION OF INDEPENDENT BUSINESS,National Federation of Independent Business -- California,alt(alternate_spelling),99.1,99.1
"National Association Of Social Workers, California Chapter",19,"National Association of Social Worker, California Chapter",National Association of Social Worker s- California Chapter,alt(alternate_spelling),99.1,92.3
Asian Americans Advancing Justice - Southern California,19,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice Southern California,alt(chapter),98.1,100.0
Air-Conditioning & Refrigeration Contractors Association,19,Air Conditioning and Refrigeration Contractors Association,Air Conditioning & Refrigeration Contractors Association,alt(alternate_spelling),100.0,98.2
Utility Consumers' Action Network (UCAN),18,UTILITY CONSUMERS' ACTION NETWORK,"Utility Consumers' Action Network, UCAN",alt(alternate_spelling),100.0,83.5
San Bernardino County Sheriff-Coroner,18,San Bernardino County Sheriff Coroner,San Bernardino County Sheriff Coroner,canonical,100.0,78.4
Peace Officers' Research Association of California (PORAC),18,PEACE OFFICER'S RESEARCH ASSOCIATION OF CALIFORNIA,"Peace Officers Research Association of California, PORAC",alt(alternate_spelling),99.1,86.0
Murrieta Wildomar Chamber of Commerce,18,Murrieta/Wildomar Chambers of Commerce,Murrieta/Wildomar Chambers of Commerce,canonical,98.7,96.0
County of Los Angeles Sheriff's Department,18,County of Los Angeles Sherriff's Department,County of Los Angeles Sherriff's Department,canonical,98.8,98.8
Children's Defense Fund- California,18,CHILDREN'S DEFENSE FUND,Children's Defense Fund of California,alt(chapter),97.2,94.4
"Children's Defense Fund, California",18,CHILDREN'S DEFENSE FUND,Children's Defense Fund of California,alt(chapter),97.2,94.4
"Assembly Committee on Jobs, Economic Development, and the Economy",18,"The Assembly Committee on Jobs, Economic Development, and the Economy","The Assembly Committee on Jobs, Economic Development, and the Economy",canonical,97.0,100.0
Acterra: Action for A Healthy Planet,18,Acterra,Acterra Action for a Healthy Planet,alt(alternate_spelling),98.6,93.0
"National Council of Jewish Women, Los Angeles",17,NATIONAL COUNCIL OF JEWISH WOMEN - CALIFORNIA CHAPTER,National Council of Jewish Women - Los Angeles,alt(alternate_spelling),98.9,96.7
California Rural Legal Assistance Foundation (CRLAF),17,CALIFORNIA RURAL LEGAL ASSISTANCE FOUNDATION,California Rural Legal Assistance Foundation -CRLAF,alt(alternate_spelling),100.0,97.1
American Academy of Pediatrics - California,17,AMERICA ACADEMY OF PEDIATRICS,"America Academy of Pediatrics, California",alt(chapter),97.6,95.2
The Wall Las Memorias Project,16,WALL LAS MEMORIAS PROJECT,The Wall-Las Memorias Project,alt(alternate_spelling),100.0,86.2
Northern California District Council - ILWU,16,Northern California District Council - IIWU,Northern California District Council - IIWU,canonical,97.7,97.7
"NAIOP of California, the Commercial Real Estate Development Association",16,NAIOP OF CALIFORNIA,NAIOP of California - the Commercial Real Estate Development Association,alt(alternate_spelling),99.3,97.9
Mothers Against Drunk Driving (MADD),16,Mothers Against Drunk Driving California State Organization,Mothers Against Drunk Driving - MADD,alt(alternate_spelling),98.6,94.4
"Long Beach Firefighters, Local 372",16,Long Beach Fire Fighers,"Long Beach Fire Fighers, Local 372",alt(chapter),97.1,85.3
District Council of Iron Workers of The State of California and Vicinity,16,District Council of Ironworkers of the State of California and Vicinity,District Council of Ironworkers of the State of California and Vicinity,canonical,99.3,91.6
Cerritos Regional Chamber of Commerce,16,Cerritos Regional Chambers of Commerce,Cerritos Regional Chambers of Commerce,canonical,98.7,98.7
California Rural Legal Assistance Foundation (CRLA),16,CALIFORNIA RURAL LEGAL ASSISTANCE,"California Rural Legal Assistance Foundation, CRLA",alt(alternate_spelling),100.0,97.0
California Employment Lawyers Association (CELA),16,CALIFORNIA EMPLOYMENT LAWYER'S ASSOCIATION,"California Employment Lawyers Association ""CELA",alt(alternate_spelling),100.0,96.8
CFT- a Union of Educators & Classified Professionals,16,CTF - a Union of Educators & Classified Professionals,CTF - a Union of Educators & Classified Professionals,canonical,97.1,95.2
Non-toxic Neighborhoods,15,Non Toxic Neighborhoods,Non Toxic Neighborhoods,canonical,100.0,91.3
Mid-Peninsula Housing Coalition,15,Mid Peninsula Housing Coalition,Mid Peninsula Housing Coalition,canonical,100.0,96.8
Long Beach Fire Fighters,15,Long Beach Fire Fighers,Long Beach Fire Fighers,canonical,97.9,97.9
California Attorneys for Criminal Justice (CACJ),15,CALIFORNIA ATTORNEY'S FOR CRIMINAL JUSTICE,California Attorneys for Criminal Justice (CADCJ),alt(alternate_spelling),98.9,99.0
"Attorney General, State of California",15,"Attorney Genera, State of California","Attorney Genera, State of California",canonical,98.6,98.6
Area Agency on Aging Advisory Council,15,AGENCY ON AGING/AREA 4,Area 4 Agency on Aging Advisory Council,alt(alternate_spelling),97.4,100.0
American Association of Retired Persons California,15,AMERICAN ASSOCIATION OF RETIRED PERSONS,American Association of Retired Persons of California,alt(chapter),97.1,100.0
"People's Self-Help Housing Corporation, San Luis Obispo",14,"People's Self Help Housing Corporation, San Luis Obispo","People's Self Help Housing Corporation, San Luis Obispo",canonical,100.0,90.9
Orange County Sheriff,14,Orange County Sheriffs,Orange County Sheriffs,canonical,97.7,97.7
National Association of Social Workers - California,14,Natinal Association of Social Workers - California,Natinal Association of Social Workers - California,canonical,99.0,99.0
E2 (Environmental Entrepreneurs),14,E2 (Environmental Entrepeneurs),E2 (Environmental Entrepeneurs),canonical,98.4,98.4
Community Associations Institute - California Legislative Action Committee,14,Community Association Institute - California Legislative Action Committee,Community Association Institute - California Legislative Action Committee,canonical,99.3,99.3
California Taxpayers Association (Cal-Tax),14,California Taxpayers Association,California Taxpayers Association (Cal Tax),alt(alternate_spelling),100.0,97.6
