leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
United Nurses Associations of California/Union of Health Care Professionals,124,"American Federation of State, County and Municipal Employees (AFSCME)","United Nurses Associations of California/Union of Health Care Professionals (UNAC/UHCP), AFSCME",alt(chapter),95.0,100.0
California Medical Association (CMA),124,American Medical Association,California Medical Association,alt(chapter),95.0,100.0
"Service Employees International Union, Local 1000",121,Service Employees International Union,Service Employees International Union,canonical,95.0,91.2
Orange County,120,211 California,2-1-1 Orange County,alt(chapter),95.0,100.0
American Nurses Association of California,118,American Nurse Association of California,American Nurse Association of California,canonical,98.8,98.8
American Civil Liberties Union (ACLU),118,American Civil Liberties Union,Amercian Civil Liberties Union (ACLU),alt(alternate_spelling),97.2,97.3
Secretary of State Debra Bowen,117,SECRETARY OF STATE,Secretary of the State Debra Bowen,alt(alternate_spelling),95.0,100.0
Vietnam Veterans of America-California State Council,116,VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL,Vietnam Veterans of American-California State Council,alt(alternate_spelling),99.0,99.0
Lutheran Office of Public Policy - California,116,Lutheran Office of Pubic Policy - California,Lutheran Office of Pubic Policy - California,canonical,98.9,98.9
"California Federation of Teachers, AFT, AFL-CIO",116,AMERICAN FEDERATION OF TEACHERS,California Federation of Teachers (AFT),alt(chapter),95.0,86.0
Asian Law Caucus,116,Asian,Asian,canonical,90.0,100.0
California Attorney General,113,State of California Attorney General,State of California Attorney General,canonical,95.0,100.0
Children's Defense Fund - California,112,CHILDREN'S DEFENSE FUND,Children's Defense Fund of California,alt(chapter),95.9,97.1
"Veterans of Foreign Wars, Department of California",109,"Veteran of Foreign Wars, Department of California","Veteran of Foreign Wars, Department of California",canonical,99.0,98.9
Several Individuals,106,Several,Several,canonical,90.0,100.0
The Education Trust - West,105,EDUCATION TRUST-WEST,The Education Trust- West,alt(alternate_spelling),98.0,94.1
Secretary of,104,SECRETARY OF STATE,Secretary of Sate,alt(alternate_spelling),95.0,100.0
ACLU of California,103,CALIFORNIA,California (ACLU),alt(chapter),95.0,85.7
Alameda County District Attorney,102,District Attorneys,County District Attorney,alt(alternate_spelling),95.0,100.0
South Bay YIMBY,101,South Bay YIIMBY,South Bay YIIMBY,canonical,96.8,96.8
Planned Parenthood Mar Monte,100,Planed Parenthood Mar Monte,Planed Parenthood Mar Monte,canonical,98.2,98.2
San Diego County Sheriff's Department,99,Diego County Sheriff's Department,Diego County Sheriff's Department,canonical,95.0,100.0
Physicians for Social Responsibility - Los Angeles,99,Physicians for Social Responsibility - Los Angelese,Physicians for Social Responsibility - Los Angelese,canonical,99.0,99.0
First 5 Association of California,99,Frist 5 Association of California,Frist 5 Association of California,canonical,97.0,97.0
California State Conference of the NAACP,99,California State Conference,California State Conference,canonical,95.0,100.0
Mountain View YIMBY,97,Mountain View (2),Mountain View,alt(alternate_spelling),95.0,100.0
California Federation of Teachers (CFT),97,AMERICAN FEDERATION OF TEACHERS,California Federation of Teachers (AFT),alt(chapter),97.4,97.4
Santa Cruz YIMBY,96,Cruz,Cruz,canonical,90.0,100.0
Long Beach Area Chamber of Commerce,94,Long Beach Area of Commerce,Long Beach Area of Commerce,canonical,95.0,100.0
CalChamber,92,CalChambers,CalChambers,canonical,95.2,95.2
Deputy Sheriffs' Association of Monterey County,91,Monterey County Deputy Sheriffs Association,Deputy Sheriffs' Association Monterey County,alt(alternate_spelling),96.7,100.0
California Association of Public Authorities for IHSS,89,CALIFORNIA ASSOCIATION OF PUBLIC AUTHORITIES,California Association of Public Authorities for IHSS-,alt(alternate_spelling),100.0,99.1
Association of Los Angeles Deputy Sheriffs,88,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)",Association fo Los Angeles Deputy Sheriffs,alt(alternate_spelling),97.6,97.6
United Domestic Workers of America,87,"American Federation of State, County and Municipal Employees (AFSCME)",United Domestic Workers of America - AFSCME,alt(chapter),95.0,100.0
San Francisco YIMBY,87,"Francisco, San","Francisco, San",canonical,95.0,78.8
Peralta Community College District,86,Peralta Community College School District,Peralta Community College Districts,alt(alternate_spelling),98.6,98.6
"California Association of County Veterans Service Officers, Inc",85,CALIFORNIA ASSOCIATION OF COUNTY VETERAN SERVICE OFFICERS,"California Association of County Veteran Service Officers, Inc",alt(alternate_spelling),99.2,99.2
California State Teachers' Retirement System,84,California State Teachers' Retirement System Board,California State Teaches' Retirement System,alt(alternate_spelling),98.9,98.9
Ventura County YIMBY,82,CITY OF VENTURA,Ventura,alt(alternate_spelling),90.0,100.0
South Bay Yimby,82,South Bay YIIMBY,South Bay YIIMBY,canonical,96.8,75.0
Office of Lieutenant Governor Eleni Kounalakis,82,"Kounalakis, Eleni, Lieutenant Governor","Kounalakis, Eleni, Lieutenant Governor",canonical,95.0,85.7
State Controller John Chiang,80,Office of State Controller,Office of State Controller John Chiang,alt(alternate_spelling),95.0,100.0
Santa Cruz Yimby,80,Cruz,Cruz,canonical,90.0,100.0
San Francisco District Attorney's Office,80,District Attorneys,San Francisco County District Attorney's Office,alt(chapter),95.0,100.0
Mountain View Yimby,80,Mountain View (2),Mountain View,alt(alternate_spelling),95.0,100.0
State Treasurer Bill Lockyer,79,Office of the State Treasurer Bill Lockyer,"State Treasurer's Office, Bill Lockyer",alt(alternate_spelling),95.0,84.8
Monterey County,79,Monterrey County Board of Supervisors,Monterrey County,alt(chapter),96.8,96.8
California Attorney General's Office,79,California's Attorney Generals Office,California's Attorney Generals Office,canonical,95.9,95.9
Torrance Area Chamber of Commerce,78,Torrance Area Chambers of Commerce,Torrance Area Chambers of Commerce,canonical,98.5,98.5
Services,77,1-Heart Caregiver Services,1-Heart Caregiver Services,canonical,90.0,100.0
American Nurses Association/California,77,American Nurse Association of California,American Nurse Association/California,alt(alternate_spelling),98.7,98.7
Orange County Sheriff's Department,74,Orange County Sherriff's Department,Orange County Sherriff's Department,canonical,98.6,98.6
Greater Riverside Chambers of Commerce,74,Great Riverside Chambers of Commerce,Great Riverside Chambers of Commerce,canonical,97.3,97.3
"Elders Climate Action, Norcal and Socal Chapters",74,NorCal Chapters Elders Climate Action,NorCal Chapters Elders Climate Action,canonical,95.0,84.7
Department,74,American Legion,"Americna Legion, Department of California",alt(chapter),90.0,100.0
San Mateo County Central Labor Council,73,San Mateo County Center Labor Council,San Mateo County Center Labor Council,canonical,96.0,96.0
Counties,73,5 Northern Counties Salmonid Conservation Program,5 Northern Counties Salmonid Conservation Program,canonical,90.0,100.0
Simi Valley Chamber of Commerce,72,Mid Valley Cahmber of Commerce,Mid Valley Cahmber of Commerce,canonical,91.8,88.5
Concerns,72,Additional Concerns,Additional Concerns,canonical,90.0,100.0
Ventura County Yimby,71,CITY OF VENTURA,Ventura,alt(alternate_spelling),90.0,100.0
Los Angeles County Federation of Labor,70,Angeles County Federation of Labor,Angeles County Federation of Labor,canonical,95.0,100.0
Riverside County District Attorney,69,County of Riverside District,Riverside County District,alt(alternate_spelling),95.0,100.0
Center,69,E Center,E Center,canonical,95.0,100.0
Board,69,Absolute Board Company,Absolute Board Company,canonical,90.0,100.0
Santa Clara County District Attorney,67,District Attorneys,Santa Clara County District Attorney's Office,alt(chapter),95.0,88.9
San Francisco Yimby,67,"Francisco, San","Francisco, San",canonical,95.0,78.8
Placer County Deputy Sheriffs' Assocation,66,Placer County Deputy Sheriffs,Placer County Deputy Sheriffs,canonical,95.0,82.9
California Nurses Association/National Nurses Organizing Committee,66,California Nurse Association - National Nurses Organizing Committee,California Nurse Association - National Nurses Organizing Committee,canonical,97.7,92.1
California Chapter of the American Fence Contractors' Association,66,AMERICAN FENCE CONTRACTORS' ASSOCIATION,Califiornia Chapter of the American Fence Contractors Association,alt(alternate_spelling),98.5,98.5
Union of American Physicians & Dentists,65,"American Federation of State, County and Municipal Employees (AFSCME)","Union of American Physicians and Dentists, AFSCME",alt(chapter),95.0,86.4
National Council of Jewish Women Los Angeles,65,NATIONAL COUNCIL OF JEWISH WOMEN - CALIFORNIA CHAPTER,National Council of Jewish Women-Los Angeles,alt(alternate_spelling),100.0,90.9
Los Angeles Chamber of Commerce,65,Chamber of Commerce of Los Angeles,Chamber of Commerce of Los Angeles,canonical,95.0,100.0
Sacramento Metropolitan Chamber of Commerce,63,Sacramento Metro,Sacramento Metro,canonical,90.0,76.9
"Elders Climate Action, NorCal and SoCal Chapters",63,NorCal Chapters Elders Climate Action,NorCal Chapters Elders Climate Action,canonical,95.0,89.6
California State Conference of the National Association for the Advancement of Colored People,63,CALIFORNIA STATE CONFERENCE OF THE NATIONAL ASSOCIATION,California State Conference of the National Association for the Advancement,alt(alternate_spelling),95.0,100.0
American Nurses Association California,63,American Nurse Association of California,American Nurse Association/California,alt(alternate_spelling),98.7,96.0
SoCal 350 Climate Action,61,350.org,350,alt(alternate_spelling),90.0,100.0
Mayor Eric Garcetti,61,CITY OF LOS ANGELES,Eric Garcetti,alt(alternate_spelling),95.0,100.0
United Nurses Association of California/Union of Health Care Professionals,60,United Nurses Assoc. of California/Union of Health Care Professionals,United Nurses Assoc. of California/Union of Health Care Professionals,canonical,95.1,94.9
San Jose Silicon Valley Chamber of Commerce,60,Chamber of Commerce San Jose/Silicon Valley,Chamber of Commerce San Jose/Silicon Valley,canonical,95.0,97.7
California Fence Contractors Association,60,California Fence Contractor Association,California Fence Contractor Association,canonical,98.7,98.7
"Los Angeles County Federation of Labor, AFL-CIO",59,"Angeles County Federation of Labor, AFL-CIO","Angeles County Federation of Labor, AFL-CIO",canonical,95.6,100.0
Lieutenant Governor Eleni Kounalakis,59,"Kounalakis, Eleni, Lieutenant Governor","Kounalakis, Eleni, Lieutenant Governor",canonical,95.0,97.3
Lieutenant Governor Cruz Bustamante,59,"Lieutenant Governor's Office, Cruz Bustamante","Lieutenant Governor's Office, Cruz Bustamante",canonical,95.0,87.5
L.A. County Probation Officers Union,58,County Probation Officers Union,County Probation Officers Union,canonical,95.0,100.0
Fresno Chamber of Commerce,58,"Chamber of Commerce, Greater Fresno","Chamber of Commerce, Greater Fresno",canonical,95.0,85.2
Fight Crime: Invest in Kids California,58,FIGHT CRIME: Invest in Kids,Fight Crime Invest In Kids California,alt(chapter),98.7,96.0
Angeles,58,Angels,Angels,canonical,92.3,92.3
San Bernardino County Sheriff's Office,57,San Bernardino County Sheriff Department,San Bernardino County Sherriff's Office,alt(alternate_spelling),98.7,98.7
National Council of Jewish Women California,57,NATIONAL COUNCIL OF JEWISH WOMEN - CALIFORNIA CHAPTER,National Council of Jewish Women Calfornia,alt(alternate_spelling),98.8,98.8
Mayor,56,City of Santa Barbara,"City of Santa Barbara, Office of Mayor",alt(alternate_spelling),90.0,100.0
Indivisible Marin,56,Indivisible,Indivisible,canonical,90.0,100.0
American Civil Liberties Union California Action,56,American Civil Liberties Union,American Civil Liberties Union American,alt(alternate_spelling),95.0,100.0
Pacific Environment,55,Asian Pacific Environment,Asian Pacific Environment,canonical,95.0,100.0
Association of California Insurance Companies (ACIC),55,ASSOCIATION OF CALIFORNIA INSURANCE COMPANIES,Association of California Insurance Companies - ACIC,alt(alternate_spelling),99.0,96.2
5 individuals,55,Hoag Memorial Hospital Presbyterian,Hoag Memorial Hospital Presbyterian (35 individuals associated with it),alt(alternate_spelling),90.0,91.7
Service Employees International Union Local 1000,54,Service Employees International Union,Service Employees International Union,canonical,95.0,100.0
San Francisco District Attorney,54,District Attorneys,Francisco District Attorney,alt(alternate_spelling),95.0,100.0
California Nurses Association/National Nurses United,54,California Nurses Association and National Nurses United,California Nurses Association and National Nurses United,canonical,96.3,93.6
Physicians,53,Academy of Eye Physicians and Surgeons,Academy of Eye Physicians and Surgeons,canonical,90.0,100.0
Indivisible Ventura,53,CITY OF VENTURA,Ventura,alt(alternate_spelling),90.0,100.0
Commission,53,Commissiono,Commissiono,canonical,95.2,95.2
"California Police Chiefs Association, Inc",53,California Policy Chiefs Association,"California Policy Chiefs Association, Inc",alt(alternate_spelling),97.6,97.6
Ventura County,52,ARC OF VENTURA COUNTY,Arc Ventura County,alt(alternate_spelling),95.0,100.0
Redondo Beach Chamber of Commerce,52,"Chamber of Commerce, Redondo Beach","Chamber of Commerce, Redondo Beach",canonical,95.0,98.5
California State Council of Service Employees International Union (seiu California),52,California State Council of the Service Employees International,California State Council of Service Employees International,alt(alternate_spelling),95.0,100.0
Coalition,51,710 Coalition,710 Coalition,canonical,95.0,100.0
California Department of Forestry Firefighters,51,California Department of Forestry Fire Fighters,California Department of Forestry Fire Fighters,canonical,98.9,90.3
UFCW - Western States Council,50,UFCW Western States Council,UFCW Western States Council,canonical,96.4,100.0
"Planned Parenthood Affiliates of California, Inc",50,Parenthood Affiliates of California,Parenthood Affiliates of California,canonical,95.0,84.3
Asian Americans Advancing Justice-southern California,50,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice Southern California,alt(chapter),100.0,96.2
Yolo County,49,CASA of Yolo County,Yolo County CASA,alt(alternate_spelling),95.0,100.0
San Francisco Labor Council,49,Central Labor Council San Francisco Labor Council,San Francisco Central Labor Council,alt(alternate_spelling),95.0,100.0
San Diego District Attorney,49,District Attorneys,San Diego County District Attorney,alt(chapter),95.0,100.0
"Physicians for Social Responsibility, Los Angeles",49,Physicians for Social Responsibility-Los Angeles,Physicians for Social Responsibility-Los Angeles,canonical,99.0,90.7
Children's Defense Fund California,49,CHILDREN'S DEFENSE FUND,Children's Defense Fund of California,alt(chapter),95.8,100.0
California State Council of Service Employees,49,California Service Employees California State Council,"California State Council, Service Employees",alt(alternate_spelling),97.7,95.5
California ACORN,49,California/Corona,California/Corona,canonical,90.9,60.6
AMVETS- Department of California,49,AMVETS - DEPARTMENT OF CALIFORNIA,AMVETS--Department of California,alt(alternate_spelling),100.0,96.9
Planned Parenthood Advocacy Project Los Angeles County,48,Parenthood Advocacy Project Los Angeles County,Parenthood Advocacy Project Los Angeles County,canonical,95.0,100.0
"Council on American-Islamic Relations, California",48,Council on American-Islamic Relations,Council on American Islamic Relations - California,alt(alternate_spelling),99.0,94.9
Oxnard Chamber of Commerce,47,Oxnard Chambers of Commerce,Oxnard Chambers of Commerce,canonical,98.1,98.1
NARAL Pro-choice California,47,National Abortion Rights Action League,NARAL Pro-Choice California Foundation,alt(chapter),95.0,80.0
Indivisible South Bay LA,47,Indivisible,Indivisible,canonical,90.0,100.0
Attorney General of California,47,ATTORNEY GENERAL'S OFFICE,Office of the Attorney General of California,alt(chapter),95.0,100.0
"Service Employees International Union, California State Council",46,"Service Employee International Union, California State Council","Service Employee International Union, California State Council",canonical,99.2,99.2
Military Officers Association of America - California Council of Chapters,46,Military Officers Association of America,Military Officers Association of American - California Council of Chapters,alt(chapter),99.3,99.3
California Association of Clerks and Election Officials (CACEO),46,CALIFORNIA ASSOCIATION OF CLERKS AND ELECTION OFFICIALS,California Association of Clerks and Election Officials- CACEO,alt(alternate_spelling),100.0,97.6
Asian Americans Advancing Justice - Los Angeles,46,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice Los Angeles,alt(chapter),97.8,100.0
State Building and Construction Trades Council of CA,45,State Building and Construction Trades Council of CC,State Building and Construction Trades Council of CC,canonical,98.1,98.1
San Luis Obispo YIMBY,45,San Luis Obispo,San Luis Obispo,canonical,95.0,100.0
Office of the San Bernardino County Sheriff,45,Bernardino County Office of the Sheriff,Bernardino County Office of the Sheriff,canonical,95.0,100.0
Leading Age California,45,LeadingAge California,LeadingAge California,canonical,97.7,83.7
Lawyers Committee for Civil Rights of the San Francisco Bay Area,45,Committee for Civil Rights of the San Francisco Bay,Committee for Civil Rights of the San Francisco Bay,canonical,95.0,100.0
Indivisible Yolo,45,Indivisible,Indivisible,canonical,95.0,100.0
Indivisible San Jose,45,Indivisible,Indivisible,canonical,90.0,100.0
Greater Bakersfield Chamber of Commerce,45,"Chamber of Commerce, Greater Bakersfield","Chamber of Commerce, Greater Bakersfield",canonical,95.0,98.7
County Welfare Directors Association of CA (CWDA),45,COUNTY WELFARE DIRECTOR'S ASSOCIATION,County Welfare Directors Association (CWDA),alt(alternate_spelling),95.0,100.0
Children's Defense Fund - CA,45,Children's Defense Fud - CA,Children's Defense Fud - CA,canonical,98.2,98.2
Asian Americans Advancing Justice-Southern California,45,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice Southern California,alt(chapter),100.0,98.1
Administration,45,Brown Administration,Brown Administration,canonical,95.0,100.0
of Colored People,44,National Association for the Advancement of Colored People (NAACP),National Association for the Advancement of Colored People (NAACP),canonical,90.0,100.0
San Diego District Attorney's Office,44,San Diego Districts Attorney's Office,San Diego Districts Attorney's Office,canonical,98.6,98.6
Marin Professional Firefighters,44,CA Professional Firefighters,CA Professional Firefighters,canonical,91.5,94.3
"Los Angeles Deputy Sheriffs, Inc",44,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)","Los Angeles Deputy Sheriff, Inc",alt(alternate_spelling),98.4,98.4
Girl Scout Councils of California,44,Girl Scouts Councils of California,Girl Scouts Councils of California,canonical,98.5,98.5
CAL FIRE Local 2881,44,CALFIRE,CALFIRE Local 2881,alt(chapter),97.3,97.3
"American Nurses Association, California",44,American Nurses Associaition - California,American Nurses Associaition - California,canonical,97.5,95.0
Alameda County Sheriff's Office,44,Alameda County Sheriff-Coroner's Office,Alameda County Sheriff-Coroner's Office,canonical,95.0,88.6
"Sheriff, San Bernardino County",43,San Bernardino County Sheriff Department,Sheriffs of San Bernardino County,alt(alternate_spelling),95.2,92.1
Lawyers' Committee for Civil Rights of The San Francisco Bay Area,43,Committee for Civil Rights of the San Francisco Bay,Committee for Civil Rights of the San Francisco Bay,canonical,95.0,95.9
California IATSE Council,43,California Arts Council,California Arts Council,canonical,93.6,87.8
"Amvets, Department of California",43,AMVETS - DEPARTMENT OF CALIFORNIA,AMVETS--Department of California,alt(alternate_spelling),100.0,78.1
Empowering Pacific Islander Communities (EPIC),42,EMPOWERING PACIFIC ISLANDER COMMUNITIES,Empowering Pacific Islander Communities - EPIC,alt(alternate_spelling),98.9,95.7
"CFT- a Union of Educators & Classified Professionals, AFT, AFL-CIO",42,A Union of Educators and Classified Professionals,"A Union of Educators and Classified Professionals, Afl-cio",alt(alternate_spelling),91.5,86.3
"CFT - A Union of Educators & Classified Professionals, AFT, AFL-CIO",42,A Union of Educators and Classified Professionals,"A Union of Educators and Classified Professionals, Afl-cio",alt(alternate_spelling),91.5,88.5
Santa Clarita Valley Chamber of Commerce,41,Chamber of Commerce - Santa Clarita Valley,Chamber of Commerce - Santa Clarita Valley,canonical,95.0,100.0
Los Angeles Deputy Sheriffs,41,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)",Assn. for Los Angeles Deputy Sheriffs,alt(alternate_spelling),95.0,100.0
Hillcrest Indivisible,41,Indivisible,Indivisible,canonical,90.0,100.0
Veterans of Foreign Wars - Department of California,40,"Veteran of Foreign Wars, Department of California","Veteran of Foreign Wars, Department of California",canonical,98.0,95.7
Supporters,40,2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),canonical,90.0,100.0
Six Rivers Planned Parenthood,40,Planned Parenthood,Planned Parenthood,canonical,90.0,100.0
San Luis Obispo Yimby,40,San Luis Obispo,San Luis Obispo,canonical,95.0,100.0
"San Diego, County of",40,City of the County of San Diego,City of County of San Diego,alt(alternate_spelling),95.0,86.4
"Calpirg, California Public Interest Research Group",40,California Public Interest Research Group,California Public Interest Research Group,canonical,95.0,100.0
Socal 350 Climate Action,39,350.org,350,alt(alternate_spelling),90.0,100.0
Pacific Gas & Electric Company,39,Association Pacific Gas and Electric Company,Association Pacific Gas and Electric Company,canonical,95.0,96.6
"National Council of Jewish Women, California",39,NATIONAL COUNCIL OF JEWISH WOMEN,National Council of Jewish Women of California,alt(chapter),97.8,98.9
Merced,39,California District Agricultural Association,"35th DAA, Merced County Fair",alt(chapter),90.0,100.0
Francisco,39,Francisco Bay,Francisco Bay,canonical,95.0,100.0
Counties of,39,Counties of Kern,Counties of Kern,canonical,95.0,100.0
"Cft- a Union of Educators & Classified Professionals, Aft, Afl-cio",39,A Union of Educators and Classified Professionals,"A Union of Educators and Classified Professionals, Afl-cio",alt(alternate_spelling),91.5,94.5
Re:store Justice,38,Re: Store Justice,Re: Store Justice,canonical,97.0,90.9
Orange County District Attorney's Office,38,District Attorneys,County District Attorney' Office,alt(alternate_spelling),95.0,88.9
National Council of Jewish Women-California,38,NATIONAL COUNCIL OF JEWISH WOMEN - CALIFORNIA CHAPTER,National Council of Jewish Women Calfornia,alt(alternate_spelling),98.8,84.7
Naral Pro-choice California,38,National Abortion Rights Action League,NARAL Pro-Choice California Foundation,alt(chapter),95.0,67.7
Indivisible Stanislaus,38,Indivisible,Indivisible,canonical,90.0,100.0
Indivisible Sausalito,38,Indivisible,Indivisible,canonical,90.0,100.0
Greater Fresno Area Chamber of Commerce,38,"Chamber of Commerce, Greater Fresno","Chamber of Commerce, Greater Fresno",canonical,95.0,91.9
